"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2014","5","1","00:00","-"
"-","2014","5","2","00:00","-"
"-","2014","5","3","00:00","-"
"-","2014","5","4","00:00","-"
"Jokioinen Ilmala","2014","5","5","00:00","-"
"-","2014","5","6","00:00","-"
"-","2014","5","7","00:00","-"
"Jokioinen Ilmala","2014","5","8","00:00","2.4"
"Jokioinen Ilmala","2014","5","9","00:00","-"
"-","2014","5","10","00:00","-"
"-","2014","5","11","00:00","-"
"-","2014","5","12","00:00","-"
"-","2014","5","13","00:00","-"
"-","2014","5","14","00:00","-"
"-","2014","5","15","00:00","-"
"-","2014","5","16","00:00","-"
"-","2014","5","17","00:00","-"
"-","2014","5","18","00:00","-"
"-","2014","5","19","00:00","-"
"-","2014","5","20","00:00","-"
"-","2014","5","21","00:00","-"
"-","2014","5","22","00:00","-"
"-","2014","5","23","00:00","-"
"-","2014","5","24","00:00","-"
"-","2014","5","25","00:00","-"
"-","2014","5","26","00:00","-"
"-","2014","5","27","00:00","-"
"Jokioinen Ilmala","2014","5","28","00:00","1.3"
"Jokioinen Ilmala","2014","5","29","00:00","8.5"
"Jokioinen Ilmala","2014","5","30","00:00","-"
"-","2014","5","31","00:00","-"
"Jokioinen Ilmala","2014","6","1","00:00","-"
"-","2014","6","2","00:00","-"
"-","2014","6","3","00:00","-"
"-","2014","6","4","00:00","-"
"-","2014","6","5","00:00","-"
"-","2014","6","6","00:00","-"
"-","2014","6","7","00:00","-"
"-","2014","6","8","00:00","-"
"-","2014","6","9","00:00","-"
"-","2014","6","10","00:00","-"
"-","2014","6","11","00:00","-"
"Jokioinen Ilmala","2014","6","12","00:00","-"
"-","2014","6","13","00:00","-"
"-","2014","6","14","00:00","-"
"-","2014","6","15","00:00","-"
"-","2014","6","16","00:00","-"
"-","2014","6","17","00:00","-"
"-","2014","6","18","00:00","-"
"-","2014","6","19","00:00","-"
"-","2014","6","20","00:00","-"
"-","2014","6","21","00:00","-"
"-","2014","6","22","00:00","-"
"Jokioinen Ilmala","2014","6","23","00:00","-"
"-","2014","6","24","00:00","-"
"-","2014","6","25","00:00","-"
"-","2014","6","26","00:00","-"
"-","2014","6","27","00:00","-"
"-","2014","6","28","00:00","-"
"-","2014","6","29","00:00","-"
"-","2014","6","30","00:00","-"
"-","2014","7","1","00:00","-"
