"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2015","6","1","00:00","-"
"-","2015","6","2","00:00","-"
"-","2015","6","3","00:00","-"
"Jokioinen Ilmala","2015","6","4","00:00","-"
"-","2015","6","5","00:00","-"
"-","2015","6","6","00:00","-"
"Jokioinen Ilmala","2015","6","7","00:00","-"
"-","2015","6","8","00:00","-"
"-","2015","6","9","00:00","-"
"-","2015","6","10","00:00","-"
"-","2015","6","11","00:00","-"
"-","2015","6","12","00:00","-"
"-","2015","6","13","00:00","-"
"-","2015","6","14","00:00","-"
"-","2015","6","15","00:00","-"
"-","2015","6","16","00:00","-"
"-","2015","6","17","00:00","-"
"-","2015","6","18","00:00","-"
"Jokioinen Ilmala","2015","6","19","00:00","-"
"-","2015","6","20","00:00","-"
"-","2015","6","21","00:00","-"
"-","2015","6","22","00:00","-"
"-","2015","6","23","00:00","-"
"-","2015","6","24","00:00","-"
"Jokioinen Ilmala","2015","6","25","00:00","-"
"-","2015","6","26","00:00","-"
"Jokioinen Ilmala","2015","6","27","00:00","-"
"-","2015","6","28","00:00","-"
"-","2015","6","29","00:00","-"
"-","2015","6","30","00:00","-"
"-","2015","7","1","00:00","-"
"-","2015","7","2","00:00","-"
"-","2015","7","3","00:00","-"
"-","2015","7","4","00:00","-"
"-","2015","7","5","00:00","-"
"-","2015","7","6","00:00","-"
"-","2015","7","7","00:00","-"
"-","2015","7","8","00:00","-"
"-","2015","7","9","00:00","-"
"-","2015","7","10","00:00","-"
"Jokioinen Ilmala","2015","7","11","00:00","-"
"-","2015","7","12","00:00","-"
"Jokioinen Ilmala","2015","7","13","00:00","-"
"-","2015","7","14","00:00","-"
"-","2015","7","15","00:00","-"
"-","2015","7","16","00:00","-"
"Jokioinen Ilmala","2015","7","17","00:00","-"
"-","2015","7","18","00:00","-"
"-","2015","7","19","00:00","-"
"-","2015","7","20","00:00","-"
"-","2015","7","21","00:00","-"
"-","2015","7","22","00:00","-"
"-","2015","7","23","00:00","-"
"-","2015","7","24","00:00","-"
"-","2015","7","25","00:00","-"
"-","2015","7","26","00:00","-"
"-","2015","7","27","00:00","-"
"-","2015","7","28","00:00","-"
"Jokioinen Ilmala","2015","7","29","00:00","-"
"-","2015","7","30","00:00","-"
"Jokioinen Ilmala","2015","7","31","00:00","-"
"-","2015","8","1","00:00","-"
