"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2016","6","1","00:00","461.8"
"Jokioinen Ilmala","2016","6","2","00:00","368.9"
"Jokioinen Ilmala","2016","6","3","00:00","407.6"
"Jokioinen Ilmala","2016","6","4","00:00","294.4"
"Jokioinen Ilmala","2016","6","5","00:00","140"
"Jokioinen Ilmala","2016","6","6","00:00","328.7"
"Jokioinen Ilmala","2016","6","7","00:00","441.8"
"Jokioinen Ilmala","2016","6","8","00:00","289.9"
"Jokioinen Ilmala","2016","6","9","00:00","132.4"
"Jokioinen Ilmala","2016","6","10","00:00","101"
"Jokioinen Ilmala","2016","6","11","00:00","346.4"
"Jokioinen Ilmala","2016","6","12","00:00","451"
"Jokioinen Ilmala","2016","6","13","00:00","448"
"Jokioinen Ilmala","2016","6","14","00:00","422.8"
"Jokioinen Ilmala","2016","6","15","00:00","467"
"Jokioinen Ilmala","2016","6","16","00:00","0.2"
"Jokioinen Ilmala","2016","6","17","00:00","103.7"
"Jokioinen Ilmala","2016","6","18","00:00","6.7"
"Jokioinen Ilmala","2016","6","19","00:00","73.2"
"Jokioinen Ilmala","2016","6","20","00:00","229.9"
"Jokioinen Ilmala","2016","6","21","00:00","350.4"
"Jokioinen Ilmala","2016","6","22","00:00","131.7"
"Jokioinen Ilmala","2016","6","23","00:00","13.1"
"Jokioinen Ilmala","2016","6","24","00:00","16"
"Jokioinen Ilmala","2016","6","25","00:00","178.1"
"Jokioinen Ilmala","2016","6","26","00:00","201.4"
"Jokioinen Ilmala","2016","6","27","00:00","-0.1"
"Jokioinen Ilmala","2016","6","28","00:00","255.3"
"Jokioinen Ilmala","2016","6","29","00:00","239.7"
"Jokioinen Ilmala","2016","6","30","00:00","79.6"
"Jokioinen Ilmala","2016","7","1","00:00","82.4"
"Jokioinen Ilmala","2016","7","2","00:00","231.9"
"Jokioinen Ilmala","2016","7","3","00:00","66.3"
"Jokioinen Ilmala","2016","7","4","00:00","60.6"
"Jokioinen Ilmala","2016","7","5","00:00","64.1"
"Jokioinen Ilmala","2016","7","6","00:00","145.8"
"Jokioinen Ilmala","2016","7","7","00:00","0.4"
"Jokioinen Ilmala","2016","7","8","00:00","103.4"
"Jokioinen Ilmala","2016","7","9","00:00","365.1"
"Jokioinen Ilmala","2016","7","10","00:00","142.3"
"Jokioinen Ilmala","2016","7","11","00:00","28.2"
"Jokioinen Ilmala","2016","7","12","00:00","128.4"
"Jokioinen Ilmala","2016","7","13","00:00","189.2"
"Jokioinen Ilmala","2016","7","14","00:00","301"
"Jokioinen Ilmala","2016","7","15","00:00","1.2"
"Jokioinen Ilmala","2016","7","16","00:00","134.1"
"Jokioinen Ilmala","2016","7","17","00:00","128.9"
"Jokioinen Ilmala","2016","7","18","00:00","295.4"
"Jokioinen Ilmala","2016","7","19","00:00","421.5"
"Jokioinen Ilmala","2016","7","20","00:00","421.6"
"Jokioinen Ilmala","2016","7","21","00:00","51.8"
"Jokioinen Ilmala","2016","7","22","00:00","1.4"
"Jokioinen Ilmala","2016","7","23","00:00","1.4"
"Jokioinen Ilmala","2016","7","24","00:00","106.1"
"Jokioinen Ilmala","2016","7","25","00:00","255.2"
"Jokioinen Ilmala","2016","7","26","00:00","363.1"
"Jokioinen Ilmala","2016","7","27","00:00","302.3"
"Jokioinen Ilmala","2016","7","28","00:00","98.3"
"Jokioinen Ilmala","2016","7","29","00:00","285.4"
"Jokioinen Ilmala","2016","7","30","00:00","164.1"
"Jokioinen Ilmala","2016","7","31","00:00","132.7"
"Jokioinen Ilmala","2016","8","1","00:00","131.9"
