"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2017","6","1","00:00","222.8"
"Jokioinen Ilmala","2017","6","2","00:00","211.2"
"Jokioinen Ilmala","2017","6","3","00:00","542.5"
"Jokioinen Ilmala","2017","6","4","00:00","536.6"
"Jokioinen Ilmala","2017","6","5","00:00","0.4"
"Jokioinen Ilmala","2017","6","6","00:00","291.8"
"Jokioinen Ilmala","2017","6","7","00:00","447.4"
"Jokioinen Ilmala","2017","6","8","00:00","0.4"
"Jokioinen Ilmala","2017","6","9","00:00","171.8"
"Jokioinen Ilmala","2017","6","10","00:00","351.3"
"Jokioinen Ilmala","2017","6","11","00:00","188.8"
"Jokioinen Ilmala","2017","6","12","00:00","0.4"
"Jokioinen Ilmala","2017","6","13","00:00","5.4"
"Jokioinen Ilmala","2017","6","14","00:00","452"
"Jokioinen Ilmala","2017","6","15","00:00","477.6"
"Jokioinen Ilmala","2017","6","16","00:00","160.8"
"Jokioinen Ilmala","2017","6","17","00:00","289.1"
"Jokioinen Ilmala","2017","6","18","00:00","44.7"
"Jokioinen Ilmala","2017","6","19","00:00","410"
"Jokioinen Ilmala","2017","6","20","00:00","54.8"
"Jokioinen Ilmala","2017","6","21","00:00","256.3"
"Jokioinen Ilmala","2017","6","22","00:00","332.2"
"Jokioinen Ilmala","2017","6","23","00:00","205.9"
"Jokioinen Ilmala","2017","6","24","00:00","17.7"
"Jokioinen Ilmala","2017","6","25","00:00","186.6"
"Jokioinen Ilmala","2017","6","26","00:00","115.5"
"Jokioinen Ilmala","2017","6","27","00:00","87.4"
"Jokioinen Ilmala","2017","6","28","00:00","435.2"
"Jokioinen Ilmala","2017","6","29","00:00","525.6"
"Jokioinen Ilmala","2017","6","30","00:00","484.9"
"Jokioinen Ilmala","2017","7","1","00:00","377.8"
"Jokioinen Ilmala","2017","7","2","00:00","126.4"
"Jokioinen Ilmala","2017","7","3","00:00","100.9"
"Jokioinen Ilmala","2017","7","4","00:00","23.2"
"Jokioinen Ilmala","2017","7","5","00:00","149.2"
"Jokioinen Ilmala","2017","7","6","00:00","103.6"
"Jokioinen Ilmala","2017","7","7","00:00","478.4"
"Jokioinen Ilmala","2017","7","8","00:00","236.1"
"Jokioinen Ilmala","2017","7","9","00:00","244"
"Jokioinen Ilmala","2017","7","10","00:00","337.3"
"Jokioinen Ilmala","2017","7","11","00:00","3"
"Jokioinen Ilmala","2017","7","12","00:00","141.5"
"Jokioinen Ilmala","2017","7","13","00:00","1.1"
"Jokioinen Ilmala","2017","7","14","00:00","314.4"
"Jokioinen Ilmala","2017","7","15","00:00","527.1"
"Jokioinen Ilmala","2017","7","16","00:00","473"
"Jokioinen Ilmala","2017","7","17","00:00","143.7"
"Jokioinen Ilmala","2017","7","18","00:00","412.1"
"Jokioinen Ilmala","2017","7","19","00:00","5.8"
"Jokioinen Ilmala","2017","7","20","00:00","171.2"
"Jokioinen Ilmala","2017","7","21","00:00","294.1"
"Jokioinen Ilmala","2017","7","22","00:00","226"
"Jokioinen Ilmala","2017","7","23","00:00","345.7"
"Jokioinen Ilmala","2017","7","24","00:00","114.8"
"Jokioinen Ilmala","2017","7","25","00:00","13.5"
"Jokioinen Ilmala","2017","7","26","00:00","191.8"
"Jokioinen Ilmala","2017","7","27","00:00","226.1"
"Jokioinen Ilmala","2017","7","28","00:00","76.8"
"Jokioinen Ilmala","2017","7","29","00:00","122.5"
"Jokioinen Ilmala","2017","7","30","00:00","197.1"
"Jokioinen Ilmala","2017","7","31","00:00","101.6"
"Jokioinen Ilmala","2017","8","1","00:00","308.6"
