"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2018","6","1","00:00","303.9"
"Jokioinen Ilmala","2018","6","2","00:00","472.7"
"Jokioinen Ilmala","2018","6","3","00:00","441.3"
"Jokioinen Ilmala","2018","6","4","00:00","287.3"
"Jokioinen Ilmala","2018","6","5","00:00","187.9"
"Jokioinen Ilmala","2018","6","6","00:00","100.2"
"Jokioinen Ilmala","2018","6","7","00:00","114.8"
"Jokioinen Ilmala","2018","6","8","00:00","297.9"
"Jokioinen Ilmala","2018","6","9","00:00","269.6"
"Jokioinen Ilmala","2018","6","10","00:00","337.2"
"Jokioinen Ilmala","2018","6","11","00:00","126.2"
"Jokioinen Ilmala","2018","6","12","00:00","372.7"
"Jokioinen Ilmala","2018","6","13","00:00","301.6"
"Jokioinen Ilmala","2018","6","14","00:00","212.7"
"Jokioinen Ilmala","2018","6","15","00:00","125.9"
"Jokioinen Ilmala","2018","6","16","00:00","330.9"
"Jokioinen Ilmala","2018","6","17","00:00","284"
"Jokioinen Ilmala","2018","6","18","00:00","240.5"
"Jokioinen Ilmala","2018","6","19","00:00","112.5"
"Jokioinen Ilmala","2018","6","20","00:00","301"
"Jokioinen Ilmala","2018","6","21","00:00","74.5"
"Jokioinen Ilmala","2018","6","22","00:00","30.9"
"Jokioinen Ilmala","2018","6","23","00:00","169.9"
"Jokioinen Ilmala","2018","6","24","00:00","128.9"
"Jokioinen Ilmala","2018","6","25","00:00","38.9"
"Jokioinen Ilmala","2018","6","26","00:00","143.2"
"Jokioinen Ilmala","2018","6","27","00:00","487.6"
"Jokioinen Ilmala","2018","6","28","00:00","-"
"-","2018","6","29","00:00","-"
"Jokioinen Ilmala","2018","6","30","00:00","370.4"
"Jokioinen Ilmala","2018","7","1","00:00","517.4"
"Jokioinen Ilmala","2018","7","2","00:00","80.7"
"Jokioinen Ilmala","2018","7","3","00:00","0.4"
"Jokioinen Ilmala","2018","7","4","00:00","65.4"
"Jokioinen Ilmala","2018","7","5","00:00","73.8"
"Jokioinen Ilmala","2018","7","6","00:00","98.8"
"Jokioinen Ilmala","2018","7","7","00:00","338.7"
"Jokioinen Ilmala","2018","7","8","00:00","181.1"
"Jokioinen Ilmala","2018","7","9","00:00","368.6"
"Jokioinen Ilmala","2018","7","10","00:00","106"
"Jokioinen Ilmala","2018","7","11","00:00","41.9"
"Jokioinen Ilmala","2018","7","12","00:00","114.9"
"Jokioinen Ilmala","2018","7","13","00:00","235.2"
"Jokioinen Ilmala","2018","7","14","00:00","476.1"
"Jokioinen Ilmala","2018","7","15","00:00","495.8"
"Jokioinen Ilmala","2018","7","16","00:00","433.6"
"Jokioinen Ilmala","2018","7","17","00:00","419.1"
"Jokioinen Ilmala","2018","7","18","00:00","-"
"-","2018","7","19","00:00","-"
"Jokioinen Ilmala","2018","7","20","00:00","3.4"
"Jokioinen Ilmala","2018","7","21","00:00","50.6"
"Jokioinen Ilmala","2018","7","22","00:00","332.5"
"Jokioinen Ilmala","2018","7","23","00:00","322.6"
"Jokioinen Ilmala","2018","7","24","00:00","404.7"
"Jokioinen Ilmala","2018","7","25","00:00","352.6"
"Jokioinen Ilmala","2018","7","26","00:00","404.8"
"Jokioinen Ilmala","2018","7","27","00:00","398.8"
"Jokioinen Ilmala","2018","7","28","00:00","237.3"
"Jokioinen Ilmala","2018","7","29","00:00","98.7"
"Jokioinen Ilmala","2018","7","30","00:00","187.6"
"Jokioinen Ilmala","2018","7","31","00:00","262.8"
"Jokioinen Ilmala","2018","8","1","00:00","301.7"
