"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2019","6","1","00:00","223.1"
"Jokioinen Ilmala","2019","6","2","00:00","248.4"
"Jokioinen Ilmala","2019","6","3","00:00","179.7"
"Jokioinen Ilmala","2019","6","4","00:00","103.8"
"Jokioinen Ilmala","2019","6","5","00:00","178.2"
"Jokioinen Ilmala","2019","6","6","00:00","412.8"
"Jokioinen Ilmala","2019","6","7","00:00","333.5"
"Jokioinen Ilmala","2019","6","8","00:00","343.1"
"Jokioinen Ilmala","2019","6","9","00:00","354.7"
"Jokioinen Ilmala","2019","6","10","00:00","410.3"
"Jokioinen Ilmala","2019","6","11","00:00","336.2"
"Jokioinen Ilmala","2019","6","12","00:00","173"
"Jokioinen Ilmala","2019","6","13","00:00","92.1"
"Jokioinen Ilmala","2019","6","14","00:00","0.1"
"Jokioinen Ilmala","2019","6","15","00:00","209.1"
"Jokioinen Ilmala","2019","6","16","00:00","475.2"
"Jokioinen Ilmala","2019","6","17","00:00","300.5"
"Jokioinen Ilmala","2019","6","18","00:00","535.5"
"Jokioinen Ilmala","2019","6","19","00:00","194.7"
"Jokioinen Ilmala","2019","6","20","00:00","350.6"
"Jokioinen Ilmala","2019","6","21","00:00","306.6"
"Jokioinen Ilmala","2019","6","22","00:00","301.3"
"Jokioinen Ilmala","2019","6","23","00:00","322.2"
"Jokioinen Ilmala","2019","6","24","00:00","531.4"
"Jokioinen Ilmala","2019","6","25","00:00","134.7"
"Jokioinen Ilmala","2019","6","26","00:00","64"
"Jokioinen Ilmala","2019","6","27","00:00","129.9"
"Jokioinen Ilmala","2019","6","28","00:00","529.6"
"Jokioinen Ilmala","2019","6","29","00:00","116.4"
"Jokioinen Ilmala","2019","6","30","00:00","259.8"
"Jokioinen Ilmala","2019","7","1","00:00","294.8"
"Jokioinen Ilmala","2019","7","2","00:00","49.5"
"Jokioinen Ilmala","2019","7","3","00:00","358.1"
"Jokioinen Ilmala","2019","7","4","00:00","210.7"
"Jokioinen Ilmala","2019","7","5","00:00","55.3"
"Jokioinen Ilmala","2019","7","6","00:00","58.5"
"Jokioinen Ilmala","2019","7","7","00:00","40.8"
"Jokioinen Ilmala","2019","7","8","00:00","14.8"
"Jokioinen Ilmala","2019","7","9","00:00","1.5"
"Jokioinen Ilmala","2019","7","10","00:00","429"
"Jokioinen Ilmala","2019","7","11","00:00","125"
"Jokioinen Ilmala","2019","7","12","00:00","263.6"
"Jokioinen Ilmala","2019","7","13","00:00","298.9"
"Jokioinen Ilmala","2019","7","14","00:00","176.7"
"Jokioinen Ilmala","2019","7","15","00:00","90.2"
"Jokioinen Ilmala","2019","7","16","00:00","62.3"
"Jokioinen Ilmala","2019","7","17","00:00","288.8"
"Jokioinen Ilmala","2019","7","18","00:00","371.4"
"Jokioinen Ilmala","2019","7","19","00:00","454.9"
"Jokioinen Ilmala","2019","7","20","00:00","480.3"
"Jokioinen Ilmala","2019","7","21","00:00","353.9"
"Jokioinen Ilmala","2019","7","22","00:00","205.6"
"Jokioinen Ilmala","2019","7","23","00:00","93.8"
"Jokioinen Ilmala","2019","7","24","00:00","434.6"
"Jokioinen Ilmala","2019","7","25","00:00","428.7"
"Jokioinen Ilmala","2019","7","26","00:00","422.6"
"Jokioinen Ilmala","2019","7","27","00:00","378"
"Jokioinen Ilmala","2019","7","28","00:00","379.2"
"Jokioinen Ilmala","2019","7","29","00:00","344.8"
"Jokioinen Ilmala","2019","7","30","00:00","134.2"
"Jokioinen Ilmala","2019","7","31","00:00","187.1"
"Jokioinen Ilmala","2019","8","1","00:00","345.6"
