"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2020","6","1","00:00","294.5"
"Jokioinen Ilmala","2020","6","2","00:00","398.8"
"Jokioinen Ilmala","2020","6","3","00:00","517.6"
"Jokioinen Ilmala","2020","6","4","00:00","205.8"
"Jokioinen Ilmala","2020","6","5","00:00","30.9"
"Jokioinen Ilmala","2020","6","6","00:00","44.1"
"Jokioinen Ilmala","2020","6","7","00:00","248.6"
"Jokioinen Ilmala","2020","6","8","00:00","155.9"
"Jokioinen Ilmala","2020","6","9","00:00","183.8"
"Jokioinen Ilmala","2020","6","10","00:00","561.3"
"Jokioinen Ilmala","2020","6","11","00:00","545"
"Jokioinen Ilmala","2020","6","12","00:00","545.5"
"Jokioinen Ilmala","2020","6","13","00:00","466.4"
"Jokioinen Ilmala","2020","6","14","00:00","556.4"
"Jokioinen Ilmala","2020","6","15","00:00","464.5"
"Jokioinen Ilmala","2020","6","16","00:00","36.7"
"Jokioinen Ilmala","2020","6","17","00:00","332.9"
"Jokioinen Ilmala","2020","6","18","00:00","530.8"
"Jokioinen Ilmala","2020","6","19","00:00","428.9"
"Jokioinen Ilmala","2020","6","20","00:00","495.6"
"Jokioinen Ilmala","2020","6","21","00:00","360.5"
"Jokioinen Ilmala","2020","6","22","00:00","566.7"
"Jokioinen Ilmala","2020","6","23","00:00","452.7"
"Jokioinen Ilmala","2020","6","24","00:00","482.1"
"Jokioinen Ilmala","2020","6","25","00:00","514.6"
"Jokioinen Ilmala","2020","6","26","00:00","526.4"
"Jokioinen Ilmala","2020","6","27","00:00","363.4"
"Jokioinen Ilmala","2020","6","28","00:00","310.4"
"Jokioinen Ilmala","2020","6","29","00:00","65.6"
"Jokioinen Ilmala","2020","6","30","00:00","0.5"
"Jokioinen Ilmala","2020","7","1","00:00","107.8"
"Jokioinen Ilmala","2020","7","2","00:00","124.8"
"Jokioinen Ilmala","2020","7","3","00:00","289.5"
"Jokioinen Ilmala","2020","7","4","00:00","46.4"
"Jokioinen Ilmala","2020","7","5","00:00","119.8"
"Jokioinen Ilmala","2020","7","6","00:00","202.8"
"Jokioinen Ilmala","2020","7","7","00:00","62"
"Jokioinen Ilmala","2020","7","8","00:00","240.3"
"Jokioinen Ilmala","2020","7","9","00:00","138.3"
"Jokioinen Ilmala","2020","7","10","00:00","127"
"Jokioinen Ilmala","2020","7","11","00:00","4.1"
"Jokioinen Ilmala","2020","7","12","00:00","226.8"
"Jokioinen Ilmala","2020","7","13","00:00","222.8"
"Jokioinen Ilmala","2020","7","14","00:00","350.6"
"Jokioinen Ilmala","2020","7","15","00:00","387.1"
"Jokioinen Ilmala","2020","7","16","00:00","271.2"
"Jokioinen Ilmala","2020","7","17","00:00","388.1"
"Jokioinen Ilmala","2020","7","18","00:00","459.5"
"Jokioinen Ilmala","2020","7","19","00:00","341.8"
"Jokioinen Ilmala","2020","7","20","00:00","69.5"
"Jokioinen Ilmala","2020","7","21","00:00","207.1"
"Jokioinen Ilmala","2020","7","22","00:00","112.8"
"Jokioinen Ilmala","2020","7","23","00:00","2.6"
"Jokioinen Ilmala","2020","7","24","00:00","0.5"
"Jokioinen Ilmala","2020","7","25","00:00","93.4"
"Jokioinen Ilmala","2020","7","26","00:00","354.8"
"Jokioinen Ilmala","2020","7","27","00:00","209"
"Jokioinen Ilmala","2020","7","28","00:00","61.3"
"Jokioinen Ilmala","2020","7","29","00:00","38.6"
"Jokioinen Ilmala","2020","7","30","00:00","196.2"
"Jokioinen Ilmala","2020","7","31","00:00","327.4"
"Jokioinen Ilmala","2020","8","1","00:00","391.5"
