"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2021","6","1","00:00","389.3"
"Jokioinen Ilmala","2021","6","2","00:00","409.7"
"Jokioinen Ilmala","2021","6","3","00:00","298.4"
"Jokioinen Ilmala","2021","6","4","00:00","330.8"
"Jokioinen Ilmala","2021","6","5","00:00","295.2"
"Jokioinen Ilmala","2021","6","6","00:00","399.9"
"Jokioinen Ilmala","2021","6","7","00:00","297.3"
"Jokioinen Ilmala","2021","6","8","00:00","247"
"Jokioinen Ilmala","2021","6","9","00:00","368.4"
"Jokioinen Ilmala","2021","6","10","00:00","241.8"
"Jokioinen Ilmala","2021","6","11","00:00","345.3"
"Jokioinen Ilmala","2021","6","12","00:00","28.9"
"Jokioinen Ilmala","2021","6","13","00:00","328.6"
"Jokioinen Ilmala","2021","6","14","00:00","305.5"
"Jokioinen Ilmala","2021","6","15","00:00","308.8"
"Jokioinen Ilmala","2021","6","16","00:00","340.2"
"Jokioinen Ilmala","2021","6","17","00:00","402.3"
"Jokioinen Ilmala","2021","6","18","00:00","441.4"
"Jokioinen Ilmala","2021","6","19","00:00","381.4"
"Jokioinen Ilmala","2021","6","20","00:00","395.1"
"Jokioinen Ilmala","2021","6","21","00:00","293.2"
"Jokioinen Ilmala","2021","6","22","00:00","330.6"
"Jokioinen Ilmala","2021","6","23","00:00","216.2"
"Jokioinen Ilmala","2021","6","24","00:00","64"
"Jokioinen Ilmala","2021","6","25","00:00","152.9"
"Jokioinen Ilmala","2021","6","26","00:00","97.7"
"Jokioinen Ilmala","2021","6","27","00:00","443.3"
"Jokioinen Ilmala","2021","6","28","00:00","501.9"
"Jokioinen Ilmala","2021","6","29","00:00","519.9"
"Jokioinen Ilmala","2021","6","30","00:00","183.2"
"Jokioinen Ilmala","2021","7","1","00:00","429.1"
"Jokioinen Ilmala","2021","7","2","00:00","322.8"
"Jokioinen Ilmala","2021","7","3","00:00","512.6"
"Jokioinen Ilmala","2021","7","4","00:00","532.5"
"Jokioinen Ilmala","2021","7","5","00:00","289.7"
"Jokioinen Ilmala","2021","7","6","00:00","91.6"
"Jokioinen Ilmala","2021","7","7","00:00","264.1"
"Jokioinen Ilmala","2021","7","8","00:00","252.6"
"Jokioinen Ilmala","2021","7","9","00:00","122.7"
"Jokioinen Ilmala","2021","7","10","00:00","205"
"Jokioinen Ilmala","2021","7","11","00:00","237.6"
"Jokioinen Ilmala","2021","7","12","00:00","414.2"
"Jokioinen Ilmala","2021","7","13","00:00","444.3"
"Jokioinen Ilmala","2021","7","14","00:00","428.5"
"Jokioinen Ilmala","2021","7","15","00:00","289.5"
"Jokioinen Ilmala","2021","7","16","00:00","479"
"Jokioinen Ilmala","2021","7","17","00:00","427.2"
"Jokioinen Ilmala","2021","7","18","00:00","326.1"
"Jokioinen Ilmala","2021","7","19","00:00","130.5"
"Jokioinen Ilmala","2021","7","20","00:00","143"
"Jokioinen Ilmala","2021","7","21","00:00","375.5"
"Jokioinen Ilmala","2021","7","22","00:00","285.4"
"Jokioinen Ilmala","2021","7","23","00:00","133.9"
"Jokioinen Ilmala","2021","7","24","00:00","290.8"
"Jokioinen Ilmala","2021","7","25","00:00","398.1"
"Jokioinen Ilmala","2021","7","26","00:00","338"
"Jokioinen Ilmala","2021","7","27","00:00","347.3"
"Jokioinen Ilmala","2021","7","28","00:00","6.6"
"Jokioinen Ilmala","2021","7","29","00:00","193.8"
"Jokioinen Ilmala","2021","7","30","00:00","88.5"
"Jokioinen Ilmala","2021","7","31","00:00","203.8"
"Jokioinen Ilmala","2021","8","1","00:00","103.6"
