"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2022","6","1","00:00","166"
"Jokioinen Ilmala","2022","6","2","00:00","10.1"
"Jokioinen Ilmala","2022","6","3","00:00","233.8"
"Jokioinen Ilmala","2022","6","4","00:00","245.4"
"Jokioinen Ilmala","2022","6","5","00:00","124.4"
"Jokioinen Ilmala","2022","6","6","00:00","566.9"
"Jokioinen Ilmala","2022","6","7","00:00","462"
"Jokioinen Ilmala","2022","6","8","00:00","42.5"
"Jokioinen Ilmala","2022","6","9","00:00","138.3"
"Jokioinen Ilmala","2022","6","10","00:00","177.4"
"Jokioinen Ilmala","2022","6","11","00:00","240.7"
"Jokioinen Ilmala","2022","6","12","00:00","290"
"Jokioinen Ilmala","2022","6","13","00:00","155.8"
"Jokioinen Ilmala","2022","6","14","00:00","243.4"
"Jokioinen Ilmala","2022","6","15","00:00","511.1"
"Jokioinen Ilmala","2022","6","16","00:00","339.8"
"Jokioinen Ilmala","2022","6","17","00:00","464"
"Jokioinen Ilmala","2022","6","18","00:00","0.3"
"Jokioinen Ilmala","2022","6","19","00:00","237.7"
"Jokioinen Ilmala","2022","6","20","00:00","232.6"
"Jokioinen Ilmala","2022","6","21","00:00","356.7"
"Jokioinen Ilmala","2022","6","22","00:00","49.7"
"Jokioinen Ilmala","2022","6","23","00:00","177.9"
"Jokioinen Ilmala","2022","6","24","00:00","417.2"
"Jokioinen Ilmala","2022","6","25","00:00","532.9"
"Jokioinen Ilmala","2022","6","26","00:00","507.5"
"Jokioinen Ilmala","2022","6","27","00:00","413.4"
"Jokioinen Ilmala","2022","6","28","00:00","237.4"
"Jokioinen Ilmala","2022","6","29","00:00","340.2"
"Jokioinen Ilmala","2022","6","30","00:00","504.9"
"Jokioinen Ilmala","2022","7","1","00:00","205.1"
"Jokioinen Ilmala","2022","7","2","00:00","107.6"
"Jokioinen Ilmala","2022","7","3","00:00","454.9"
"Jokioinen Ilmala","2022","7","4","00:00","420.2"
"Jokioinen Ilmala","2022","7","5","00:00","199.2"
"Jokioinen Ilmala","2022","7","6","00:00","279.6"
"Jokioinen Ilmala","2022","7","7","00:00","258.9"
"Jokioinen Ilmala","2022","7","8","00:00","333.6"
"Jokioinen Ilmala","2022","7","9","00:00","91.1"
"Jokioinen Ilmala","2022","7","10","00:00","284.4"
"Jokioinen Ilmala","2022","7","11","00:00","180.9"
"Jokioinen Ilmala","2022","7","12","00:00","145.9"
"Jokioinen Ilmala","2022","7","13","00:00","1"
"Jokioinen Ilmala","2022","7","14","00:00","192.8"
"Jokioinen Ilmala","2022","7","15","00:00","108.3"
"Jokioinen Ilmala","2022","7","16","00:00","56.4"
"Jokioinen Ilmala","2022","7","17","00:00","7.4"
"Jokioinen Ilmala","2022","7","18","00:00","109.1"
"Jokioinen Ilmala","2022","7","19","00:00","269.1"
"Jokioinen Ilmala","2022","7","20","00:00","415.4"
"Jokioinen Ilmala","2022","7","21","00:00","395.4"
"Jokioinen Ilmala","2022","7","22","00:00","322.5"
"Jokioinen Ilmala","2022","7","23","00:00","77.8"
"Jokioinen Ilmala","2022","7","24","00:00","27.6"
"Jokioinen Ilmala","2022","7","25","00:00","252.1"
"Jokioinen Ilmala","2022","7","26","00:00","12.5"
"Jokioinen Ilmala","2022","7","27","00:00","89.9"
"Jokioinen Ilmala","2022","7","28","00:00","199.3"
"Jokioinen Ilmala","2022","7","29","00:00","84.6"
"Jokioinen Ilmala","2022","7","30","00:00","244.1"
"Jokioinen Ilmala","2022","7","31","00:00","275"
"Jokioinen Ilmala","2022","8","1","00:00","278.6"
