"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2004","7","1","00:00","167.1"
"Jokioinen Ilmala","2004","7","2","00:00","156.6"
"Jokioinen Ilmala","2004","7","3","00:00","0.3"
"Jokioinen Ilmala","2004","7","4","00:00","153.6"
"Jokioinen Ilmala","2004","7","5","00:00","167.2"
"Jokioinen Ilmala","2004","7","6","00:00","99.3"
"Jokioinen Ilmala","2004","7","7","00:00","74.7"
"Jokioinen Ilmala","2004","7","8","00:00","303.6"
"Jokioinen Ilmala","2004","7","9","00:00","151.5"
"Jokioinen Ilmala","2004","7","10","00:00","49.4"
"Jokioinen Ilmala","2004","7","11","00:00","107.4"
"Jokioinen Ilmala","2004","7","12","00:00","160.4"
"Jokioinen Ilmala","2004","7","13","00:00","91.8"
"Jokioinen Ilmala","2004","7","14","00:00","92.3"
"Jokioinen Ilmala","2004","7","15","00:00","224.3"
"Jokioinen Ilmala","2004","7","16","00:00","345.9"
"Jokioinen Ilmala","2004","7","17","00:00","162.5"
"Jokioinen Ilmala","2004","7","18","00:00","348.4"
"Jokioinen Ilmala","2004","7","19","00:00","69.4"
"Jokioinen Ilmala","2004","7","20","00:00","109"
"Jokioinen Ilmala","2004","7","21","00:00","200.2"
"Jokioinen Ilmala","2004","7","22","00:00","237.8"
"Jokioinen Ilmala","2004","7","23","00:00","92.8"
"Jokioinen Ilmala","2004","7","24","00:00","70.1"
"Jokioinen Ilmala","2004","7","25","00:00","62.8"
"Jokioinen Ilmala","2004","7","26","00:00","47.1"
"Jokioinen Ilmala","2004","7","27","00:00","46.4"
"Jokioinen Ilmala","2004","7","28","00:00","0.3"
"Jokioinen Ilmala","2004","7","29","00:00","0.6"
"Jokioinen Ilmala","2004","7","30","00:00","49.7"
"Jokioinen Ilmala","2004","7","31","00:00","7.1"
"Jokioinen Ilmala","2004","8","1","00:00","89.2"
"Jokioinen Ilmala","2004","8","2","00:00","72.4"
"Jokioinen Ilmala","2004","8","3","00:00","65.4"
"Jokioinen Ilmala","2004","8","4","00:00","299.9"
"Jokioinen Ilmala","2004","8","5","00:00","348.5"
"Jokioinen Ilmala","2004","8","6","00:00","317.4"
"Jokioinen Ilmala","2004","8","7","00:00","306"
"Jokioinen Ilmala","2004","8","8","00:00","202.6"
"Jokioinen Ilmala","2004","8","9","00:00","303.6"
"Jokioinen Ilmala","2004","8","10","00:00","326.2"
"Jokioinen Ilmala","2004","8","11","00:00","199.6"
"Jokioinen Ilmala","2004","8","12","00:00","170.3"
"Jokioinen Ilmala","2004","8","13","00:00","346.3"
"Jokioinen Ilmala","2004","8","14","00:00","274.9"
"Jokioinen Ilmala","2004","8","15","00:00","112.4"
"Jokioinen Ilmala","2004","8","16","00:00","231.3"
"Jokioinen Ilmala","2004","8","17","00:00","48"
"Jokioinen Ilmala","2004","8","18","00:00","75.6"
"Jokioinen Ilmala","2004","8","19","00:00","159.8"
"Jokioinen Ilmala","2004","8","20","00:00","97.5"
"Jokioinen Ilmala","2004","8","21","00:00","162.5"
"Jokioinen Ilmala","2004","8","22","00:00","215.3"
"Jokioinen Ilmala","2004","8","23","00:00","148.9"
"Jokioinen Ilmala","2004","8","24","00:00","368.1"
"Jokioinen Ilmala","2004","8","25","00:00","295.7"
"Jokioinen Ilmala","2004","8","26","00:00","0.3"
"Jokioinen Ilmala","2004","8","27","00:00","85.2"
"Jokioinen Ilmala","2004","8","28","00:00","14"
"Jokioinen Ilmala","2004","8","29","00:00","163.5"
"Jokioinen Ilmala","2004","8","30","00:00","39"
"Jokioinen Ilmala","2004","8","31","00:00","2.2"
"Jokioinen Ilmala","2004","9","1","00:00","40.1"
