"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2005","7","1","00:00","276.6"
"Jokioinen Ilmala","2005","7","2","00:00","299.8"
"Jokioinen Ilmala","2005","7","3","00:00","346.7"
"Jokioinen Ilmala","2005","7","4","00:00","270.2"
"Jokioinen Ilmala","2005","7","5","00:00","-"
"-","2005","7","6","00:00","-"
"-","2005","7","7","00:00","-"
"Jokioinen Ilmala","2005","7","8","00:00","185.6"
"Jokioinen Ilmala","2005","7","9","00:00","284.6"
"Jokioinen Ilmala","2005","7","10","00:00","318.1"
"Jokioinen Ilmala","2005","7","11","00:00","296.1"
"Jokioinen Ilmala","2005","7","12","00:00","313.4"
"Jokioinen Ilmala","2005","7","13","00:00","312.5"
"Jokioinen Ilmala","2005","7","14","00:00","325.9"
"Jokioinen Ilmala","2005","7","15","00:00","163.5"
"Jokioinen Ilmala","2005","7","16","00:00","132.6"
"Jokioinen Ilmala","2005","7","17","00:00","67.7"
"Jokioinen Ilmala","2005","7","18","00:00","131.4"
"Jokioinen Ilmala","2005","7","19","00:00","38.5"
"Jokioinen Ilmala","2005","7","20","00:00","119.7"
"Jokioinen Ilmala","2005","7","21","00:00","158.8"
"Jokioinen Ilmala","2005","7","22","00:00","4.5"
"Jokioinen Ilmala","2005","7","23","00:00","52.3"
"Jokioinen Ilmala","2005","7","24","00:00","39"
"Jokioinen Ilmala","2005","7","25","00:00","32.3"
"Jokioinen Ilmala","2005","7","26","00:00","59.2"
"Jokioinen Ilmala","2005","7","27","00:00","29.1"
"Jokioinen Ilmala","2005","7","28","00:00","239.6"
"Jokioinen Ilmala","2005","7","29","00:00","111.8"
"Jokioinen Ilmala","2005","7","30","00:00","262.8"
"Jokioinen Ilmala","2005","7","31","00:00","267.1"
"Jokioinen Ilmala","2005","8","1","00:00","22.5"
"Jokioinen Ilmala","2005","8","2","00:00","90.3"
"Jokioinen Ilmala","2005","8","3","00:00","317.9"
"Jokioinen Ilmala","2005","8","4","00:00","4.7"
"Jokioinen Ilmala","2005","8","5","00:00","177"
"Jokioinen Ilmala","2005","8","6","00:00","131.3"
"Jokioinen Ilmala","2005","8","7","00:00","96"
"Jokioinen Ilmala","2005","8","8","00:00","2.5"
"Jokioinen Ilmala","2005","8","9","00:00","117.3"
"Jokioinen Ilmala","2005","8","10","00:00","3.8"
"Jokioinen Ilmala","2005","8","11","00:00","4.5"
"Jokioinen Ilmala","2005","8","12","00:00","-"
"-","2005","8","13","00:00","-"
"Jokioinen Ilmala","2005","8","14","00:00","32.8"
"Jokioinen Ilmala","2005","8","15","00:00","190.2"
"Jokioinen Ilmala","2005","8","16","00:00","19.9"
"Jokioinen Ilmala","2005","8","17","00:00","202.5"
"Jokioinen Ilmala","2005","8","18","00:00","246.7"
"Jokioinen Ilmala","2005","8","19","00:00","262.9"
"Jokioinen Ilmala","2005","8","20","00:00","213.7"
"Jokioinen Ilmala","2005","8","21","00:00","84.5"
"Jokioinen Ilmala","2005","8","22","00:00","263.5"
"Jokioinen Ilmala","2005","8","23","00:00","129.7"
"Jokioinen Ilmala","2005","8","24","00:00","151.8"
"Jokioinen Ilmala","2005","8","25","00:00","173.6"
"Jokioinen Ilmala","2005","8","26","00:00","12.8"
"Jokioinen Ilmala","2005","8","27","00:00","116.8"
"Jokioinen Ilmala","2005","8","28","00:00","19"
"Jokioinen Ilmala","2005","8","29","00:00","77.1"
"Jokioinen Ilmala","2005","8","30","00:00","103.9"
"Jokioinen Ilmala","2005","8","31","00:00","269.2"
"Jokioinen Ilmala","2005","9","1","00:00","282.3"
