"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2006","7","1","00:00","297.2"
"Jokioinen Ilmala","2006","7","2","00:00","208.5"
"Jokioinen Ilmala","2006","7","3","00:00","309.6"
"Jokioinen Ilmala","2006","7","4","00:00","259.4"
"Jokioinen Ilmala","2006","7","5","00:00","340.3"
"Jokioinen Ilmala","2006","7","6","00:00","217.4"
"Jokioinen Ilmala","2006","7","7","00:00","272.2"
"Jokioinen Ilmala","2006","7","8","00:00","246.9"
"Jokioinen Ilmala","2006","7","9","00:00","261.6"
"Jokioinen Ilmala","2006","7","10","00:00","157.6"
"Jokioinen Ilmala","2006","7","11","00:00","182.5"
"Jokioinen Ilmala","2006","7","12","00:00","240.5"
"Jokioinen Ilmala","2006","7","13","00:00","265.6"
"Jokioinen Ilmala","2006","7","14","00:00","272.5"
"Jokioinen Ilmala","2006","7","15","00:00","287.4"
"Jokioinen Ilmala","2006","7","16","00:00","348.7"
"Jokioinen Ilmala","2006","7","17","00:00","281.7"
"Jokioinen Ilmala","2006","7","18","00:00","298"
"Jokioinen Ilmala","2006","7","19","00:00","239.1"
"Jokioinen Ilmala","2006","7","20","00:00","121.7"
"Jokioinen Ilmala","2006","7","21","00:00","24.1"
"Jokioinen Ilmala","2006","7","22","00:00","71"
"Jokioinen Ilmala","2006","7","23","00:00","245.2"
"Jokioinen Ilmala","2006","7","24","00:00","-"
"-","2006","7","25","00:00","-"
"-","2006","7","26","00:00","-"
"Jokioinen Ilmala","2006","7","27","00:00","314.1"
"Jokioinen Ilmala","2006","7","28","00:00","-"
"-","2006","7","29","00:00","-"
"-","2006","7","30","00:00","-"
"-","2006","7","31","00:00","-"
"-","2006","8","1","00:00","-"
"-","2006","8","2","00:00","-"
"Jokioinen Ilmala","2006","8","3","00:00","225.6"
"Jokioinen Ilmala","2006","8","4","00:00","244.2"
"Jokioinen Ilmala","2006","8","5","00:00","301.3"
"Jokioinen Ilmala","2006","8","6","00:00","192.8"
"Jokioinen Ilmala","2006","8","7","00:00","201.5"
"Jokioinen Ilmala","2006","8","8","00:00","23.4"
"Jokioinen Ilmala","2006","8","9","00:00","76"
"Jokioinen Ilmala","2006","8","10","00:00","133.5"
"Jokioinen Ilmala","2006","8","11","00:00","215.7"
"Jokioinen Ilmala","2006","8","12","00:00","133.7"
"Jokioinen Ilmala","2006","8","13","00:00","77.2"
"Jokioinen Ilmala","2006","8","14","00:00","62.6"
"Jokioinen Ilmala","2006","8","15","00:00","27.9"
"Jokioinen Ilmala","2006","8","16","00:00","108.3"
"Jokioinen Ilmala","2006","8","17","00:00","42.2"
"Jokioinen Ilmala","2006","8","18","00:00","167.2"
"Jokioinen Ilmala","2006","8","19","00:00","166.9"
"Jokioinen Ilmala","2006","8","20","00:00","72.8"
"Jokioinen Ilmala","2006","8","21","00:00","81.3"
"Jokioinen Ilmala","2006","8","22","00:00","35.2"
"Jokioinen Ilmala","2006","8","23","00:00","140.9"
"Jokioinen Ilmala","2006","8","24","00:00","189.7"
"Jokioinen Ilmala","2006","8","25","00:00","136.1"
"Jokioinen Ilmala","2006","8","26","00:00","151.7"
"Jokioinen Ilmala","2006","8","27","00:00","126.4"
"Jokioinen Ilmala","2006","8","28","00:00","12.2"
"Jokioinen Ilmala","2006","8","29","00:00","53.8"
"Jokioinen Ilmala","2006","8","30","00:00","166.8"
"Jokioinen Ilmala","2006","8","31","00:00","108.5"
"Jokioinen Ilmala","2006","9","1","00:00","123.4"
