"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2013","7","1","00:00","-"
"Jokioinen Ilmala","2013","7","2","00:00","-"
"-","2013","7","3","00:00","-"
"-","2013","7","4","00:00","-"
"-","2013","7","5","00:00","-"
"-","2013","7","6","00:00","-"
"-","2013","7","7","00:00","-"
"-","2013","7","8","00:00","-"
"-","2013","7","9","00:00","-"
"-","2013","7","10","00:00","-"
"-","2013","7","11","00:00","-"
"-","2013","7","12","00:00","-"
"-","2013","7","13","00:00","-"
"-","2013","7","14","00:00","-"
"-","2013","7","15","00:00","-"
"-","2013","7","16","00:00","-"
"-","2013","7","17","00:00","-"
"Jokioinen Ilmala","2013","7","18","00:00","-"
"-","2013","7","19","00:00","-"
"-","2013","7","20","00:00","-"
"-","2013","7","21","00:00","-"
"-","2013","7","22","00:00","-"
"-","2013","7","23","00:00","-"
"-","2013","7","24","00:00","-"
"-","2013","7","25","00:00","-"
"-","2013","7","26","00:00","-"
"-","2013","7","27","00:00","-"
"-","2013","7","28","00:00","-"
"-","2013","7","29","00:00","-"
"-","2013","7","30","00:00","-"
"-","2013","7","31","00:00","-"
"-","2013","8","1","00:00","-"
"Jokioinen Ilmala","2013","8","2","00:00","-"
"-","2013","8","3","00:00","-"
"-","2013","8","4","00:00","-"
"Jokioinen Ilmala","2013","8","5","00:00","-"
"-","2013","8","6","00:00","-"
"-","2013","8","7","00:00","-"
"-","2013","8","8","00:00","-"
"Jokioinen Ilmala","2013","8","9","00:00","3.1"
"Jokioinen Ilmala","2013","8","10","00:00","10.5"
"Jokioinen Ilmala","2013","8","11","00:00","-"
"-","2013","8","12","00:00","-"
"-","2013","8","13","00:00","-"
"-","2013","8","14","00:00","-"
"-","2013","8","15","00:00","-"
"-","2013","8","16","00:00","-"
"-","2013","8","17","00:00","-"
"Jokioinen Ilmala","2013","8","18","00:00","105.5"
"Jokioinen Ilmala","2013","8","19","00:00","-"
"-","2013","8","20","00:00","-"
"-","2013","8","21","00:00","-"
"-","2013","8","22","00:00","-"
"-","2013","8","23","00:00","-"
"-","2013","8","24","00:00","-"
"-","2013","8","25","00:00","-"
"-","2013","8","26","00:00","-"
"-","2013","8","27","00:00","-"
"-","2013","8","28","00:00","-"
"-","2013","8","29","00:00","-"
"-","2013","8","30","00:00","-"
"Jokioinen Ilmala","2013","8","31","00:00","1.1"
"Jokioinen Ilmala","2013","9","1","00:00","1.1"
