"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2015","8","1","00:00","-"
"-","2015","8","2","00:00","-"
"-","2015","8","3","00:00","-"
"Jokioinen Ilmala","2015","8","4","00:00","-"
"-","2015","8","5","00:00","-"
"Jokioinen Ilmala","2015","8","6","00:00","-"
"-","2015","8","7","00:00","-"
"-","2015","8","8","00:00","-"
"-","2015","8","9","00:00","-"
"Jokioinen Ilmala","2015","8","10","00:00","-"
"-","2015","8","11","00:00","-"
"-","2015","8","12","00:00","-"
"-","2015","8","13","00:00","-"
"-","2015","8","14","00:00","-"
"Jokioinen Ilmala","2015","8","15","00:00","427.9"
"Jokioinen Ilmala","2015","8","16","00:00","-"
"-","2015","8","17","00:00","-"
"-","2015","8","18","00:00","-"
"-","2015","8","19","00:00","-"
"-","2015","8","20","00:00","-"
"-","2015","8","21","00:00","-"
"-","2015","8","22","00:00","-"
"-","2015","8","23","00:00","-"
"-","2015","8","24","00:00","-"
"-","2015","8","25","00:00","-"
"-","2015","8","26","00:00","-"
"Jokioinen Ilmala","2015","8","27","00:00","-"
"-","2015","8","28","00:00","-"
"-","2015","8","29","00:00","-"
"-","2015","8","30","00:00","-"
"-","2015","8","31","00:00","-"
"-","2015","9","1","00:00","-"
"-","2015","9","2","00:00","-"
"Jokioinen Ilmala","2015","9","3","00:00","-"
"-","2015","9","4","00:00","-"
"-","2015","9","5","00:00","-"
"-","2015","9","6","00:00","-"
"Jokioinen Ilmala","2015","9","7","00:00","-"
"-","2015","9","8","00:00","-"
"-","2015","9","9","00:00","-"
"Jokioinen Ilmala","2015","9","10","00:00","-"
"-","2015","9","11","00:00","-"
"-","2015","9","12","00:00","-"
"-","2015","9","13","00:00","-"
"-","2015","9","14","00:00","-"
"-","2015","9","15","00:00","-"
"Jokioinen Ilmala","2015","9","16","00:00","-"
"-","2015","9","17","00:00","-"
"-","2015","9","18","00:00","-"
"-","2015","9","19","00:00","-"
"-","2015","9","20","00:00","-"
"-","2015","9","21","00:00","-"
"Jokioinen Ilmala","2015","9","22","00:00","-"
"-","2015","9","23","00:00","-"
"-","2015","9","24","00:00","-"
"-","2015","9","25","00:00","-"
"Jokioinen Ilmala","2015","9","26","00:00","-"
"-","2015","9","27","00:00","-"
"-","2015","9","28","00:00","-"
"Jokioinen Ilmala","2015","9","29","00:00","-"
"-","2015","9","30","00:00","-"
"-","2015","10","1","00:00","-"
