"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2016","8","1","00:00","131.9"
"Jokioinen Ilmala","2016","8","2","00:00","301.7"
"Jokioinen Ilmala","2016","8","3","00:00","374.6"
"Jokioinen Ilmala","2016","8","4","00:00","41.3"
"Jokioinen Ilmala","2016","8","5","00:00","66.1"
"Jokioinen Ilmala","2016","8","6","00:00","135"
"Jokioinen Ilmala","2016","8","7","00:00","170.2"
"Jokioinen Ilmala","2016","8","8","00:00","128.2"
"Jokioinen Ilmala","2016","8","9","00:00","247.3"
"Jokioinen Ilmala","2016","8","10","00:00","252.4"
"Jokioinen Ilmala","2016","8","11","00:00","119.8"
"Jokioinen Ilmala","2016","8","12","00:00","128.5"
"Jokioinen Ilmala","2016","8","13","00:00","3.5"
"Jokioinen Ilmala","2016","8","14","00:00","2.8"
"Jokioinen Ilmala","2016","8","15","00:00","174.6"
"Jokioinen Ilmala","2016","8","16","00:00","0.5"
"Jokioinen Ilmala","2016","8","17","00:00","66.2"
"Jokioinen Ilmala","2016","8","18","00:00","18.2"
"Jokioinen Ilmala","2016","8","19","00:00","173.2"
"Jokioinen Ilmala","2016","8","20","00:00","153.9"
"Jokioinen Ilmala","2016","8","21","00:00","50.4"
"Jokioinen Ilmala","2016","8","22","00:00","0.5"
"Jokioinen Ilmala","2016","8","23","00:00","55.3"
"Jokioinen Ilmala","2016","8","24","00:00","147.8"
"Jokioinen Ilmala","2016","8","25","00:00","6.3"
"Jokioinen Ilmala","2016","8","26","00:00","49.6"
"Jokioinen Ilmala","2016","8","27","00:00","230.9"
"Jokioinen Ilmala","2016","8","28","00:00","138.6"
"Jokioinen Ilmala","2016","8","29","00:00","0.3"
"Jokioinen Ilmala","2016","8","30","00:00","147.6"
"Jokioinen Ilmala","2016","8","31","00:00","213.8"
"Jokioinen Ilmala","2016","9","1","00:00","98.9"
"Jokioinen Ilmala","2016","9","2","00:00","161.9"
"Jokioinen Ilmala","2016","9","3","00:00","11.7"
"Jokioinen Ilmala","2016","9","4","00:00","19.7"
"Jokioinen Ilmala","2016","9","5","00:00","253.5"
"Jokioinen Ilmala","2016","9","6","00:00","145.7"
"Jokioinen Ilmala","2016","9","7","00:00","204.5"
"Jokioinen Ilmala","2016","9","8","00:00","352.9"
"Jokioinen Ilmala","2016","9","9","00:00","215.1"
"Jokioinen Ilmala","2016","9","10","00:00","84.6"
"Jokioinen Ilmala","2016","9","11","00:00","209.8"
"Jokioinen Ilmala","2016","9","12","00:00","249.7"
"Jokioinen Ilmala","2016","9","13","00:00","332.1"
"Jokioinen Ilmala","2016","9","14","00:00","359.6"
"Jokioinen Ilmala","2016","9","15","00:00","14.2"
"Jokioinen Ilmala","2016","9","16","00:00","273.7"
"Jokioinen Ilmala","2016","9","17","00:00","1.1"
"Jokioinen Ilmala","2016","9","18","00:00","119"
"Jokioinen Ilmala","2016","9","19","00:00","5.7"
"Jokioinen Ilmala","2016","9","20","00:00","169.1"
"Jokioinen Ilmala","2016","9","21","00:00","282.4"
"Jokioinen Ilmala","2016","9","22","00:00","41.6"
"Jokioinen Ilmala","2016","9","23","00:00","1.2"
"Jokioinen Ilmala","2016","9","24","00:00","24.3"
"Jokioinen Ilmala","2016","9","25","00:00","8.7"
"Jokioinen Ilmala","2016","9","26","00:00","56.1"
"Jokioinen Ilmala","2016","9","27","00:00","103.7"
"Jokioinen Ilmala","2016","9","28","00:00","0"
"Jokioinen Ilmala","2016","9","29","00:00","3.7"
"Jokioinen Ilmala","2016","9","30","00:00","53.6"
"Jokioinen Ilmala","2016","10","1","00:00","127"
