"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2017","8","1","00:00","308.6"
"Jokioinen Ilmala","2017","8","2","00:00","133.3"
"Jokioinen Ilmala","2017","8","3","00:00","359.4"
"Jokioinen Ilmala","2017","8","4","00:00","16.6"
"Jokioinen Ilmala","2017","8","5","00:00","114.5"
"Jokioinen Ilmala","2017","8","6","00:00","3.8"
"Jokioinen Ilmala","2017","8","7","00:00","72.2"
"Jokioinen Ilmala","2017","8","8","00:00","204.7"
"Jokioinen Ilmala","2017","8","9","00:00","202.2"
"Jokioinen Ilmala","2017","8","10","00:00","97.5"
"Jokioinen Ilmala","2017","8","11","00:00","312.6"
"Jokioinen Ilmala","2017","8","12","00:00","95.3"
"Jokioinen Ilmala","2017","8","13","00:00","20.4"
"Jokioinen Ilmala","2017","8","14","00:00","374.1"
"Jokioinen Ilmala","2017","8","15","00:00","243.4"
"Jokioinen Ilmala","2017","8","16","00:00","131"
"Jokioinen Ilmala","2017","8","17","00:00","5.2"
"Jokioinen Ilmala","2017","8","18","00:00","13.9"
"Jokioinen Ilmala","2017","8","19","00:00","6.2"
"Jokioinen Ilmala","2017","8","20","00:00","205.1"
"Jokioinen Ilmala","2017","8","21","00:00","85.3"
"Jokioinen Ilmala","2017","8","22","00:00","55.4"
"Jokioinen Ilmala","2017","8","23","00:00","1.4"
"Jokioinen Ilmala","2017","8","24","00:00","153.8"
"Jokioinen Ilmala","2017","8","25","00:00","34.7"
"Jokioinen Ilmala","2017","8","26","00:00","56.4"
"Jokioinen Ilmala","2017","8","27","00:00","31.5"
"Jokioinen Ilmala","2017","8","28","00:00","165.5"
"Jokioinen Ilmala","2017","8","29","00:00","27.3"
"Jokioinen Ilmala","2017","8","30","00:00","21.3"
"Jokioinen Ilmala","2017","8","31","00:00","0.4"
"Jokioinen Ilmala","2017","9","1","00:00","81.7"
"Jokioinen Ilmala","2017","9","2","00:00","8.2"
"Jokioinen Ilmala","2017","9","3","00:00","208.1"
"Jokioinen Ilmala","2017","9","4","00:00","252.3"
"Jokioinen Ilmala","2017","9","5","00:00","331.5"
"Jokioinen Ilmala","2017","9","6","00:00","181.6"
"Jokioinen Ilmala","2017","9","7","00:00","1.2"
"Jokioinen Ilmala","2017","9","8","00:00","1"
"Jokioinen Ilmala","2017","9","9","00:00","1.2"
"Jokioinen Ilmala","2017","9","10","00:00","4.3"
"Jokioinen Ilmala","2017","9","11","00:00","141.6"
"Jokioinen Ilmala","2017","9","12","00:00","75.4"
"Jokioinen Ilmala","2017","9","13","00:00","117.4"
"Jokioinen Ilmala","2017","9","14","00:00","3.6"
"Jokioinen Ilmala","2017","9","15","00:00","52"
"Jokioinen Ilmala","2017","9","16","00:00","24.2"
"Jokioinen Ilmala","2017","9","17","00:00","129.1"
"Jokioinen Ilmala","2017","9","18","00:00","1"
"Jokioinen Ilmala","2017","9","19","00:00","0.8"
"Jokioinen Ilmala","2017","9","20","00:00","3"
"Jokioinen Ilmala","2017","9","21","00:00","3.8"
"Jokioinen Ilmala","2017","9","22","00:00","0.1"
"Jokioinen Ilmala","2017","9","23","00:00","118.3"
"Jokioinen Ilmala","2017","9","24","00:00","284.2"
"Jokioinen Ilmala","2017","9","25","00:00","238.9"
"Jokioinen Ilmala","2017","9","26","00:00","12.5"
"Jokioinen Ilmala","2017","9","27","00:00","53.8"
"Jokioinen Ilmala","2017","9","28","00:00","30.9"
"Jokioinen Ilmala","2017","9","29","00:00","91.5"
"Jokioinen Ilmala","2017","9","30","00:00","0.1"
"Jokioinen Ilmala","2017","10","1","00:00","0"
