"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2018","8","1","00:00","301.7"
"Jokioinen Ilmala","2018","8","2","00:00","264.9"
"Jokioinen Ilmala","2018","8","3","00:00","284.4"
"Jokioinen Ilmala","2018","8","4","00:00","111.5"
"Jokioinen Ilmala","2018","8","5","00:00","195.2"
"Jokioinen Ilmala","2018","8","6","00:00","275.2"
"Jokioinen Ilmala","2018","8","7","00:00","353.4"
"Jokioinen Ilmala","2018","8","8","00:00","356"
"Jokioinen Ilmala","2018","8","9","00:00","79.5"
"Jokioinen Ilmala","2018","8","10","00:00","200.7"
"Jokioinen Ilmala","2018","8","11","00:00","294.3"
"Jokioinen Ilmala","2018","8","12","00:00","7.3"
"Jokioinen Ilmala","2018","8","13","00:00","184.3"
"Jokioinen Ilmala","2018","8","14","00:00","136.4"
"Jokioinen Ilmala","2018","8","15","00:00","57.3"
"Jokioinen Ilmala","2018","8","16","00:00","276.9"
"Jokioinen Ilmala","2018","8","17","00:00","102.3"
"Jokioinen Ilmala","2018","8","18","00:00","188.4"
"Jokioinen Ilmala","2018","8","19","00:00","242.9"
"Jokioinen Ilmala","2018","8","20","00:00","106.6"
"Jokioinen Ilmala","2018","8","21","00:00","317.9"
"Jokioinen Ilmala","2018","8","22","00:00","310.4"
"Jokioinen Ilmala","2018","8","23","00:00","4"
"Jokioinen Ilmala","2018","8","24","00:00","158.2"
"Jokioinen Ilmala","2018","8","25","00:00","44.1"
"Jokioinen Ilmala","2018","8","26","00:00","9.9"
"Jokioinen Ilmala","2018","8","27","00:00","178.2"
"Jokioinen Ilmala","2018","8","28","00:00","40.5"
"Jokioinen Ilmala","2018","8","29","00:00","331.2"
"Jokioinen Ilmala","2018","8","30","00:00","14.3"
"Jokioinen Ilmala","2018","8","31","00:00","58.7"
"Jokioinen Ilmala","2018","9","1","00:00","3.7"
"Jokioinen Ilmala","2018","9","2","00:00","60.5"
"Jokioinen Ilmala","2018","9","3","00:00","186.3"
"Jokioinen Ilmala","2018","9","4","00:00","85.9"
"Jokioinen Ilmala","2018","9","5","00:00","2.8"
"Jokioinen Ilmala","2018","9","6","00:00","107.4"
"Jokioinen Ilmala","2018","9","7","00:00","150.3"
"Jokioinen Ilmala","2018","9","8","00:00","49.3"
"Jokioinen Ilmala","2018","9","9","00:00","89.8"
"Jokioinen Ilmala","2018","9","10","00:00","28.4"
"Jokioinen Ilmala","2018","9","11","00:00","3"
"Jokioinen Ilmala","2018","9","12","00:00","98.7"
"Jokioinen Ilmala","2018","9","13","00:00","259.7"
"Jokioinen Ilmala","2018","9","14","00:00","88.6"
"Jokioinen Ilmala","2018","9","15","00:00","4.2"
"Jokioinen Ilmala","2018","9","16","00:00","272.4"
"Jokioinen Ilmala","2018","9","17","00:00","2.9"
"Jokioinen Ilmala","2018","9","18","00:00","18.5"
"Jokioinen Ilmala","2018","9","19","00:00","59.6"
"Jokioinen Ilmala","2018","9","20","00:00","101.8"
"Jokioinen Ilmala","2018","9","21","00:00","29"
"Jokioinen Ilmala","2018","9","22","00:00","62.8"
"Jokioinen Ilmala","2018","9","23","00:00","162.1"
"Jokioinen Ilmala","2018","9","24","00:00","139.7"
"Jokioinen Ilmala","2018","9","25","00:00","303"
"Jokioinen Ilmala","2018","9","26","00:00","0.7"
"Jokioinen Ilmala","2018","9","27","00:00","182.3"
"Jokioinen Ilmala","2018","9","28","00:00","169.6"
"Jokioinen Ilmala","2018","9","29","00:00","149"
"Jokioinen Ilmala","2018","9","30","00:00","34.1"
"Jokioinen Ilmala","2018","10","1","00:00","38.4"
