"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2019","8","1","00:00","345.6"
"Jokioinen Ilmala","2019","8","2","00:00","383.6"
"Jokioinen Ilmala","2019","8","3","00:00","179.8"
"Jokioinen Ilmala","2019","8","4","00:00","296.1"
"Jokioinen Ilmala","2019","8","5","00:00","282.4"
"Jokioinen Ilmala","2019","8","6","00:00","156.9"
"Jokioinen Ilmala","2019","8","7","00:00","78.1"
"Jokioinen Ilmala","2019","8","8","00:00","73.2"
"Jokioinen Ilmala","2019","8","9","00:00","106.2"
"Jokioinen Ilmala","2019","8","10","00:00","214.7"
"Jokioinen Ilmala","2019","8","11","00:00","3.1"
"Jokioinen Ilmala","2019","8","12","00:00","95.7"
"Jokioinen Ilmala","2019","8","13","00:00","236.3"
"Jokioinen Ilmala","2019","8","14","00:00","111.3"
"Jokioinen Ilmala","2019","8","15","00:00","248.7"
"Jokioinen Ilmala","2019","8","16","00:00","85"
"Jokioinen Ilmala","2019","8","17","00:00","187.4"
"Jokioinen Ilmala","2019","8","18","00:00","19.1"
"Jokioinen Ilmala","2019","8","19","00:00","106.7"
"Jokioinen Ilmala","2019","8","20","00:00","182"
"Jokioinen Ilmala","2019","8","21","00:00","158.8"
"Jokioinen Ilmala","2019","8","22","00:00","235.1"
"Jokioinen Ilmala","2019","8","23","00:00","36.2"
"Jokioinen Ilmala","2019","8","24","00:00","267.3"
"Jokioinen Ilmala","2019","8","25","00:00","266.7"
"Jokioinen Ilmala","2019","8","26","00:00","71.1"
"Jokioinen Ilmala","2019","8","27","00:00","272.1"
"Jokioinen Ilmala","2019","8","28","00:00","337"
"Jokioinen Ilmala","2019","8","29","00:00","322.5"
"Jokioinen Ilmala","2019","8","30","00:00","75.2"
"Jokioinen Ilmala","2019","8","31","00:00","124.5"
"Jokioinen Ilmala","2019","9","1","00:00","318"
"Jokioinen Ilmala","2019","9","2","00:00","117.4"
"Jokioinen Ilmala","2019","9","3","00:00","199.4"
"Jokioinen Ilmala","2019","9","4","00:00","140.4"
"Jokioinen Ilmala","2019","9","5","00:00","10.4"
"Jokioinen Ilmala","2019","9","6","00:00","188.6"
"Jokioinen Ilmala","2019","9","7","00:00","17.8"
"Jokioinen Ilmala","2019","9","8","00:00","35.4"
"Jokioinen Ilmala","2019","9","9","00:00","7.9"
"Jokioinen Ilmala","2019","9","10","00:00","192"
"Jokioinen Ilmala","2019","9","11","00:00","10.5"
"Jokioinen Ilmala","2019","9","12","00:00","10.7"
"Jokioinen Ilmala","2019","9","13","00:00","53"
"Jokioinen Ilmala","2019","9","14","00:00","184"
"Jokioinen Ilmala","2019","9","15","00:00","45.4"
"Jokioinen Ilmala","2019","9","16","00:00","-"
"-","2019","9","17","00:00","-"
"Jokioinen Ilmala","2019","9","18","00:00","151.9"
"Jokioinen Ilmala","2019","9","19","00:00","163.9"
"Jokioinen Ilmala","2019","9","20","00:00","85.9"
"Jokioinen Ilmala","2019","9","21","00:00","5.3"
"Jokioinen Ilmala","2019","9","22","00:00","257.2"
"Jokioinen Ilmala","2019","9","23","00:00","108.1"
"Jokioinen Ilmala","2019","9","24","00:00","2.6"
"Jokioinen Ilmala","2019","9","25","00:00","0.4"
"Jokioinen Ilmala","2019","9","26","00:00","205.9"
"Jokioinen Ilmala","2019","9","27","00:00","173.7"
"Jokioinen Ilmala","2019","9","28","00:00","201.1"
"Jokioinen Ilmala","2019","9","29","00:00","1.8"
"Jokioinen Ilmala","2019","9","30","00:00","5.7"
"Jokioinen Ilmala","2019","10","1","00:00","89.9"
