"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2021","8","1","00:00","103.6"
"Jokioinen Ilmala","2021","8","2","00:00","111.4"
"Jokioinen Ilmala","2021","8","3","00:00","70.1"
"Jokioinen Ilmala","2021","8","4","00:00","311.6"
"Jokioinen Ilmala","2021","8","5","00:00","213.5"
"Jokioinen Ilmala","2021","8","6","00:00","377"
"Jokioinen Ilmala","2021","8","7","00:00","147.3"
"Jokioinen Ilmala","2021","8","8","00:00","67.4"
"Jokioinen Ilmala","2021","8","9","00:00","64.7"
"Jokioinen Ilmala","2021","8","10","00:00","249.5"
"Jokioinen Ilmala","2021","8","11","00:00","139.2"
"Jokioinen Ilmala","2021","8","12","00:00","198.6"
"Jokioinen Ilmala","2021","8","13","00:00","270.5"
"Jokioinen Ilmala","2021","8","14","00:00","96"
"Jokioinen Ilmala","2021","8","15","00:00","62.6"
"Jokioinen Ilmala","2021","8","16","00:00","86.7"
"Jokioinen Ilmala","2021","8","17","00:00","0.4"
"Jokioinen Ilmala","2021","8","18","00:00","15.2"
"Jokioinen Ilmala","2021","8","19","00:00","33.2"
"Jokioinen Ilmala","2021","8","20","00:00","115.2"
"Jokioinen Ilmala","2021","8","21","00:00","95.9"
"Jokioinen Ilmala","2021","8","22","00:00","25.3"
"Jokioinen Ilmala","2021","8","23","00:00","160.7"
"Jokioinen Ilmala","2021","8","24","00:00","149.8"
"Jokioinen Ilmala","2021","8","25","00:00","1.9"
"Jokioinen Ilmala","2021","8","26","00:00","0"
"Jokioinen Ilmala","2021","8","27","00:00","0.4"
"Jokioinen Ilmala","2021","8","28","00:00","43.9"
"Jokioinen Ilmala","2021","8","29","00:00","243.4"
"Jokioinen Ilmala","2021","8","30","00:00","301.9"
"Jokioinen Ilmala","2021","8","31","00:00","315.1"
"Jokioinen Ilmala","2021","9","1","00:00","196.1"
"Jokioinen Ilmala","2021","9","2","00:00","139"
"Jokioinen Ilmala","2021","9","3","00:00","136"
"Jokioinen Ilmala","2021","9","4","00:00","189.9"
"Jokioinen Ilmala","2021","9","5","00:00","64.2"
"Jokioinen Ilmala","2021","9","6","00:00","202.8"
"Jokioinen Ilmala","2021","9","7","00:00","37.1"
"Jokioinen Ilmala","2021","9","8","00:00","19.9"
"Jokioinen Ilmala","2021","9","9","00:00","57"
"Jokioinen Ilmala","2021","9","10","00:00","73.2"
"Jokioinen Ilmala","2021","9","11","00:00","1.6"
"Jokioinen Ilmala","2021","9","12","00:00","0"
"Jokioinen Ilmala","2021","9","13","00:00","232.7"
"Jokioinen Ilmala","2021","9","14","00:00","257.7"
"Jokioinen Ilmala","2021","9","15","00:00","104.3"
"Jokioinen Ilmala","2021","9","16","00:00","1"
"Jokioinen Ilmala","2021","9","17","00:00","191.3"
"Jokioinen Ilmala","2021","9","18","00:00","162.4"
"Jokioinen Ilmala","2021","9","19","00:00","29.1"
"Jokioinen Ilmala","2021","9","20","00:00","215.9"
"Jokioinen Ilmala","2021","9","21","00:00","199.8"
"Jokioinen Ilmala","2021","9","22","00:00","217.4"
"Jokioinen Ilmala","2021","9","23","00:00","2.4"
"Jokioinen Ilmala","2021","9","24","00:00","0"
"Jokioinen Ilmala","2021","9","25","00:00","50.4"
"Jokioinen Ilmala","2021","9","26","00:00","281.2"
"Jokioinen Ilmala","2021","9","27","00:00","323.8"
"Jokioinen Ilmala","2021","9","28","00:00","147"
"Jokioinen Ilmala","2021","9","29","00:00","1.1"
"Jokioinen Ilmala","2021","9","30","00:00","1.3"
"Jokioinen Ilmala","2021","10","1","00:00","29.2"
