"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2022","8","1","00:00","278.6"
"Jokioinen Ilmala","2022","8","2","00:00","356.7"
"Jokioinen Ilmala","2022","8","3","00:00","126.9"
"Jokioinen Ilmala","2022","8","4","00:00","168.5"
"Jokioinen Ilmala","2022","8","5","00:00","145.2"
"Jokioinen Ilmala","2022","8","6","00:00","87.2"
"Jokioinen Ilmala","2022","8","7","00:00","255.6"
"Jokioinen Ilmala","2022","8","8","00:00","244.4"
"Jokioinen Ilmala","2022","8","9","00:00","479.4"
"Jokioinen Ilmala","2022","8","10","00:00","212.2"
"Jokioinen Ilmala","2022","8","11","00:00","276.1"
"Jokioinen Ilmala","2022","8","12","00:00","315"
"Jokioinen Ilmala","2022","8","13","00:00","427.2"
"Jokioinen Ilmala","2022","8","14","00:00","425.9"
"Jokioinen Ilmala","2022","8","15","00:00","295.3"
"Jokioinen Ilmala","2022","8","16","00:00","317.1"
"Jokioinen Ilmala","2022","8","17","00:00","74.2"
"Jokioinen Ilmala","2022","8","18","00:00","88.1"
"Jokioinen Ilmala","2022","8","19","00:00","115.1"
"Jokioinen Ilmala","2022","8","20","00:00","243.1"
"Jokioinen Ilmala","2022","8","21","00:00","149.8"
"Jokioinen Ilmala","2022","8","22","00:00","209.6"
"Jokioinen Ilmala","2022","8","23","00:00","23.9"
"Jokioinen Ilmala","2022","8","24","00:00","1.5"
"Jokioinen Ilmala","2022","8","25","00:00","229.4"
"Jokioinen Ilmala","2022","8","26","00:00","93.9"
"Jokioinen Ilmala","2022","8","27","00:00","216.9"
"Jokioinen Ilmala","2022","8","28","00:00","250.7"
"Jokioinen Ilmala","2022","8","29","00:00","150.1"
"Jokioinen Ilmala","2022","8","30","00:00","189.8"
"Jokioinen Ilmala","2022","8","31","00:00","167.9"
"Jokioinen Ilmala","2022","9","1","00:00","268.4"
"Jokioinen Ilmala","2022","9","2","00:00","268.2"
"Jokioinen Ilmala","2022","9","3","00:00","153"
"Jokioinen Ilmala","2022","9","4","00:00","98.5"
"Jokioinen Ilmala","2022","9","5","00:00","107.1"
"Jokioinen Ilmala","2022","9","6","00:00","149.8"
"Jokioinen Ilmala","2022","9","7","00:00","107.6"
"Jokioinen Ilmala","2022","9","8","00:00","341.6"
"Jokioinen Ilmala","2022","9","9","00:00","276.7"
"Jokioinen Ilmala","2022","9","10","00:00","315.9"
"Jokioinen Ilmala","2022","9","11","00:00","221.6"
"Jokioinen Ilmala","2022","9","12","00:00","267.3"
"Jokioinen Ilmala","2022","9","13","00:00","0.9"
"Jokioinen Ilmala","2022","9","14","00:00","0"
"Jokioinen Ilmala","2022","9","15","00:00","23.9"
"Jokioinen Ilmala","2022","9","16","00:00","30.1"
"Jokioinen Ilmala","2022","9","17","00:00","25.3"
"Jokioinen Ilmala","2022","9","18","00:00","16.2"
"Jokioinen Ilmala","2022","9","19","00:00","69.3"
"Jokioinen Ilmala","2022","9","20","00:00","2.5"
"Jokioinen Ilmala","2022","9","21","00:00","4.1"
"Jokioinen Ilmala","2022","9","22","00:00","263.4"
"Jokioinen Ilmala","2022","9","23","00:00","202.3"
"Jokioinen Ilmala","2022","9","24","00:00","72.9"
"Jokioinen Ilmala","2022","9","25","00:00","8.2"
"Jokioinen Ilmala","2022","9","26","00:00","33.9"
"Jokioinen Ilmala","2022","9","27","00:00","5.7"
"Jokioinen Ilmala","2022","9","28","00:00","58"
"Jokioinen Ilmala","2022","9","29","00:00","0.3"
"Jokioinen Ilmala","2022","9","30","00:00","9.1"
"Jokioinen Ilmala","2022","10","1","00:00","67.3"
