"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2004","9","1","00:00","40.1"
"Jokioinen Ilmala","2004","9","2","00:00","34.6"
"Jokioinen Ilmala","2004","9","3","00:00","38.4"
"Jokioinen Ilmala","2004","9","4","00:00","12.4"
"Jokioinen Ilmala","2004","9","5","00:00","138.8"
"Jokioinen Ilmala","2004","9","6","00:00","39.7"
"Jokioinen Ilmala","2004","9","7","00:00","158.6"
"Jokioinen Ilmala","2004","9","8","00:00","211.8"
"Jokioinen Ilmala","2004","9","9","00:00","102.6"
"Jokioinen Ilmala","2004","9","10","00:00","209.4"
"Jokioinen Ilmala","2004","9","11","00:00","224.9"
"Jokioinen Ilmala","2004","9","12","00:00","4"
"Jokioinen Ilmala","2004","9","13","00:00","43.5"
"Jokioinen Ilmala","2004","9","14","00:00","125.7"
"Jokioinen Ilmala","2004","9","15","00:00","151.7"
"Jokioinen Ilmala","2004","9","16","00:00","138.3"
"Jokioinen Ilmala","2004","9","17","00:00","4.4"
"Jokioinen Ilmala","2004","9","18","00:00","0.1"
"Jokioinen Ilmala","2004","9","19","00:00","0.1"
"Jokioinen Ilmala","2004","9","20","00:00","79.4"
"Jokioinen Ilmala","2004","9","21","00:00","14.5"
"Jokioinen Ilmala","2004","9","22","00:00","11.1"
"Jokioinen Ilmala","2004","9","23","00:00","12.8"
"Jokioinen Ilmala","2004","9","24","00:00","36.4"
"Jokioinen Ilmala","2004","9","25","00:00","24.1"
"Jokioinen Ilmala","2004","9","26","00:00","135.8"
"Jokioinen Ilmala","2004","9","27","00:00","0.3"
"Jokioinen Ilmala","2004","9","28","00:00","10.1"
"Jokioinen Ilmala","2004","9","29","00:00","35.6"
"Jokioinen Ilmala","2004","9","30","00:00","222"
"Jokioinen Ilmala","2004","10","1","00:00","273.9"
"Jokioinen Ilmala","2004","10","2","00:00","169.9"
"Jokioinen Ilmala","2004","10","3","00:00","13.6"
"Jokioinen Ilmala","2004","10","4","00:00","91.3"
"Jokioinen Ilmala","2004","10","5","00:00","0.2"
"Jokioinen Ilmala","2004","10","6","00:00","1.3"
"Jokioinen Ilmala","2004","10","7","00:00","43"
"Jokioinen Ilmala","2004","10","8","00:00","8.8"
"Jokioinen Ilmala","2004","10","9","00:00","238.7"
"Jokioinen Ilmala","2004","10","10","00:00","280.3"
"Jokioinen Ilmala","2004","10","11","00:00","295.2"
"Jokioinen Ilmala","2004","10","12","00:00","195.4"
"Jokioinen Ilmala","2004","10","13","00:00","197.1"
"Jokioinen Ilmala","2004","10","14","00:00","243"
"Jokioinen Ilmala","2004","10","15","00:00","124"
"Jokioinen Ilmala","2004","10","16","00:00","73.6"
"Jokioinen Ilmala","2004","10","17","00:00","0.2"
"Jokioinen Ilmala","2004","10","18","00:00","0.1"
"Jokioinen Ilmala","2004","10","19","00:00","0.1"
"Jokioinen Ilmala","2004","10","20","00:00","0.9"
"Jokioinen Ilmala","2004","10","21","00:00","0.6"
"Jokioinen Ilmala","2004","10","22","00:00","1.3"
"Jokioinen Ilmala","2004","10","23","00:00","1.3"
"Jokioinen Ilmala","2004","10","24","00:00","3.5"
"Jokioinen Ilmala","2004","10","25","00:00","48.2"
"Jokioinen Ilmala","2004","10","26","00:00","0.3"
"Jokioinen Ilmala","2004","10","27","00:00","44.2"
"Jokioinen Ilmala","2004","10","28","00:00","215"
"Jokioinen Ilmala","2004","10","29","00:00","2.9"
"Jokioinen Ilmala","2004","10","30","00:00","13.5"
"Jokioinen Ilmala","2004","10","31","00:00","0.8"
"Jokioinen Ilmala","2004","11","1","00:00","131.7"
