"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2005","9","1","00:00","282.3"
"Jokioinen Ilmala","2005","9","2","00:00","280"
"Jokioinen Ilmala","2005","9","3","00:00","106.1"
"Jokioinen Ilmala","2005","9","4","00:00","147.7"
"Jokioinen Ilmala","2005","9","5","00:00","75.9"
"Jokioinen Ilmala","2005","9","6","00:00","73.4"
"Jokioinen Ilmala","2005","9","7","00:00","177.9"
"Jokioinen Ilmala","2005","9","8","00:00","26.1"
"Jokioinen Ilmala","2005","9","9","00:00","253.8"
"Jokioinen Ilmala","2005","9","10","00:00","144.8"
"Jokioinen Ilmala","2005","9","11","00:00","201.9"
"Jokioinen Ilmala","2005","9","12","00:00","8.6"
"Jokioinen Ilmala","2005","9","13","00:00","190.5"
"Jokioinen Ilmala","2005","9","14","00:00","1.9"
"Jokioinen Ilmala","2005","9","15","00:00","4.4"
"Jokioinen Ilmala","2005","9","16","00:00","219.8"
"Jokioinen Ilmala","2005","9","17","00:00","203.4"
"Jokioinen Ilmala","2005","9","18","00:00","26.7"
"Jokioinen Ilmala","2005","9","19","00:00","147.9"
"Jokioinen Ilmala","2005","9","20","00:00","1.8"
"Jokioinen Ilmala","2005","9","21","00:00","57.1"
"Jokioinen Ilmala","2005","9","22","00:00","94.3"
"Jokioinen Ilmala","2005","9","23","00:00","89.6"
"Jokioinen Ilmala","2005","9","24","00:00","25.1"
"Jokioinen Ilmala","2005","9","25","00:00","13.5"
"Jokioinen Ilmala","2005","9","26","00:00","122.6"
"Jokioinen Ilmala","2005","9","27","00:00","113.6"
"Jokioinen Ilmala","2005","9","28","00:00","3.4"
"Jokioinen Ilmala","2005","9","29","00:00","92.7"
"Jokioinen Ilmala","2005","9","30","00:00","138.8"
"Jokioinen Ilmala","2005","10","1","00:00","68.4"
"Jokioinen Ilmala","2005","10","2","00:00","10.1"
"Jokioinen Ilmala","2005","10","3","00:00","84.8"
"Jokioinen Ilmala","2005","10","4","00:00","124.5"
"Jokioinen Ilmala","2005","10","5","00:00","202"
"Jokioinen Ilmala","2005","10","6","00:00","1.8"
"Jokioinen Ilmala","2005","10","7","00:00","18.8"
"Jokioinen Ilmala","2005","10","8","00:00","105"
"Jokioinen Ilmala","2005","10","9","00:00","104.4"
"Jokioinen Ilmala","2005","10","10","00:00","133.3"
"Jokioinen Ilmala","2005","10","11","00:00","105"
"Jokioinen Ilmala","2005","10","12","00:00","79.8"
"Jokioinen Ilmala","2005","10","13","00:00","64.7"
"Jokioinen Ilmala","2005","10","14","00:00","5.7"
"Jokioinen Ilmala","2005","10","15","00:00","62.8"
"Jokioinen Ilmala","2005","10","16","00:00","1.8"
"Jokioinen Ilmala","2005","10","17","00:00","61.6"
"Jokioinen Ilmala","2005","10","18","00:00","135.5"
"Jokioinen Ilmala","2005","10","19","00:00","10.5"
"Jokioinen Ilmala","2005","10","20","00:00","105.9"
"Jokioinen Ilmala","2005","10","21","00:00","0.7"
"Jokioinen Ilmala","2005","10","22","00:00","0.6"
"Jokioinen Ilmala","2005","10","23","00:00","0.9"
"Jokioinen Ilmala","2005","10","24","00:00","114.3"
"Jokioinen Ilmala","2005","10","25","00:00","131.2"
"Jokioinen Ilmala","2005","10","26","00:00","0.7"
"Jokioinen Ilmala","2005","10","27","00:00","1.5"
"Jokioinen Ilmala","2005","10","28","00:00","0.7"
"Jokioinen Ilmala","2005","10","29","00:00","138.2"
"Jokioinen Ilmala","2005","10","30","00:00","0.4"
"Jokioinen Ilmala","2005","10","31","00:00","0.2"
"Jokioinen Ilmala","2005","11","1","00:00","65.7"
