"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2006","9","1","00:00","123.4"
"Jokioinen Ilmala","2006","9","2","00:00","34.1"
"Jokioinen Ilmala","2006","9","3","00:00","43.8"
"Jokioinen Ilmala","2006","9","4","00:00","56.2"
"Jokioinen Ilmala","2006","9","5","00:00","46"
"Jokioinen Ilmala","2006","9","6","00:00","127.1"
"Jokioinen Ilmala","2006","9","7","00:00","8.9"
"Jokioinen Ilmala","2006","9","8","00:00","10.8"
"Jokioinen Ilmala","2006","9","9","00:00","150.8"
"Jokioinen Ilmala","2006","9","10","00:00","186.1"
"Jokioinen Ilmala","2006","9","11","00:00","190.5"
"Jokioinen Ilmala","2006","9","12","00:00","141.4"
"Jokioinen Ilmala","2006","9","13","00:00","211.4"
"Jokioinen Ilmala","2006","9","14","00:00","171.1"
"Jokioinen Ilmala","2006","9","15","00:00","255.9"
"Jokioinen Ilmala","2006","9","16","00:00","254.3"
"Jokioinen Ilmala","2006","9","17","00:00","155.4"
"Jokioinen Ilmala","2006","9","18","00:00","32.2"
"Jokioinen Ilmala","2006","9","19","00:00","8.9"
"Jokioinen Ilmala","2006","9","20","00:00","70.6"
"Jokioinen Ilmala","2006","9","21","00:00","167.9"
"Jokioinen Ilmala","2006","9","22","00:00","101.7"
"Jokioinen Ilmala","2006","9","23","00:00","199"
"Jokioinen Ilmala","2006","9","24","00:00","107.8"
"Jokioinen Ilmala","2006","9","25","00:00","9.9"
"Jokioinen Ilmala","2006","9","26","00:00","146.2"
"Jokioinen Ilmala","2006","9","27","00:00","71.1"
"Jokioinen Ilmala","2006","9","28","00:00","3.7"
"Jokioinen Ilmala","2006","9","29","00:00","3.7"
"Jokioinen Ilmala","2006","9","30","00:00","4.3"
"Jokioinen Ilmala","2006","10","1","00:00","3.1"
"Jokioinen Ilmala","2006","10","2","00:00","54.5"
"Jokioinen Ilmala","2006","10","3","00:00","13.1"
"Jokioinen Ilmala","2006","10","4","00:00","5.5"
"Jokioinen Ilmala","2006","10","5","00:00","27.8"
"Jokioinen Ilmala","2006","10","6","00:00","46.2"
"Jokioinen Ilmala","2006","10","7","00:00","3.4"
"Jokioinen Ilmala","2006","10","8","00:00","27.2"
"Jokioinen Ilmala","2006","10","9","00:00","9.3"
"Jokioinen Ilmala","2006","10","10","00:00","3.8"
"Jokioinen Ilmala","2006","10","11","00:00","6.2"
"Jokioinen Ilmala","2006","10","12","00:00","26.7"
"Jokioinen Ilmala","2006","10","13","00:00","40.1"
"Jokioinen Ilmala","2006","10","14","00:00","9.7"
"Jokioinen Ilmala","2006","10","15","00:00","20.7"
"Jokioinen Ilmala","2006","10","16","00:00","3.3"
"Jokioinen Ilmala","2006","10","17","00:00","7.9"
"Jokioinen Ilmala","2006","10","18","00:00","146.4"
"Jokioinen Ilmala","2006","10","19","00:00","12.8"
"Jokioinen Ilmala","2006","10","20","00:00","10.8"
"Jokioinen Ilmala","2006","10","21","00:00","3"
"Jokioinen Ilmala","2006","10","22","00:00","3.3"
"Jokioinen Ilmala","2006","10","23","00:00","3.3"
"Jokioinen Ilmala","2006","10","24","00:00","8.5"
"Jokioinen Ilmala","2006","10","25","00:00","3.2"
"Jokioinen Ilmala","2006","10","26","00:00","9.8"
"Jokioinen Ilmala","2006","10","27","00:00","6.6"
"Jokioinen Ilmala","2006","10","28","00:00","33.4"
"Jokioinen Ilmala","2006","10","29","00:00","158.1"
"Jokioinen Ilmala","2006","10","30","00:00","4.5"
"Jokioinen Ilmala","2006","10","31","00:00","-"
"-","2006","11","1","00:00","-"
