"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2013","9","1","00:00","-"
"-","2013","9","2","00:00","-"
"Jokioinen Ilmala","2013","9","3","00:00","-"
"-","2013","9","4","00:00","-"
"-","2013","9","5","00:00","-"
"-","2013","9","6","00:00","-"
"-","2013","9","7","00:00","-"
"-","2013","9","8","00:00","-"
"-","2013","9","9","00:00","-"
"-","2013","9","10","00:00","-"
"-","2013","9","11","00:00","-"
"-","2013","9","12","00:00","-"
"-","2013","9","13","00:00","-"
"Jokioinen Ilmala","2013","9","14","00:00","-"
"-","2013","9","15","00:00","-"
"-","2013","9","16","00:00","-"
"-","2013","9","17","00:00","-"
"-","2013","9","18","00:00","-"
"-","2013","9","19","00:00","-"
"-","2013","9","20","00:00","-"
"-","2013","9","21","00:00","-"
"-","2013","9","22","00:00","-"
"-","2013","9","23","00:00","-"
"-","2013","9","24","00:00","-"
"Jokioinen Ilmala","2013","9","25","00:00","152.8"
"Jokioinen Ilmala","2013","9","26","00:00","19.4"
"Jokioinen Ilmala","2013","9","27","00:00","36.4"
"Jokioinen Ilmala","2013","9","28","00:00","-"
"-","2013","9","29","00:00","-"
"Jokioinen Ilmala","2013","9","30","00:00","30.8"
"Jokioinen Ilmala","2013","10","1","00:00","5.7"
"Jokioinen Ilmala","2013","10","2","00:00","-"
"-","2013","10","3","00:00","-"
"-","2013","10","4","00:00","-"
"-","2013","10","5","00:00","-"
"-","2013","10","6","00:00","-"
"-","2013","10","7","00:00","-"
"-","2013","10","8","00:00","-"
"Jokioinen Ilmala","2013","10","9","00:00","-"
"-","2013","10","10","00:00","-"
"Jokioinen Ilmala","2013","10","11","00:00","160.7"
"Jokioinen Ilmala","2013","10","12","00:00","-"
"-","2013","10","13","00:00","-"
"-","2013","10","14","00:00","-"
"Jokioinen Ilmala","2013","10","15","00:00","-"
"-","2013","10","16","00:00","-"
"Jokioinen Ilmala","2013","10","17","00:00","-"
"-","2013","10","18","00:00","-"
"Jokioinen Ilmala","2013","10","19","00:00","-"
"-","2013","10","20","00:00","-"
"Jokioinen Ilmala","2013","10","21","00:00","-"
"-","2013","10","22","00:00","-"
"Jokioinen Ilmala","2013","10","23","00:00","0.3"
"Jokioinen Ilmala","2013","10","24","00:00","-"
"-","2013","10","25","00:00","-"
"Jokioinen Ilmala","2013","10","26","00:00","-"
"-","2013","10","27","00:00","-"
"-","2013","10","28","00:00","-"
"Jokioinen Ilmala","2013","10","29","00:00","7.3"
"Jokioinen Ilmala","2013","10","30","00:00","27.4"
"Jokioinen Ilmala","2013","10","31","00:00","-"
"-","2013","11","1","00:00","-"
