"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2014","9","1","00:00","-"
"-","2014","9","2","00:00","-"
"-","2014","9","3","00:00","-"
"-","2014","9","4","00:00","-"
"Jokioinen Ilmala","2014","9","5","00:00","-"
"-","2014","9","6","00:00","-"
"-","2014","9","7","00:00","-"
"-","2014","9","8","00:00","-"
"Jokioinen Ilmala","2014","9","9","00:00","18.7"
"Jokioinen Ilmala","2014","9","10","00:00","-"
"-","2014","9","11","00:00","-"
"-","2014","9","12","00:00","-"
"-","2014","9","13","00:00","-"
"-","2014","9","14","00:00","-"
"-","2014","9","15","00:00","-"
"Jokioinen Ilmala","2014","9","16","00:00","-"
"-","2014","9","17","00:00","-"
"-","2014","9","18","00:00","-"
"-","2014","9","19","00:00","-"
"-","2014","9","20","00:00","-"
"-","2014","9","21","00:00","-"
"Jokioinen Ilmala","2014","9","22","00:00","-"
"-","2014","9","23","00:00","-"
"Jokioinen Ilmala","2014","9","24","00:00","-"
"-","2014","9","25","00:00","-"
"-","2014","9","26","00:00","-"
"Jokioinen Ilmala","2014","9","27","00:00","-"
"-","2014","9","28","00:00","-"
"-","2014","9","29","00:00","-"
"Jokioinen Ilmala","2014","9","30","00:00","218.2"
"Jokioinen Ilmala","2014","10","1","00:00","-"
"-","2014","10","2","00:00","-"
"Jokioinen Ilmala","2014","10","3","00:00","-"
"-","2014","10","4","00:00","-"
"-","2014","10","5","00:00","-"
"Jokioinen Ilmala","2014","10","6","00:00","-"
"-","2014","10","7","00:00","-"
"-","2014","10","8","00:00","-"
"Jokioinen Ilmala","2014","10","9","00:00","37.7"
"Jokioinen Ilmala","2014","10","10","00:00","2.3"
"Jokioinen Ilmala","2014","10","11","00:00","-"
"-","2014","10","12","00:00","-"
"Jokioinen Ilmala","2014","10","13","00:00","0.5"
"Jokioinen Ilmala","2014","10","14","00:00","-"
"-","2014","10","15","00:00","-"
"Jokioinen Ilmala","2014","10","16","00:00","-"
"-","2014","10","17","00:00","-"
"Jokioinen Ilmala","2014","10","18","00:00","171.4"
"Jokioinen Ilmala","2014","10","19","00:00","0.4"
"Jokioinen Ilmala","2014","10","20","00:00","-"
"-","2014","10","21","00:00","-"
"-","2014","10","22","00:00","-"
"-","2014","10","23","00:00","-"
"-","2014","10","24","00:00","-"
"-","2014","10","25","00:00","-"
"-","2014","10","26","00:00","-"
"-","2014","10","27","00:00","-"
"Jokioinen Ilmala","2014","10","28","00:00","0"
"Jokioinen Ilmala","2014","10","29","00:00","-"
"-","2014","10","30","00:00","-"
"-","2014","10","31","00:00","-"
"Jokioinen Ilmala","2014","11","1","00:00","70.8"
