"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2005","1","1","00:00","1.4"
"Sodankylä Tähtelä","2005","1","2","00:00","1.1"
"Sodankylä Tähtelä","2005","1","3","00:00","0.7"
"Sodankylä Tähtelä","2005","1","4","00:00","1.8"
"Sodankylä Tähtelä","2005","1","5","00:00","1.8"
"Sodankylä Tähtelä","2005","1","6","00:00","1.7"
"Sodankylä Tähtelä","2005","1","7","00:00","0.9"
"Sodankylä Tähtelä","2005","1","8","00:00","1.3"
"Sodankylä Tähtelä","2005","1","9","00:00","1.3"
"Sodankylä Tähtelä","2005","1","10","00:00","2.1"
"Sodankylä Tähtelä","2005","1","11","00:00","1.3"
"Sodankylä Tähtelä","2005","1","12","00:00","1.3"
"Sodankylä Tähtelä","2005","1","13","00:00","1.3"
"Sodankylä Tähtelä","2005","1","14","00:00","16.3"
"Sodankylä Tähtelä","2005","1","15","00:00","30.7"
"Sodankylä Tähtelä","2005","1","16","00:00","5.9"
"Sodankylä Tähtelä","2005","1","17","00:00","2.1"
"Sodankylä Tähtelä","2005","1","18","00:00","1"
"Sodankylä Tähtelä","2005","1","19","00:00","1"
"Sodankylä Tähtelä","2005","1","20","00:00","0.9"
"Sodankylä Tähtelä","2005","1","21","00:00","1.1"
"Sodankylä Tähtelä","2005","1","22","00:00","2.9"
"Sodankylä Tähtelä","2005","1","23","00:00","3.4"
"Sodankylä Tähtelä","2005","1","24","00:00","27.8"
"Sodankylä Tähtelä","2005","1","25","00:00","11.7"
"Sodankylä Tähtelä","2005","1","26","00:00","1.2"
"Sodankylä Tähtelä","2005","1","27","00:00","1.4"
"Sodankylä Tähtelä","2005","1","28","00:00","8.9"
"Sodankylä Tähtelä","2005","1","29","00:00","14.5"
"Sodankylä Tähtelä","2005","1","30","00:00","1.2"
"Sodankylä Tähtelä","2005","1","31","00:00","1"
"Sodankylä Tähtelä","2005","2","1","00:00","1.2"
"Sodankylä Tähtelä","2005","2","2","00:00","1.3"
"Sodankylä Tähtelä","2005","2","3","00:00","1.1"
"Sodankylä Tähtelä","2005","2","4","00:00","0.8"
"Sodankylä Tähtelä","2005","2","5","00:00","35.1"
"Sodankylä Tähtelä","2005","2","6","00:00","102.4"
"Sodankylä Tähtelä","2005","2","7","00:00","51.5"
"Sodankylä Tähtelä","2005","2","8","00:00","2.8"
"Sodankylä Tähtelä","2005","2","9","00:00","1.9"
"Sodankylä Tähtelä","2005","2","10","00:00","0.6"
"Sodankylä Tähtelä","2005","2","11","00:00","41.3"
"Sodankylä Tähtelä","2005","2","12","00:00","118.3"
"Sodankylä Tähtelä","2005","2","13","00:00","2.2"
"Sodankylä Tähtelä","2005","2","14","00:00","51.9"
"Sodankylä Tähtelä","2005","2","15","00:00","37.7"
"Sodankylä Tähtelä","2005","2","16","00:00","56.8"
"Sodankylä Tähtelä","2005","2","17","00:00","17.1"
"Sodankylä Tähtelä","2005","2","18","00:00","1.6"
"Sodankylä Tähtelä","2005","2","19","00:00","1.1"
"Sodankylä Tähtelä","2005","2","20","00:00","1"
"Sodankylä Tähtelä","2005","2","21","00:00","202.8"
"Sodankylä Tähtelä","2005","2","22","00:00","220.5"
"Sodankylä Tähtelä","2005","2","23","00:00","21.2"
"Sodankylä Tähtelä","2005","2","24","00:00","4.9"
"Sodankylä Tähtelä","2005","2","25","00:00","169.4"
"Sodankylä Tähtelä","2005","2","26","00:00","166.7"
"Sodankylä Tähtelä","2005","2","27","00:00","222.4"
"Sodankylä Tähtelä","2005","2","28","00:00","105.3"
"Sodankylä Tähtelä","2005","3","1","00:00","198.9"
