"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2006","1","1","00:00","2.1"
"Sodankylä Tähtelä","2006","1","2","00:00","2.1"
"Sodankylä Tähtelä","2006","1","3","00:00","2"
"Sodankylä Tähtelä","2006","1","4","00:00","1.6"
"Sodankylä Tähtelä","2006","1","5","00:00","1.6"
"Sodankylä Tähtelä","2006","1","6","00:00","3.8"
"Sodankylä Tähtelä","2006","1","7","00:00","4.1"
"Sodankylä Tähtelä","2006","1","8","00:00","3.5"
"Sodankylä Tähtelä","2006","1","9","00:00","7.8"
"Sodankylä Tähtelä","2006","1","10","00:00","1.1"
"Sodankylä Tähtelä","2006","1","11","00:00","1.2"
"Sodankylä Tähtelä","2006","1","12","00:00","0.9"
"Sodankylä Tähtelä","2006","1","13","00:00","1.5"
"Sodankylä Tähtelä","2006","1","14","00:00","1.7"
"Sodankylä Tähtelä","2006","1","15","00:00","12.6"
"Sodankylä Tähtelä","2006","1","16","00:00","2.6"
"Sodankylä Tähtelä","2006","1","17","00:00","14.5"
"Sodankylä Tähtelä","2006","1","18","00:00","42.4"
"Sodankylä Tähtelä","2006","1","19","00:00","37.4"
"Sodankylä Tähtelä","2006","1","20","00:00","5.2"
"Sodankylä Tähtelä","2006","1","21","00:00","7.1"
"Sodankylä Tähtelä","2006","1","22","00:00","3.3"
"Sodankylä Tähtelä","2006","1","23","00:00","1.4"
"Sodankylä Tähtelä","2006","1","24","00:00","1.2"
"Sodankylä Tähtelä","2006","1","25","00:00","8"
"Sodankylä Tähtelä","2006","1","26","00:00","1.8"
"Sodankylä Tähtelä","2006","1","27","00:00","28.3"
"Sodankylä Tähtelä","2006","1","28","00:00","2.1"
"Sodankylä Tähtelä","2006","1","29","00:00","28"
"Sodankylä Tähtelä","2006","1","30","00:00","68.3"
"Sodankylä Tähtelä","2006","1","31","00:00","48.1"
"Sodankylä Tähtelä","2006","2","1","00:00","1.4"
"Sodankylä Tähtelä","2006","2","2","00:00","1.6"
"Sodankylä Tähtelä","2006","2","3","00:00","43.8"
"Sodankylä Tähtelä","2006","2","4","00:00","67.8"
"Sodankylä Tähtelä","2006","2","5","00:00","101.9"
"Sodankylä Tähtelä","2006","2","6","00:00","80.5"
"Sodankylä Tähtelä","2006","2","7","00:00","4.2"
"Sodankylä Tähtelä","2006","2","8","00:00","1.9"
"Sodankylä Tähtelä","2006","2","9","00:00","1.9"
"Sodankylä Tähtelä","2006","2","10","00:00","140.5"
"Sodankylä Tähtelä","2006","2","11","00:00","125.2"
"Sodankylä Tähtelä","2006","2","12","00:00","2.3"
"Sodankylä Tähtelä","2006","2","13","00:00","62.5"
"Sodankylä Tähtelä","2006","2","14","00:00","143.6"
"Sodankylä Tähtelä","2006","2","15","00:00","1.2"
"Sodankylä Tähtelä","2006","2","16","00:00","0.9"
"Sodankylä Tähtelä","2006","2","17","00:00","108"
"Sodankylä Tähtelä","2006","2","18","00:00","82.6"
"Sodankylä Tähtelä","2006","2","19","00:00","3.6"
"Sodankylä Tähtelä","2006","2","20","00:00","27.2"
"Sodankylä Tähtelä","2006","2","21","00:00","42.5"
"Sodankylä Tähtelä","2006","2","22","00:00","2.1"
"Sodankylä Tähtelä","2006","2","23","00:00","125.5"
"Sodankylä Tähtelä","2006","2","24","00:00","98.3"
"Sodankylä Tähtelä","2006","2","25","00:00","127.9"
"Sodankylä Tähtelä","2006","2","26","00:00","194.8"
"Sodankylä Tähtelä","2006","2","27","00:00","144.2"
"Sodankylä Tähtelä","2006","2","28","00:00","151"
"Sodankylä Tähtelä","2006","3","1","00:00","55.3"
