Observation station,Year,Month,Day,Time [Local time],Direct solar radiation mean [W/m2]
Sodankylä Tähtelä,2007,1,1,0:00,2.1
Sodankylä Tähtelä,2007,1,2,0:00,1.9
Sodankylä Tähtelä,2007,1,3,0:00,2.8
Sodankylä Tähtelä,2007,1,4,0:00,1.8
Sodankylä Tähtelä,2007,1,5,0:00,1.3
Sodankylä Tähtelä,2007,1,6,0:00,2.7
Sodankylä Tähtelä,2007,1,7,0:00,3.4
Sodankylä Tähtelä,2007,1,8,0:00,1.3
Sodankylä Tähtelä,2007,1,9,0:00,1.1
Sodankylä Tähtelä,2007,1,10,0:00,1.2
Sodankylä Tähtelä,2007,1,11,0:00,23.5
Sodankylä Tähtelä,2007,1,12,0:00,20.1
Sodankylä Tähtelä,2007,1,13,0:00,2.5
Sodankylä Tähtelä,2007,1,14,0:00,4.2
Sodankylä Tähtelä,2007,1,15,0:00,4
Sodankylä Tähtelä,2007,1,16,0:00,1
Sodankylä Tähtelä,2007,1,17,0:00,2.4
Sodankylä Tähtelä,2007,1,18,0:00,2.3
Sodankylä Tähtelä,2007,1,19,0:00,23.8
Sodankylä Tähtelä,2007,1,20,0:00,11.4
Sodankylä Tähtelä,2007,1,21,0:00,4.7
Sodankylä Tähtelä,2007,1,22,0:00,35
Sodankylä Tähtelä,2007,1,23,0:00,4.1
Sodankylä Tähtelä,2007,1,24,0:00,4.7
Sodankylä Tähtelä,2007,1,25,0:00,2.2
Sodankylä Tähtelä,2007,1,26,0:00,2.2
Sodankylä Tähtelä,2007,1,27,0:00,2.6
Sodankylä Tähtelä,2007,1,28,0:00,2.3
Sodankylä Tähtelä,2007,1,29,0:00,4.5
Sodankylä Tähtelä,2007,1,30,0:00,3.2
Sodankylä Tähtelä,2007,1,31,0:00,4.3
Sodankylä Tähtelä,2007,2,1,0:00,3.6
Sodankylä Tähtelä,2007,2,2,0:00,1.8
Sodankylä Tähtelä,2007,2,3,0:00,1
Sodankylä Tähtelä,2007,2,4,0:00,1.2
Sodankylä Tähtelä,2007,2,5,0:00,3.3
Sodankylä Tähtelä,2007,2,6,0:00,5.2
Sodankylä Tähtelä,2007,2,7,0:00,4.4
Sodankylä Tähtelä,2007,2,8,0:00,2.9
Sodankylä Tähtelä,2007,2,9,0:00,3.2
Sodankylä Tähtelä,2007,2,10,0:00,3.1
Sodankylä Tähtelä,2007,2,11,0:00,3.5
Sodankylä Tähtelä,2007,2,12,0:00,3.8
Sodankylä Tähtelä,2007,2,13,0:00,3.6
Sodankylä Tähtelä,2007,2,14,0:00,1.6
Sodankylä Tähtelä,2007,2,15,0:00,0.2
Sodankylä Tähtelä,2007,2,16,0:00,0.5
Sodankylä Tähtelä,2007,2,17,0:00,-0.1
Sodankylä Tähtelä,2007,2,18,0:00,0.6
Sodankylä Tähtelä,2007,2,19,0:00,0.7
Sodankylä Tähtelä,2007,2,20,0:00,27.6
Sodankylä Tähtelä,2007,2,21,0:00,177.6
Sodankylä Tähtelä,2007,2,22,0:00,142.1
Sodankylä Tähtelä,2007,2,23,0:00,79.1
Sodankylä Tähtelä,2007,2,24,0:00,1.9
Sodankylä Tähtelä,2007,2,25,0:00,1.4
Sodankylä Tähtelä,2007,2,26,0:00,2
Sodankylä Tähtelä,2007,2,27,0:00,34.4
Sodankylä Tähtelä,2007,2,28,0:00,15.3
Sodankylä Tähtelä,2007,3,1,0:00,1.5
