"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2021","10","1","00:00","1.5"
"Sodankylä Tähtelä","2021","10","2","00:00","0"
"Sodankylä Tähtelä","2021","10","3","00:00","51.8"
"Sodankylä Tähtelä","2021","10","4","00:00","0.1"
"Sodankylä Tähtelä","2021","10","5","00:00","1.4"
"Sodankylä Tähtelä","2021","10","6","00:00","-0.1"
"Sodankylä Tähtelä","2021","10","7","00:00","0.4"
"Sodankylä Tähtelä","2021","10","8","00:00","11.7"
"Sodankylä Tähtelä","2021","10","9","00:00","1.4"
"Sodankylä Tähtelä","2021","10","10","00:00","0.7"
"Sodankylä Tähtelä","2021","10","11","00:00","2.6"
"Sodankylä Tähtelä","2021","10","12","00:00","1.1"
"Sodankylä Tähtelä","2021","10","13","00:00","115.1"
"Sodankylä Tähtelä","2021","10","14","00:00","1.5"
"Sodankylä Tähtelä","2021","10","15","00:00","1"
"Sodankylä Tähtelä","2021","10","16","00:00","0.6"
"Sodankylä Tähtelä","2021","10","17","00:00","1"
"Sodankylä Tähtelä","2021","10","18","00:00","50.3"
"Sodankylä Tähtelä","2021","10","19","00:00","166.1"
"Sodankylä Tähtelä","2021","10","20","00:00","3"
"Sodankylä Tähtelä","2021","10","21","00:00","0.3"
"Sodankylä Tähtelä","2021","10","22","00:00","6.7"
"Sodankylä Tähtelä","2021","10","23","00:00","10.6"
"Sodankylä Tähtelä","2021","10","24","00:00","58.9"
"Sodankylä Tähtelä","2021","10","25","00:00","0.9"
"Sodankylä Tähtelä","2021","10","26","00:00","1.2"
"Sodankylä Tähtelä","2021","10","27","00:00","1.3"
"Sodankylä Tähtelä","2021","10","28","00:00","0.7"
"Sodankylä Tähtelä","2021","10","29","00:00","0.8"
"Sodankylä Tähtelä","2021","10","30","00:00","1.5"
"Sodankylä Tähtelä","2021","10","31","00:00","1.4"
"Sodankylä Tähtelä","2021","11","1","00:00","0.4"
"Sodankylä Tähtelä","2021","11","2","00:00","0.1"
"Sodankylä Tähtelä","2021","11","3","00:00","0.4"
"Sodankylä Tähtelä","2021","11","4","00:00","1"
"Sodankylä Tähtelä","2021","11","5","00:00","1.6"
"Sodankylä Tähtelä","2021","11","6","00:00","1.4"
"Sodankylä Tähtelä","2021","11","7","00:00","91.3"
"Sodankylä Tähtelä","2021","11","8","00:00","66"
"Sodankylä Tähtelä","2021","11","9","00:00","3.8"
"Sodankylä Tähtelä","2021","11","10","00:00","23.4"
"Sodankylä Tähtelä","2021","11","11","00:00","41.1"
"Sodankylä Tähtelä","2021","11","12","00:00","1.3"
"Sodankylä Tähtelä","2021","11","13","00:00","1.9"
"Sodankylä Tähtelä","2021","11","14","00:00","39"
"Sodankylä Tähtelä","2021","11","15","00:00","1.3"
"Sodankylä Tähtelä","2021","11","16","00:00","30.8"
"Sodankylä Tähtelä","2021","11","17","00:00","0.9"
"Sodankylä Tähtelä","2021","11","18","00:00","1"
"Sodankylä Tähtelä","2021","11","19","00:00","49.5"
"Sodankylä Tähtelä","2021","11","20","00:00","1.9"
"Sodankylä Tähtelä","2021","11","21","00:00","22.3"
"Sodankylä Tähtelä","2021","11","22","00:00","35.3"
"Sodankylä Tähtelä","2021","11","23","00:00","2.4"
"Sodankylä Tähtelä","2021","11","24","00:00","34.1"
"Sodankylä Tähtelä","2021","11","25","00:00","3.4"
"Sodankylä Tähtelä","2021","11","26","00:00","1.8"
"Sodankylä Tähtelä","2021","11","27","00:00","3.8"
"Sodankylä Tähtelä","2021","11","28","00:00","3"
"Sodankylä Tähtelä","2021","11","29","00:00","1.7"
"Sodankylä Tähtelä","2021","11","30","00:00","2.7"
"Sodankylä Tähtelä","2021","12","1","00:00","1.2"
