"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2022","10","1","00:00","26.1"
"Sodankylä Tähtelä","2022","10","2","00:00","0.8"
"Sodankylä Tähtelä","2022","10","3","00:00","0.6"
"Sodankylä Tähtelä","2022","10","4","00:00","1"
"Sodankylä Tähtelä","2022","10","5","00:00","1.4"
"Sodankylä Tähtelä","2022","10","6","00:00","92"
"Sodankylä Tähtelä","2022","10","7","00:00","237.5"
"Sodankylä Tähtelä","2022","10","8","00:00","109.5"
"Sodankylä Tähtelä","2022","10","9","00:00","188.8"
"Sodankylä Tähtelä","2022","10","10","00:00","69"
"Sodankylä Tähtelä","2022","10","11","00:00","0"
"Sodankylä Tähtelä","2022","10","12","00:00","133"
"Sodankylä Tähtelä","2022","10","13","00:00","1.3"
"Sodankylä Tähtelä","2022","10","14","00:00","1.4"
"Sodankylä Tähtelä","2022","10","15","00:00","5.6"
"Sodankylä Tähtelä","2022","10","16","00:00","1"
"Sodankylä Tähtelä","2022","10","17","00:00","19.1"
"Sodankylä Tähtelä","2022","10","18","00:00","62.1"
"Sodankylä Tähtelä","2022","10","19","00:00","4.5"
"Sodankylä Tähtelä","2022","10","20","00:00","36.8"
"Sodankylä Tähtelä","2022","10","21","00:00","23.4"
"Sodankylä Tähtelä","2022","10","22","00:00","0.8"
"Sodankylä Tähtelä","2022","10","23","00:00","92.2"
"Sodankylä Tähtelä","2022","10","24","00:00","59.4"
"Sodankylä Tähtelä","2022","10","25","00:00","59.1"
"Sodankylä Tähtelä","2022","10","26","00:00","1.3"
"Sodankylä Tähtelä","2022","10","27","00:00","1.5"
"Sodankylä Tähtelä","2022","10","28","00:00","0.9"
"Sodankylä Tähtelä","2022","10","29","00:00","0.6"
"Sodankylä Tähtelä","2022","10","30","00:00","147.2"
"Sodankylä Tähtelä","2022","10","31","00:00","110.5"
"Sodankylä Tähtelä","2022","11","1","00:00","1.7"
"Sodankylä Tähtelä","2022","11","2","00:00","4.8"
"Sodankylä Tähtelä","2022","11","3","00:00","1.2"
"Sodankylä Tähtelä","2022","11","4","00:00","0.6"
"Sodankylä Tähtelä","2022","11","5","00:00","0"
"Sodankylä Tähtelä","2022","11","6","00:00","0.7"
"Sodankylä Tähtelä","2022","11","7","00:00","76.9"
"Sodankylä Tähtelä","2022","11","8","00:00","1.4"
"Sodankylä Tähtelä","2022","11","9","00:00","1.2"
"Sodankylä Tähtelä","2022","11","10","00:00","0.9"
"Sodankylä Tähtelä","2022","11","11","00:00","0.7"
"Sodankylä Tähtelä","2022","11","12","00:00","1.1"
"Sodankylä Tähtelä","2022","11","13","00:00","1.1"
"Sodankylä Tähtelä","2022","11","14","00:00","1.2"
"Sodankylä Tähtelä","2022","11","15","00:00","12.7"
"Sodankylä Tähtelä","2022","11","16","00:00","49.7"
"Sodankylä Tähtelä","2022","11","17","00:00","31.9"
"Sodankylä Tähtelä","2022","11","18","00:00","4"
"Sodankylä Tähtelä","2022","11","19","00:00","1.7"
"Sodankylä Tähtelä","2022","11","20","00:00","12.6"
"Sodankylä Tähtelä","2022","11","21","00:00","11.2"
"Sodankylä Tähtelä","2022","11","22","00:00","10.7"
"Sodankylä Tähtelä","2022","11","23","00:00","3.5"
"Sodankylä Tähtelä","2022","11","24","00:00","0.9"
"Sodankylä Tähtelä","2022","11","25","00:00","1.4"
"Sodankylä Tähtelä","2022","11","26","00:00","1.1"
"Sodankylä Tähtelä","2022","11","27","00:00","1.2"
"Sodankylä Tähtelä","2022","11","28","00:00","1.2"
"Sodankylä Tähtelä","2022","11","29","00:00","1"
"Sodankylä Tähtelä","2022","11","30","00:00","1.5"
"Sodankylä Tähtelä","2022","12","1","00:00","1.8"
"Sodankylä Tähtelä","2022","12","2","00:00","1.7"
"Sodankylä Tähtelä","2022","12","3","00:00","2.3"
"Sodankylä Tähtelä","2022","12","4","00:00","1.9"
"Sodankylä Tähtelä","2022","12","5","00:00","1.3"
"Sodankylä Tähtelä","2022","12","6","00:00","1.3"
"Sodankylä Tähtelä","2022","12","7","00:00","1.2"
"Sodankylä Tähtelä","2022","12","8","00:00","0.3"
"Sodankylä Tähtelä","2022","12","9","00:00","0.1"
"Sodankylä Tähtelä","2022","12","10","00:00","1"
"Sodankylä Tähtelä","2022","12","11","00:00","1.9"
"Sodankylä Tähtelä","2022","12","12","00:00","3.6"
"Sodankylä Tähtelä","2022","12","13","00:00","2.6"
"Sodankylä Tähtelä","2022","12","14","00:00","4.3"
"Sodankylä Tähtelä","2022","12","15","00:00","3.2"
"Sodankylä Tähtelä","2022","12","16","00:00","2.3"
"Sodankylä Tähtelä","2022","12","17","00:00","2.7"
"Sodankylä Tähtelä","2022","12","18","00:00","1.8"
"Sodankylä Tähtelä","2022","12","19","00:00","1.8"
"Sodankylä Tähtelä","2022","12","20","00:00","2.8"
"Sodankylä Tähtelä","2022","12","21","00:00","0.5"
"Sodankylä Tähtelä","2022","12","22","00:00","1"
"Sodankylä Tähtelä","2022","12","23","00:00","1.6"
"Sodankylä Tähtelä","2022","12","24","00:00","3.2"
"Sodankylä Tähtelä","2022","12","25","00:00","-"
"-","2022","12","26","00:00","-"
"Sodankylä Tähtelä","2022","12","27","00:00","0.1"
"Sodankylä Tähtelä","2022","12","28","00:00","1"
"Sodankylä Tähtelä","2022","12","29","00:00","0.5"
"Sodankylä Tähtelä","2022","12","30","00:00","-0.1"
"Sodankylä Tähtelä","2022","12","31","00:00","-0.2"
"Sodankylä Tähtelä","2023","1","1","00:00","0.2"
