"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2004","11","1","00:00","61.9"
"Sodankylä Tähtelä","2004","11","2","00:00","6.4"
"Sodankylä Tähtelä","2004","11","3","00:00","49.2"
"Sodankylä Tähtelä","2004","11","4","00:00","1.2"
"Sodankylä Tähtelä","2004","11","5","00:00","1"
"Sodankylä Tähtelä","2004","11","6","00:00","1.5"
"Sodankylä Tähtelä","2004","11","7","00:00","1.4"
"Sodankylä Tähtelä","2004","11","8","00:00","1.6"
"Sodankylä Tähtelä","2004","11","9","00:00","1.5"
"Sodankylä Tähtelä","2004","11","10","00:00","0.8"
"Sodankylä Tähtelä","2004","11","11","00:00","0.6"
"Sodankylä Tähtelä","2004","11","12","00:00","1.1"
"Sodankylä Tähtelä","2004","11","13","00:00","61.9"
"Sodankylä Tähtelä","2004","11","14","00:00","46.8"
"Sodankylä Tähtelä","2004","11","15","00:00","1"
"Sodankylä Tähtelä","2004","11","16","00:00","1.7"
"Sodankylä Tähtelä","2004","11","17","00:00","34.9"
"Sodankylä Tähtelä","2004","11","18","00:00","4.7"
"Sodankylä Tähtelä","2004","11","19","00:00","2.6"
"Sodankylä Tähtelä","2004","11","20","00:00","2.1"
"Sodankylä Tähtelä","2004","11","21","00:00","4"
"Sodankylä Tähtelä","2004","11","22","00:00","36.7"
"Sodankylä Tähtelä","2004","11","23","00:00","29.2"
"Sodankylä Tähtelä","2004","11","24","00:00","2.7"
"Sodankylä Tähtelä","2004","11","25","00:00","3.8"
"Sodankylä Tähtelä","2004","11","26","00:00","2.8"
"Sodankylä Tähtelä","2004","11","27","00:00","20.8"
"Sodankylä Tähtelä","2004","11","28","00:00","6.1"
"Sodankylä Tähtelä","2004","11","29","00:00","18.2"
"Sodankylä Tähtelä","2004","11","30","00:00","1.3"
"Sodankylä Tähtelä","2004","12","1","00:00","2"
"Sodankylä Tähtelä","2004","12","2","00:00","8.3"
"Sodankylä Tähtelä","2004","12","3","00:00","4.1"
"Sodankylä Tähtelä","2004","12","4","00:00","1.2"
"Sodankylä Tähtelä","2004","12","5","00:00","1.8"
"Sodankylä Tähtelä","2004","12","6","00:00","6.5"
"Sodankylä Tähtelä","2004","12","7","00:00","2.1"
"Sodankylä Tähtelä","2004","12","8","00:00","2.1"
"Sodankylä Tähtelä","2004","12","9","00:00","3.7"
"Sodankylä Tähtelä","2004","12","10","00:00","1.8"
"Sodankylä Tähtelä","2004","12","11","00:00","1.6"
"Sodankylä Tähtelä","2004","12","12","00:00","3.3"
"Sodankylä Tähtelä","2004","12","13","00:00","3.3"
"Sodankylä Tähtelä","2004","12","14","00:00","1.6"
"Sodankylä Tähtelä","2004","12","15","00:00","0.7"
"Sodankylä Tähtelä","2004","12","16","00:00","1.3"
"Sodankylä Tähtelä","2004","12","17","00:00","1.3"
"Sodankylä Tähtelä","2004","12","18","00:00","1.5"
"Sodankylä Tähtelä","2004","12","19","00:00","2.3"
"Sodankylä Tähtelä","2004","12","20","00:00","2.1"
"Sodankylä Tähtelä","2004","12","21","00:00","2.6"
"Sodankylä Tähtelä","2004","12","22","00:00","1.1"
"Sodankylä Tähtelä","2004","12","23","00:00","1.5"
"Sodankylä Tähtelä","2004","12","24","00:00","0.5"
"Sodankylä Tähtelä","2004","12","25","00:00","1"
"Sodankylä Tähtelä","2004","12","26","00:00","1.7"
"Sodankylä Tähtelä","2004","12","27","00:00","2.9"
"Sodankylä Tähtelä","2004","12","28","00:00","2.2"
"Sodankylä Tähtelä","2004","12","29","00:00","1.3"
"Sodankylä Tähtelä","2004","12","30","00:00","0.9"
"Sodankylä Tähtelä","2004","12","31","00:00","0.9"
"Sodankylä Tähtelä","2005","1","1","00:00","1.4"
