"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2010","11","1","00:00","0.6"
"Sodankylä Tähtelä","2010","11","2","00:00","95.6"
"Sodankylä Tähtelä","2010","11","3","00:00","1.5"
"Sodankylä Tähtelä","2010","11","4","00:00","2"
"Sodankylä Tähtelä","2010","11","5","00:00","70.4"
"Sodankylä Tähtelä","2010","11","6","00:00","3.7"
"Sodankylä Tähtelä","2010","11","7","00:00","4.9"
"Sodankylä Tähtelä","2010","11","8","00:00","39.1"
"Sodankylä Tähtelä","2010","11","9","00:00","82.4"
"Sodankylä Tähtelä","2010","11","10","00:00","1.8"
"Sodankylä Tähtelä","2010","11","11","00:00","1.3"
"Sodankylä Tähtelä","2010","11","12","00:00","2.2"
"Sodankylä Tähtelä","2010","11","13","00:00","2.9"
"Sodankylä Tähtelä","2010","11","14","00:00","4.3"
"Sodankylä Tähtelä","2010","11","15","00:00","3.8"
"Sodankylä Tähtelä","2010","11","16","00:00","65"
"Sodankylä Tähtelä","2010","11","17","00:00","58.9"
"Sodankylä Tähtelä","2010","11","18","00:00","1.3"
"Sodankylä Tähtelä","2010","11","19","00:00","2.7"
"Sodankylä Tähtelä","2010","11","20","00:00","4.2"
"Sodankylä Tähtelä","2010","11","21","00:00","3.5"
"Sodankylä Tähtelä","2010","11","22","00:00","1.1"
"Sodankylä Tähtelä","2010","11","23","00:00","5.2"
"Sodankylä Tähtelä","2010","11","24","00:00","3.4"
"Sodankylä Tähtelä","2010","11","25","00:00","2.7"
"Sodankylä Tähtelä","2010","11","26","00:00","2.4"
"Sodankylä Tähtelä","2010","11","27","00:00","3.3"
"Sodankylä Tähtelä","2010","11","28","00:00","2.5"
"Sodankylä Tähtelä","2010","11","29","00:00","2.5"
"Sodankylä Tähtelä","2010","11","30","00:00","4.4"
"Sodankylä Tähtelä","2010","12","1","00:00","2.2"
"Sodankylä Tähtelä","2010","12","2","00:00","1.5"
"Sodankylä Tähtelä","2010","12","3","00:00","0.7"
"Sodankylä Tähtelä","2010","12","4","00:00","1.1"
"Sodankylä Tähtelä","2010","12","5","00:00","1"
"Sodankylä Tähtelä","2010","12","6","00:00","0.9"
"Sodankylä Tähtelä","2010","12","7","00:00","1.4"
"Sodankylä Tähtelä","2010","12","8","00:00","4.3"
"Sodankylä Tähtelä","2010","12","9","00:00","3.4"
"Sodankylä Tähtelä","2010","12","10","00:00","3.6"
"Sodankylä Tähtelä","2010","12","11","00:00","2.3"
"Sodankylä Tähtelä","2010","12","12","00:00","1.5"
"Sodankylä Tähtelä","2010","12","13","00:00","2.3"
"Sodankylä Tähtelä","2010","12","14","00:00","2.3"
"Sodankylä Tähtelä","2010","12","15","00:00","1.9"
"Sodankylä Tähtelä","2010","12","16","00:00","0.3"
"Sodankylä Tähtelä","2010","12","17","00:00","1.7"
"Sodankylä Tähtelä","2010","12","18","00:00","2"
"Sodankylä Tähtelä","2010","12","19","00:00","2.8"
"Sodankylä Tähtelä","2010","12","20","00:00","3"
"Sodankylä Tähtelä","2010","12","21","00:00","1.9"
"Sodankylä Tähtelä","2010","12","22","00:00","3.6"
"Sodankylä Tähtelä","2010","12","23","00:00","3.1"
"Sodankylä Tähtelä","2010","12","24","00:00","2.6"
"Sodankylä Tähtelä","2010","12","25","00:00","3.7"
"Sodankylä Tähtelä","2010","12","26","00:00","2"
"Sodankylä Tähtelä","2010","12","27","00:00","3.1"
"Sodankylä Tähtelä","2010","12","28","00:00","3.4"
"Sodankylä Tähtelä","2010","12","29","00:00","2.2"
"Sodankylä Tähtelä","2010","12","30","00:00","0.9"
"Sodankylä Tähtelä","2010","12","31","00:00","1.3"
"Sodankylä Tähtelä","2011","1","1","00:00","1.5"
