"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2011","11","1","00:00","1.6"
"Sodankylä Tähtelä","2011","11","2","00:00","5.8"
"Sodankylä Tähtelä","2011","11","3","00:00","1.9"
"Sodankylä Tähtelä","2011","11","4","00:00","1.4"
"Sodankylä Tähtelä","2011","11","5","00:00","1.5"
"Sodankylä Tähtelä","2011","11","6","00:00","1.1"
"Sodankylä Tähtelä","2011","11","7","00:00","0.9"
"Sodankylä Tähtelä","2011","11","8","00:00","33"
"Sodankylä Tähtelä","2011","11","9","00:00","73.9"
"Sodankylä Tähtelä","2011","11","10","00:00","1.9"
"Sodankylä Tähtelä","2011","11","11","00:00","3.8"
"Sodankylä Tähtelä","2011","11","12","00:00","1.7"
"Sodankylä Tähtelä","2011","11","13","00:00","1.8"
"Sodankylä Tähtelä","2011","11","14","00:00","46.2"
"Sodankylä Tähtelä","2011","11","15","00:00","6"
"Sodankylä Tähtelä","2011","11","16","00:00","2"
"Sodankylä Tähtelä","2011","11","17","00:00","32.3"
"Sodankylä Tähtelä","2011","11","18","00:00","2.2"
"Sodankylä Tähtelä","2011","11","19","00:00","28.6"
"Sodankylä Tähtelä","2011","11","20","00:00","43.8"
"Sodankylä Tähtelä","2011","11","21","00:00","2.5"
"Sodankylä Tähtelä","2011","11","22","00:00","2"
"Sodankylä Tähtelä","2011","11","23","00:00","0.8"
"Sodankylä Tähtelä","2011","11","24","00:00","1.1"
"Sodankylä Tähtelä","2011","11","25","00:00","1"
"Sodankylä Tähtelä","2011","11","26","00:00","1.4"
"Sodankylä Tähtelä","2011","11","27","00:00","11.4"
"Sodankylä Tähtelä","2011","11","28","00:00","4.8"
"Sodankylä Tähtelä","2011","11","29","00:00","3.2"
"Sodankylä Tähtelä","2011","11","30","00:00","1.1"
"Sodankylä Tähtelä","2011","12","1","00:00","0.7"
"Sodankylä Tähtelä","2011","12","2","00:00","0.9"
"Sodankylä Tähtelä","2011","12","3","00:00","7.5"
"Sodankylä Tähtelä","2011","12","4","00:00","0.9"
"Sodankylä Tähtelä","2011","12","5","00:00","1.1"
"Sodankylä Tähtelä","2011","12","6","00:00","1.4"
"Sodankylä Tähtelä","2011","12","7","00:00","2.4"
"Sodankylä Tähtelä","2011","12","8","00:00","1.8"
"Sodankylä Tähtelä","2011","12","9","00:00","1.1"
"Sodankylä Tähtelä","2011","12","10","00:00","0.5"
"Sodankylä Tähtelä","2011","12","11","00:00","1.8"
"Sodankylä Tähtelä","2011","12","12","00:00","3.4"
"Sodankylä Tähtelä","2011","12","13","00:00","1.5"
"Sodankylä Tähtelä","2011","12","14","00:00","1.1"
"Sodankylä Tähtelä","2011","12","15","00:00","1"
"Sodankylä Tähtelä","2011","12","16","00:00","1.6"
"Sodankylä Tähtelä","2011","12","17","00:00","1.7"
"Sodankylä Tähtelä","2011","12","18","00:00","0.9"
"Sodankylä Tähtelä","2011","12","19","00:00","1.4"
"Sodankylä Tähtelä","2011","12","20","00:00","3.2"
"Sodankylä Tähtelä","2011","12","21","00:00","2.8"
"Sodankylä Tähtelä","2011","12","22","00:00","1.5"
"Sodankylä Tähtelä","2011","12","23","00:00","1.1"
"Sodankylä Tähtelä","2011","12","24","00:00","0.7"
"Sodankylä Tähtelä","2011","12","25","00:00","1.3"
"Sodankylä Tähtelä","2011","12","26","00:00","1.3"
"Sodankylä Tähtelä","2011","12","27","00:00","2.4"
"Sodankylä Tähtelä","2011","12","28","00:00","1.8"
"Sodankylä Tähtelä","2011","12","29","00:00","2.5"
"Sodankylä Tähtelä","2011","12","30","00:00","0.7"
"Sodankylä Tähtelä","2011","12","31","00:00","1.3"
"Sodankylä Tähtelä","2012","1","1","00:00","1.5"
