"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2005","3","1","00:00","198.9"
"Sodankylä Tähtelä","2005","3","2","00:00","122.2"
"Sodankylä Tähtelä","2005","3","3","00:00","262"
"Sodankylä Tähtelä","2005","3","4","00:00","2.6"
"Sodankylä Tähtelä","2005","3","5","00:00","1.5"
"Sodankylä Tähtelä","2005","3","6","00:00","1.3"
"Sodankylä Tähtelä","2005","3","7","00:00","4"
"Sodankylä Tähtelä","2005","3","8","00:00","285.6"
"Sodankylä Tähtelä","2005","3","9","00:00","289.2"
"Sodankylä Tähtelä","2005","3","10","00:00","23.1"
"Sodankylä Tähtelä","2005","3","11","00:00","304.8"
"Sodankylä Tähtelä","2005","3","12","00:00","313.4"
"Sodankylä Tähtelä","2005","3","13","00:00","259.7"
"Sodankylä Tähtelä","2005","3","14","00:00","219.3"
"Sodankylä Tähtelä","2005","3","15","00:00","216.6"
"Sodankylä Tähtelä","2005","3","16","00:00","247.3"
"Sodankylä Tähtelä","2005","3","17","00:00","42.3"
"Sodankylä Tähtelä","2005","3","18","00:00","108.5"
"Sodankylä Tähtelä","2005","3","19","00:00","76.9"
"Sodankylä Tähtelä","2005","3","20","00:00","219.2"
"Sodankylä Tähtelä","2005","3","21","00:00","266.7"
"Sodankylä Tähtelä","2005","3","22","00:00","357.1"
"Sodankylä Tähtelä","2005","3","23","00:00","7"
"Sodankylä Tähtelä","2005","3","24","00:00","2.8"
"Sodankylä Tähtelä","2005","3","25","00:00","6.4"
"Sodankylä Tähtelä","2005","3","26","00:00","3.2"
"Sodankylä Tähtelä","2005","3","27","00:00","2.5"
"Sodankylä Tähtelä","2005","3","28","00:00","27.6"
"Sodankylä Tähtelä","2005","3","29","00:00","224.7"
"Sodankylä Tähtelä","2005","3","30","00:00","37.6"
"Sodankylä Tähtelä","2005","3","31","00:00","247.6"
"Sodankylä Tähtelä","2005","4","1","00:00","98.4"
"Sodankylä Tähtelä","2005","4","2","00:00","93.6"
"Sodankylä Tähtelä","2005","4","3","00:00","347.7"
"Sodankylä Tähtelä","2005","4","4","00:00","149.8"
"Sodankylä Tähtelä","2005","4","5","00:00","1.2"
"Sodankylä Tähtelä","2005","4","6","00:00","305.4"
"Sodankylä Tähtelä","2005","4","7","00:00","134.8"
"Sodankylä Tähtelä","2005","4","8","00:00","1.1"
"Sodankylä Tähtelä","2005","4","9","00:00","3"
"Sodankylä Tähtelä","2005","4","10","00:00","272.3"
"Sodankylä Tähtelä","2005","4","11","00:00","1.3"
"Sodankylä Tähtelä","2005","4","12","00:00","59"
"Sodankylä Tähtelä","2005","4","13","00:00","2.3"
"Sodankylä Tähtelä","2005","4","14","00:00","1.8"
"Sodankylä Tähtelä","2005","4","15","00:00","267.6"
"Sodankylä Tähtelä","2005","4","16","00:00","38.1"
"Sodankylä Tähtelä","2005","4","17","00:00","363.1"
"Sodankylä Tähtelä","2005","4","18","00:00","129.7"
"Sodankylä Tähtelä","2005","4","19","00:00","185.3"
"Sodankylä Tähtelä","2005","4","20","00:00","302"
"Sodankylä Tähtelä","2005","4","21","00:00","84.1"
"Sodankylä Tähtelä","2005","4","22","00:00","137.3"
"Sodankylä Tähtelä","2005","4","23","00:00","442.3"
"Sodankylä Tähtelä","2005","4","24","00:00","451.9"
"Sodankylä Tähtelä","2005","4","25","00:00","215.3"
"Sodankylä Tähtelä","2005","4","26","00:00","493.6"
"Sodankylä Tähtelä","2005","4","27","00:00","403.2"
"Sodankylä Tähtelä","2005","4","28","00:00","216.4"
"Sodankylä Tähtelä","2005","4","29","00:00","107.8"
"Sodankylä Tähtelä","2005","4","30","00:00","125.3"
"Sodankylä Tähtelä","2005","5","1","00:00","523.4"
