"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2006","3","1","00:00","55.3"
"Sodankylä Tähtelä","2006","3","2","00:00","237.2"
"Sodankylä Tähtelä","2006","3","3","00:00","33"
"Sodankylä Tähtelä","2006","3","4","00:00","129.4"
"Sodankylä Tähtelä","2006","3","5","00:00","131.6"
"Sodankylä Tähtelä","2006","3","6","00:00","174.9"
"Sodankylä Tähtelä","2006","3","7","00:00","157"
"Sodankylä Tähtelä","2006","3","8","00:00","56.3"
"Sodankylä Tähtelä","2006","3","9","00:00","35.5"
"Sodankylä Tähtelä","2006","3","10","00:00","3.8"
"Sodankylä Tähtelä","2006","3","11","00:00","233.9"
"Sodankylä Tähtelä","2006","3","12","00:00","96.9"
"Sodankylä Tähtelä","2006","3","13","00:00","275"
"Sodankylä Tähtelä","2006","3","14","00:00","297"
"Sodankylä Tähtelä","2006","3","15","00:00","290.8"
"Sodankylä Tähtelä","2006","3","16","00:00","103.2"
"Sodankylä Tähtelä","2006","3","17","00:00","2.5"
"Sodankylä Tähtelä","2006","3","18","00:00","51.5"
"Sodankylä Tähtelä","2006","3","19","00:00","168.9"
"Sodankylä Tähtelä","2006","3","20","00:00","152.3"
"Sodankylä Tähtelä","2006","3","21","00:00","92.7"
"Sodankylä Tähtelä","2006","3","22","00:00","119"
"Sodankylä Tähtelä","2006","3","23","00:00","58.5"
"Sodankylä Tähtelä","2006","3","24","00:00","79.5"
"Sodankylä Tähtelä","2006","3","25","00:00","102.5"
"Sodankylä Tähtelä","2006","3","26","00:00","192.5"
"Sodankylä Tähtelä","2006","3","27","00:00","120.1"
"Sodankylä Tähtelä","2006","3","28","00:00","320.4"
"Sodankylä Tähtelä","2006","3","29","00:00","215"
"Sodankylä Tähtelä","2006","3","30","00:00","342.6"
"Sodankylä Tähtelä","2006","3","31","00:00","6.2"
"Sodankylä Tähtelä","2006","4","1","00:00","1.6"
"Sodankylä Tähtelä","2006","4","2","00:00","78.8"
"Sodankylä Tähtelä","2006","4","3","00:00","118"
"Sodankylä Tähtelä","2006","4","4","00:00","1.4"
"Sodankylä Tähtelä","2006","4","5","00:00","325.8"
"Sodankylä Tähtelä","2006","4","6","00:00","2"
"Sodankylä Tähtelä","2006","4","7","00:00","233.7"
"Sodankylä Tähtelä","2006","4","8","00:00","21"
"Sodankylä Tähtelä","2006","4","9","00:00","1.5"
"Sodankylä Tähtelä","2006","4","10","00:00","237.5"
"Sodankylä Tähtelä","2006","4","11","00:00","292.5"
"Sodankylä Tähtelä","2006","4","12","00:00","83.7"
"Sodankylä Tähtelä","2006","4","13","00:00","52.2"
"Sodankylä Tähtelä","2006","4","14","00:00","42.3"
"Sodankylä Tähtelä","2006","4","15","00:00","11.2"
"Sodankylä Tähtelä","2006","4","16","00:00","75.8"
"Sodankylä Tähtelä","2006","4","17","00:00","83.3"
"Sodankylä Tähtelä","2006","4","18","00:00","2.4"
"Sodankylä Tähtelä","2006","4","19","00:00","42.7"
"Sodankylä Tähtelä","2006","4","20","00:00","45.4"
"Sodankylä Tähtelä","2006","4","21","00:00","118.6"
"Sodankylä Tähtelä","2006","4","22","00:00","397"
"Sodankylä Tähtelä","2006","4","23","00:00","14.2"
"Sodankylä Tähtelä","2006","4","24","00:00","362.4"
"Sodankylä Tähtelä","2006","4","25","00:00","193.5"
"Sodankylä Tähtelä","2006","4","26","00:00","381.8"
"Sodankylä Tähtelä","2006","4","27","00:00","374.4"
"Sodankylä Tähtelä","2006","4","28","00:00","466.9"
"Sodankylä Tähtelä","2006","4","29","00:00","500"
"Sodankylä Tähtelä","2006","4","30","00:00","483.9"
"Sodankylä Tähtelä","2006","5","1","00:00","486.7"
