"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2010","3","1","00:00","2.6"
"Sodankylä Tähtelä","2010","3","2","00:00","1.2"
"Sodankylä Tähtelä","2010","3","3","00:00","13.4"
"Sodankylä Tähtelä","2010","3","4","00:00","187.3"
"Sodankylä Tähtelä","2010","3","5","00:00","6.7"
"Sodankylä Tähtelä","2010","3","6","00:00","264.4"
"Sodankylä Tähtelä","2010","3","7","00:00","3"
"Sodankylä Tähtelä","2010","3","8","00:00","80.7"
"Sodankylä Tähtelä","2010","3","9","00:00","254.4"
"Sodankylä Tähtelä","2010","3","10","00:00","272"
"Sodankylä Tähtelä","2010","3","11","00:00","93.2"
"Sodankylä Tähtelä","2010","3","12","00:00","223.9"
"Sodankylä Tähtelä","2010","3","13","00:00","42"
"Sodankylä Tähtelä","2010","3","14","00:00","109.8"
"Sodankylä Tähtelä","2010","3","15","00:00","259.4"
"Sodankylä Tähtelä","2010","3","16","00:00","329.4"
"Sodankylä Tähtelä","2010","3","17","00:00","292.2"
"Sodankylä Tähtelä","2010","3","18","00:00","258.2"
"Sodankylä Tähtelä","2010","3","19","00:00","252.1"
"Sodankylä Tähtelä","2010","3","20","00:00","2.5"
"Sodankylä Tähtelä","2010","3","21","00:00","335.7"
"Sodankylä Tähtelä","2010","3","22","00:00","251"
"Sodankylä Tähtelä","2010","3","23","00:00","187.3"
"Sodankylä Tähtelä","2010","3","24","00:00","309"
"Sodankylä Tähtelä","2010","3","25","00:00","337.5"
"Sodankylä Tähtelä","2010","3","26","00:00","2.1"
"Sodankylä Tähtelä","2010","3","27","00:00","64.1"
"Sodankylä Tähtelä","2010","3","28","00:00","0.7"
"Sodankylä Tähtelä","2010","3","29","00:00","1.2"
"Sodankylä Tähtelä","2010","3","30","00:00","2.9"
"Sodankylä Tähtelä","2010","3","31","00:00","14.5"
"Sodankylä Tähtelä","2010","4","1","00:00","4.5"
"Sodankylä Tähtelä","2010","4","2","00:00","15.9"
"Sodankylä Tähtelä","2010","4","3","00:00","109.2"
"Sodankylä Tähtelä","2010","4","4","00:00","2"
"Sodankylä Tähtelä","2010","4","5","00:00","2.1"
"Sodankylä Tähtelä","2010","4","6","00:00","3.6"
"Sodankylä Tähtelä","2010","4","7","00:00","1.5"
"Sodankylä Tähtelä","2010","4","8","00:00","9.8"
"Sodankylä Tähtelä","2010","4","9","00:00","1.3"
"Sodankylä Tähtelä","2010","4","10","00:00","1.8"
"Sodankylä Tähtelä","2010","4","11","00:00","106.2"
"Sodankylä Tähtelä","2010","4","12","00:00","158.5"
"Sodankylä Tähtelä","2010","4","13","00:00","125"
"Sodankylä Tähtelä","2010","4","14","00:00","274.2"
"Sodankylä Tähtelä","2010","4","15","00:00","160.3"
"Sodankylä Tähtelä","2010","4","16","00:00","14.2"
"Sodankylä Tähtelä","2010","4","17","00:00","325.7"
"Sodankylä Tähtelä","2010","4","18","00:00","43.8"
"Sodankylä Tähtelä","2010","4","19","00:00","454"
"Sodankylä Tähtelä","2010","4","20","00:00","66.2"
"Sodankylä Tähtelä","2010","4","21","00:00","236.2"
"Sodankylä Tähtelä","2010","4","22","00:00","251.1"
"Sodankylä Tähtelä","2010","4","23","00:00","1.4"
"Sodankylä Tähtelä","2010","4","24","00:00","30.5"
"Sodankylä Tähtelä","2010","4","25","00:00","276.6"
"Sodankylä Tähtelä","2010","4","26","00:00","139.8"
"Sodankylä Tähtelä","2010","4","27","00:00","204.5"
"Sodankylä Tähtelä","2010","4","28","00:00","412.7"
"Sodankylä Tähtelä","2010","4","29","00:00","389.6"
"Sodankylä Tähtelä","2010","4","30","00:00","208.4"
"Sodankylä Tähtelä","2010","5","1","00:00","1"
