"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2011","3","1","00:00","93.1"
"Sodankylä Tähtelä","2011","3","2","00:00","30.1"
"Sodankylä Tähtelä","2011","3","3","00:00","112.8"
"Sodankylä Tähtelä","2011","3","4","00:00","226"
"Sodankylä Tähtelä","2011","3","5","00:00","9.1"
"Sodankylä Tähtelä","2011","3","6","00:00","171.5"
"Sodankylä Tähtelä","2011","3","7","00:00","76.6"
"Sodankylä Tähtelä","2011","3","8","00:00","56.2"
"Sodankylä Tähtelä","2011","3","9","00:00","68.1"
"Sodankylä Tähtelä","2011","3","10","00:00","57.1"
"Sodankylä Tähtelä","2011","3","11","00:00","1.2"
"Sodankylä Tähtelä","2011","3","12","00:00","2.8"
"Sodankylä Tähtelä","2011","3","13","00:00","324"
"Sodankylä Tähtelä","2011","3","14","00:00","54.8"
"Sodankylä Tähtelä","2011","3","15","00:00","226.3"
"Sodankylä Tähtelä","2011","3","16","00:00","283.3"
"Sodankylä Tähtelä","2011","3","17","00:00","317.4"
"Sodankylä Tähtelä","2011","3","18","00:00","95.7"
"Sodankylä Tähtelä","2011","3","19","00:00","3.8"
"Sodankylä Tähtelä","2011","3","20","00:00","76.8"
"Sodankylä Tähtelä","2011","3","21","00:00","2.9"
"Sodankylä Tähtelä","2011","3","22","00:00","162.5"
"Sodankylä Tähtelä","2011","3","23","00:00","137.1"
"Sodankylä Tähtelä","2011","3","24","00:00","245.8"
"Sodankylä Tähtelä","2011","3","25","00:00","225.9"
"Sodankylä Tähtelä","2011","3","26","00:00","113.5"
"Sodankylä Tähtelä","2011","3","27","00:00","140.1"
"Sodankylä Tähtelä","2011","3","28","00:00","318.2"
"Sodankylä Tähtelä","2011","3","29","00:00","260.7"
"Sodankylä Tähtelä","2011","3","30","00:00","328.1"
"Sodankylä Tähtelä","2011","3","31","00:00","237.8"
"Sodankylä Tähtelä","2011","4","1","00:00","1.6"
"Sodankylä Tähtelä","2011","4","2","00:00","0.7"
"Sodankylä Tähtelä","2011","4","3","00:00","288.7"
"Sodankylä Tähtelä","2011","4","4","00:00","124.5"
"Sodankylä Tähtelä","2011","4","5","00:00","182"
"Sodankylä Tähtelä","2011","4","6","00:00","46.7"
"Sodankylä Tähtelä","2011","4","7","00:00","2.4"
"Sodankylä Tähtelä","2011","4","8","00:00","31.5"
"Sodankylä Tähtelä","2011","4","9","00:00","192.5"
"Sodankylä Tähtelä","2011","4","10","00:00","142.2"
"Sodankylä Tähtelä","2011","4","11","00:00","22.4"
"Sodankylä Tähtelä","2011","4","12","00:00","2"
"Sodankylä Tähtelä","2011","4","13","00:00","87.5"
"Sodankylä Tähtelä","2011","4","14","00:00","107.5"
"Sodankylä Tähtelä","2011","4","15","00:00","100.3"
"Sodankylä Tähtelä","2011","4","16","00:00","202.8"
"Sodankylä Tähtelä","2011","4","17","00:00","164.9"
"Sodankylä Tähtelä","2011","4","18","00:00","187.6"
"Sodankylä Tähtelä","2011","4","19","00:00","325.7"
"Sodankylä Tähtelä","2011","4","20","00:00","2.2"
"Sodankylä Tähtelä","2011","4","21","00:00","314.3"
"Sodankylä Tähtelä","2011","4","22","00:00","267.5"
"Sodankylä Tähtelä","2011","4","23","00:00","359.8"
"Sodankylä Tähtelä","2011","4","24","00:00","447.9"
"Sodankylä Tähtelä","2011","4","25","00:00","272.4"
"Sodankylä Tähtelä","2011","4","26","00:00","241.7"
"Sodankylä Tähtelä","2011","4","27","00:00","376.5"
"Sodankylä Tähtelä","2011","4","28","00:00","170.9"
"Sodankylä Tähtelä","2011","4","29","00:00","224.3"
"Sodankylä Tähtelä","2011","4","30","00:00","75.8"
"Sodankylä Tähtelä","2011","5","1","00:00","137.5"
