"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2012","3","1","00:00","1.8"
"Sodankylä Tähtelä","2012","3","2","00:00","123.8"
"Sodankylä Tähtelä","2012","3","3","00:00","108.1"
"Sodankylä Tähtelä","2012","3","4","00:00","112.7"
"Sodankylä Tähtelä","2012","3","5","00:00","244.5"
"Sodankylä Tähtelä","2012","3","6","00:00","222.3"
"Sodankylä Tähtelä","2012","3","7","00:00","248"
"Sodankylä Tähtelä","2012","3","8","00:00","1.4"
"Sodankylä Tähtelä","2012","3","9","00:00","0.7"
"Sodankylä Tähtelä","2012","3","10","00:00","188.6"
"Sodankylä Tähtelä","2012","3","11","00:00","1.5"
"Sodankylä Tähtelä","2012","3","12","00:00","196.1"
"Sodankylä Tähtelä","2012","3","13","00:00","27.3"
"Sodankylä Tähtelä","2012","3","14","00:00","238.3"
"Sodankylä Tähtelä","2012","3","15","00:00","27.1"
"Sodankylä Tähtelä","2012","3","16","00:00","124.3"
"Sodankylä Tähtelä","2012","3","17","00:00","10"
"Sodankylä Tähtelä","2012","3","18","00:00","282.8"
"Sodankylä Tähtelä","2012","3","19","00:00","26.3"
"Sodankylä Tähtelä","2012","3","20","00:00","187.5"
"Sodankylä Tähtelä","2012","3","21","00:00","315.8"
"Sodankylä Tähtelä","2012","3","22","00:00","2"
"Sodankylä Tähtelä","2012","3","23","00:00","1.4"
"Sodankylä Tähtelä","2012","3","24","00:00","15.2"
"Sodankylä Tähtelä","2012","3","25","00:00","126.9"
"Sodankylä Tähtelä","2012","3","26","00:00","2.1"
"Sodankylä Tähtelä","2012","3","27","00:00","35.2"
"Sodankylä Tähtelä","2012","3","28","00:00","6.7"
"Sodankylä Tähtelä","2012","3","29","00:00","288.4"
"Sodankylä Tähtelä","2012","3","30","00:00","362.5"
"Sodankylä Tähtelä","2012","3","31","00:00","172"
"Sodankylä Tähtelä","2012","4","1","00:00","217.1"
"Sodankylä Tähtelä","2012","4","2","00:00","249.9"
"Sodankylä Tähtelä","2012","4","3","00:00","91.7"
"Sodankylä Tähtelä","2012","4","4","00:00","248.6"
"Sodankylä Tähtelä","2012","4","5","00:00","196.1"
"Sodankylä Tähtelä","2012","4","6","00:00","433.1"
"Sodankylä Tähtelä","2012","4","7","00:00","168.7"
"Sodankylä Tähtelä","2012","4","8","00:00","309.8"
"Sodankylä Tähtelä","2012","4","9","00:00","376"
"Sodankylä Tähtelä","2012","4","10","00:00","65.4"
"Sodankylä Tähtelä","2012","4","11","00:00","0.6"
"Sodankylä Tähtelä","2012","4","12","00:00","1"
"Sodankylä Tähtelä","2012","4","13","00:00","425.9"
"Sodankylä Tähtelä","2012","4","14","00:00","279.2"
"Sodankylä Tähtelä","2012","4","15","00:00","2.1"
"Sodankylä Tähtelä","2012","4","16","00:00","152.2"
"Sodankylä Tähtelä","2012","4","17","00:00","117.3"
"Sodankylä Tähtelä","2012","4","18","00:00","1.2"
"Sodankylä Tähtelä","2012","4","19","00:00","137.5"
"Sodankylä Tähtelä","2012","4","20","00:00","234.8"
"Sodankylä Tähtelä","2012","4","21","00:00","1"
"Sodankylä Tähtelä","2012","4","22","00:00","1.6"
"Sodankylä Tähtelä","2012","4","23","00:00","2.5"
"Sodankylä Tähtelä","2012","4","24","00:00","0.7"
"Sodankylä Tähtelä","2012","4","25","00:00","8.5"
"Sodankylä Tähtelä","2012","4","26","00:00","153.9"
"Sodankylä Tähtelä","2012","4","27","00:00","1"
"Sodankylä Tähtelä","2012","4","28","00:00","11.2"
"Sodankylä Tähtelä","2012","4","29","00:00","80.7"
"Sodankylä Tähtelä","2012","4","30","00:00","125.7"
"Sodankylä Tähtelä","2012","5","1","00:00","262.3"
