"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2022","4","1","00:00","10.4"
"Sodankylä Tähtelä","2022","4","2","00:00","17"
"Sodankylä Tähtelä","2022","4","3","00:00","9.2"
"Sodankylä Tähtelä","2022","4","4","00:00","98.3"
"Sodankylä Tähtelä","2022","4","5","00:00","1"
"Sodankylä Tähtelä","2022","4","6","00:00","0.3"
"Sodankylä Tähtelä","2022","4","7","00:00","169.8"
"Sodankylä Tähtelä","2022","4","8","00:00","48.1"
"Sodankylä Tähtelä","2022","4","9","00:00","0.5"
"Sodankylä Tähtelä","2022","4","10","00:00","58.5"
"Sodankylä Tähtelä","2022","4","11","00:00","5.1"
"Sodankylä Tähtelä","2022","4","12","00:00","97.6"
"Sodankylä Tähtelä","2022","4","13","00:00","208.2"
"Sodankylä Tähtelä","2022","4","14","00:00","177.7"
"Sodankylä Tähtelä","2022","4","15","00:00","121.4"
"Sodankylä Tähtelä","2022","4","16","00:00","37.3"
"Sodankylä Tähtelä","2022","4","17","00:00","16"
"Sodankylä Tähtelä","2022","4","18","00:00","143.7"
"Sodankylä Tähtelä","2022","4","19","00:00","466.8"
"Sodankylä Tähtelä","2022","4","20","00:00","449.7"
"Sodankylä Tähtelä","2022","4","21","00:00","371.6"
"Sodankylä Tähtelä","2022","4","22","00:00","94.7"
"Sodankylä Tähtelä","2022","4","23","00:00","133.8"
"Sodankylä Tähtelä","2022","4","24","00:00","151.3"
"Sodankylä Tähtelä","2022","4","25","00:00","60.8"
"Sodankylä Tähtelä","2022","4","26","00:00","241.4"
"Sodankylä Tähtelä","2022","4","27","00:00","288.9"
"Sodankylä Tähtelä","2022","4","28","00:00","128.1"
"Sodankylä Tähtelä","2022","4","29","00:00","339.1"
"Sodankylä Tähtelä","2022","4","30","00:00","129.5"
"Sodankylä Tähtelä","2022","5","1","00:00","245.2"
"Sodankylä Tähtelä","2022","5","2","00:00","0.6"
"Sodankylä Tähtelä","2022","5","3","00:00","39.4"
"Sodankylä Tähtelä","2022","5","4","00:00","248.9"
"Sodankylä Tähtelä","2022","5","5","00:00","196.9"
"Sodankylä Tähtelä","2022","5","6","00:00","291.3"
"Sodankylä Tähtelä","2022","5","7","00:00","179.6"
"Sodankylä Tähtelä","2022","5","8","00:00","262.8"
"Sodankylä Tähtelä","2022","5","9","00:00","320.2"
"Sodankylä Tähtelä","2022","5","10","00:00","5.2"
"Sodankylä Tähtelä","2022","5","11","00:00","0.2"
"Sodankylä Tähtelä","2022","5","12","00:00","191.7"
"Sodankylä Tähtelä","2022","5","13","00:00","281.8"
"Sodankylä Tähtelä","2022","5","14","00:00","256.3"
"Sodankylä Tähtelä","2022","5","15","00:00","91.9"
"Sodankylä Tähtelä","2022","5","16","00:00","0.5"
"Sodankylä Tähtelä","2022","5","17","00:00","6.1"
"Sodankylä Tähtelä","2022","5","18","00:00","66.2"
"Sodankylä Tähtelä","2022","5","19","00:00","275.2"
"Sodankylä Tähtelä","2022","5","20","00:00","138.2"
"Sodankylä Tähtelä","2022","5","21","00:00","54.2"
"Sodankylä Tähtelä","2022","5","22","00:00","251.3"
"Sodankylä Tähtelä","2022","5","23","00:00","205.6"
"Sodankylä Tähtelä","2022","5","24","00:00","480.6"
"Sodankylä Tähtelä","2022","5","25","00:00","391.9"
"Sodankylä Tähtelä","2022","5","26","00:00","435.7"
"Sodankylä Tähtelä","2022","5","27","00:00","0"
"Sodankylä Tähtelä","2022","5","28","00:00","19.2"
"Sodankylä Tähtelä","2022","5","29","00:00","32.8"
"Sodankylä Tähtelä","2022","5","30","00:00","496.5"
"Sodankylä Tähtelä","2022","5","31","00:00","294.9"
"Sodankylä Tähtelä","2022","6","1","00:00","106.7"
