"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2004","5","1","00:00","223.7"
"Sodankylä Tähtelä","2004","5","2","00:00","58.2"
"Sodankylä Tähtelä","2004","5","3","00:00","105.7"
"Sodankylä Tähtelä","2004","5","4","00:00","135.9"
"Sodankylä Tähtelä","2004","5","5","00:00","96.7"
"Sodankylä Tähtelä","2004","5","6","00:00","405.1"
"Sodankylä Tähtelä","2004","5","7","00:00","267.5"
"Sodankylä Tähtelä","2004","5","8","00:00","320.9"
"Sodankylä Tähtelä","2004","5","9","00:00","2.3"
"Sodankylä Tähtelä","2004","5","10","00:00","72.2"
"Sodankylä Tähtelä","2004","5","11","00:00","341.2"
"Sodankylä Tähtelä","2004","5","12","00:00","305"
"Sodankylä Tähtelä","2004","5","13","00:00","153.8"
"Sodankylä Tähtelä","2004","5","14","00:00","131.6"
"Sodankylä Tähtelä","2004","5","15","00:00","25.1"
"Sodankylä Tähtelä","2004","5","16","00:00","32.1"
"Sodankylä Tähtelä","2004","5","17","00:00","238.4"
"Sodankylä Tähtelä","2004","5","18","00:00","1.4"
"Sodankylä Tähtelä","2004","5","19","00:00","185.7"
"Sodankylä Tähtelä","2004","5","20","00:00","292"
"Sodankylä Tähtelä","2004","5","21","00:00","7.8"
"Sodankylä Tähtelä","2004","5","22","00:00","1.1"
"Sodankylä Tähtelä","2004","5","23","00:00","1.3"
"Sodankylä Tähtelä","2004","5","24","00:00","1.1"
"Sodankylä Tähtelä","2004","5","25","00:00","1.5"
"Sodankylä Tähtelä","2004","5","26","00:00","19"
"Sodankylä Tähtelä","2004","5","27","00:00","264.7"
"Sodankylä Tähtelä","2004","5","28","00:00","439.5"
"Sodankylä Tähtelä","2004","5","29","00:00","100.3"
"Sodankylä Tähtelä","2004","5","30","00:00","389.5"
"Sodankylä Tähtelä","2004","5","31","00:00","158.4"
"Sodankylä Tähtelä","2004","6","1","00:00","77.4"
"Sodankylä Tähtelä","2004","6","2","00:00","101.7"
"Sodankylä Tähtelä","2004","6","3","00:00","206.5"
"Sodankylä Tähtelä","2004","6","4","00:00","358.1"
"Sodankylä Tähtelä","2004","6","5","00:00","1.7"
"Sodankylä Tähtelä","2004","6","6","00:00","1.5"
"Sodankylä Tähtelä","2004","6","7","00:00","3.6"
"Sodankylä Tähtelä","2004","6","8","00:00","3.9"
"Sodankylä Tähtelä","2004","6","9","00:00","80"
"Sodankylä Tähtelä","2004","6","10","00:00","1.9"
"Sodankylä Tähtelä","2004","6","11","00:00","151.5"
"Sodankylä Tähtelä","2004","6","12","00:00","152.2"
"Sodankylä Tähtelä","2004","6","13","00:00","431.9"
"Sodankylä Tähtelä","2004","6","14","00:00","4.2"
"Sodankylä Tähtelä","2004","6","15","00:00","43.8"
"Sodankylä Tähtelä","2004","6","16","00:00","12.8"
"Sodankylä Tähtelä","2004","6","17","00:00","17.3"
"Sodankylä Tähtelä","2004","6","18","00:00","56.2"
"Sodankylä Tähtelä","2004","6","19","00:00","220.3"
"Sodankylä Tähtelä","2004","6","20","00:00","293.9"
"Sodankylä Tähtelä","2004","6","21","00:00","271.5"
"Sodankylä Tähtelä","2004","6","22","00:00","361.4"
"Sodankylä Tähtelä","2004","6","23","00:00","126.9"
"Sodankylä Tähtelä","2004","6","24","00:00","417.9"
"Sodankylä Tähtelä","2004","6","25","00:00","52.9"
"Sodankylä Tähtelä","2004","6","26","00:00","218.9"
"Sodankylä Tähtelä","2004","6","27","00:00","318.3"
"Sodankylä Tähtelä","2004","6","28","00:00","9.8"
"Sodankylä Tähtelä","2004","6","29","00:00","0.6"
"Sodankylä Tähtelä","2004","6","30","00:00","111.7"
"Sodankylä Tähtelä","2004","7","1","00:00","243.6"
