"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2005","5","1","00:00","523.4"
"Sodankylä Tähtelä","2005","5","2","00:00","358.1"
"Sodankylä Tähtelä","2005","5","3","00:00","1.6"
"Sodankylä Tähtelä","2005","5","4","00:00","4.8"
"Sodankylä Tähtelä","2005","5","5","00:00","2.4"
"Sodankylä Tähtelä","2005","5","6","00:00","1.4"
"Sodankylä Tähtelä","2005","5","7","00:00","160.3"
"Sodankylä Tähtelä","2005","5","8","00:00","5"
"Sodankylä Tähtelä","2005","5","9","00:00","1.8"
"Sodankylä Tähtelä","2005","5","10","00:00","209.6"
"Sodankylä Tähtelä","2005","5","11","00:00","1.2"
"Sodankylä Tähtelä","2005","5","12","00:00","84.6"
"Sodankylä Tähtelä","2005","5","13","00:00","385.7"
"Sodankylä Tähtelä","2005","5","14","00:00","361.8"
"Sodankylä Tähtelä","2005","5","15","00:00","509"
"Sodankylä Tähtelä","2005","5","16","00:00","292.3"
"Sodankylä Tähtelä","2005","5","17","00:00","1.1"
"Sodankylä Tähtelä","2005","5","18","00:00","493.6"
"Sodankylä Tähtelä","2005","5","19","00:00","255.2"
"Sodankylä Tähtelä","2005","5","20","00:00","355"
"Sodankylä Tähtelä","2005","5","21","00:00","6.2"
"Sodankylä Tähtelä","2005","5","22","00:00","56.4"
"Sodankylä Tähtelä","2005","5","23","00:00","350.3"
"Sodankylä Tähtelä","2005","5","24","00:00","-"
"-","2005","5","25","00:00","-"
"Sodankylä Tähtelä","2005","5","26","00:00","311.4"
"Sodankylä Tähtelä","2005","5","27","00:00","1.8"
"Sodankylä Tähtelä","2005","5","28","00:00","186.9"
"Sodankylä Tähtelä","2005","5","29","00:00","23.1"
"Sodankylä Tähtelä","2005","5","30","00:00","43.5"
"Sodankylä Tähtelä","2005","5","31","00:00","344.1"
"Sodankylä Tähtelä","2005","6","1","00:00","191.9"
"Sodankylä Tähtelä","2005","6","2","00:00","165.6"
"Sodankylä Tähtelä","2005","6","3","00:00","215.2"
"Sodankylä Tähtelä","2005","6","4","00:00","288.9"
"Sodankylä Tähtelä","2005","6","5","00:00","41.9"
"Sodankylä Tähtelä","2005","6","6","00:00","50.8"
"Sodankylä Tähtelä","2005","6","7","00:00","4.9"
"Sodankylä Tähtelä","2005","6","8","00:00","172"
"Sodankylä Tähtelä","2005","6","9","00:00","175.4"
"Sodankylä Tähtelä","2005","6","10","00:00","64.7"
"Sodankylä Tähtelä","2005","6","11","00:00","148.7"
"Sodankylä Tähtelä","2005","6","12","00:00","278.1"
"Sodankylä Tähtelä","2005","6","13","00:00","482.6"
"Sodankylä Tähtelä","2005","6","14","00:00","237.9"
"Sodankylä Tähtelä","2005","6","15","00:00","105.7"
"Sodankylä Tähtelä","2005","6","16","00:00","272.7"
"Sodankylä Tähtelä","2005","6","17","00:00","137.3"
"Sodankylä Tähtelä","2005","6","18","00:00","399.3"
"Sodankylä Tähtelä","2005","6","19","00:00","632.6"
"Sodankylä Tähtelä","2005","6","20","00:00","353.2"
"Sodankylä Tähtelä","2005","6","21","00:00","249.6"
"Sodankylä Tähtelä","2005","6","22","00:00","7.4"
"Sodankylä Tähtelä","2005","6","23","00:00","308.4"
"Sodankylä Tähtelä","2005","6","24","00:00","106.2"
"Sodankylä Tähtelä","2005","6","25","00:00","23"
"Sodankylä Tähtelä","2005","6","26","00:00","183.6"
"Sodankylä Tähtelä","2005","6","27","00:00","193.3"
"Sodankylä Tähtelä","2005","6","28","00:00","23.8"
"Sodankylä Tähtelä","2005","6","29","00:00","196.6"
"Sodankylä Tähtelä","2005","6","30","00:00","527.3"
"Sodankylä Tähtelä","2005","7","1","00:00","446.6"
