"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2006","5","1","00:00","486.7"
"Sodankylä Tähtelä","2006","5","2","00:00","416.2"
"Sodankylä Tähtelä","2006","5","3","00:00","152.6"
"Sodankylä Tähtelä","2006","5","4","00:00","188.5"
"Sodankylä Tähtelä","2006","5","5","00:00","418.7"
"Sodankylä Tähtelä","2006","5","6","00:00","423.7"
"Sodankylä Tähtelä","2006","5","7","00:00","482.4"
"Sodankylä Tähtelä","2006","5","8","00:00","479.9"
"Sodankylä Tähtelä","2006","5","9","00:00","143.9"
"Sodankylä Tähtelä","2006","5","10","00:00","55.7"
"Sodankylä Tähtelä","2006","5","11","00:00","20.4"
"Sodankylä Tähtelä","2006","5","12","00:00","0.9"
"Sodankylä Tähtelä","2006","5","13","00:00","72.1"
"Sodankylä Tähtelä","2006","5","14","00:00","27.6"
"Sodankylä Tähtelä","2006","5","15","00:00","203.3"
"Sodankylä Tähtelä","2006","5","16","00:00","233"
"Sodankylä Tähtelä","2006","5","17","00:00","148.7"
"Sodankylä Tähtelä","2006","5","18","00:00","302.7"
"Sodankylä Tähtelä","2006","5","19","00:00","128.9"
"Sodankylä Tähtelä","2006","5","20","00:00","89.6"
"Sodankylä Tähtelä","2006","5","21","00:00","404.5"
"Sodankylä Tähtelä","2006","5","22","00:00","243.4"
"Sodankylä Tähtelä","2006","5","23","00:00","276.8"
"Sodankylä Tähtelä","2006","5","24","00:00","0.6"
"Sodankylä Tähtelä","2006","5","25","00:00","0.7"
"Sodankylä Tähtelä","2006","5","26","00:00","1.4"
"Sodankylä Tähtelä","2006","5","27","00:00","1.8"
"Sodankylä Tähtelä","2006","5","28","00:00","16.9"
"Sodankylä Tähtelä","2006","5","29","00:00","74.1"
"Sodankylä Tähtelä","2006","5","30","00:00","0.7"
"Sodankylä Tähtelä","2006","5","31","00:00","0.9"
"Sodankylä Tähtelä","2006","6","1","00:00","1.1"
"Sodankylä Tähtelä","2006","6","2","00:00","43.8"
"Sodankylä Tähtelä","2006","6","3","00:00","161"
"Sodankylä Tähtelä","2006","6","4","00:00","34.3"
"Sodankylä Tähtelä","2006","6","5","00:00","74.1"
"Sodankylä Tähtelä","2006","6","6","00:00","12.4"
"Sodankylä Tähtelä","2006","6","7","00:00","576.9"
"Sodankylä Tähtelä","2006","6","8","00:00","120.4"
"Sodankylä Tähtelä","2006","6","9","00:00","174.4"
"Sodankylä Tähtelä","2006","6","10","00:00","217.2"
"Sodankylä Tähtelä","2006","6","11","00:00","363.6"
"Sodankylä Tähtelä","2006","6","12","00:00","397.4"
"Sodankylä Tähtelä","2006","6","13","00:00","399.8"
"Sodankylä Tähtelä","2006","6","14","00:00","41.8"
"Sodankylä Tähtelä","2006","6","15","00:00","-"
"-","2006","6","16","00:00","-"
"Sodankylä Tähtelä","2006","6","17","00:00","42.4"
"Sodankylä Tähtelä","2006","6","18","00:00","93.6"
"Sodankylä Tähtelä","2006","6","19","00:00","76.6"
"Sodankylä Tähtelä","2006","6","20","00:00","139.6"
"Sodankylä Tähtelä","2006","6","21","00:00","106.8"
"Sodankylä Tähtelä","2006","6","22","00:00","275.7"
"Sodankylä Tähtelä","2006","6","23","00:00","321"
"Sodankylä Tähtelä","2006","6","24","00:00","333.3"
"Sodankylä Tähtelä","2006","6","25","00:00","296.5"
"Sodankylä Tähtelä","2006","6","26","00:00","86.7"
"Sodankylä Tähtelä","2006","6","27","00:00","341.3"
"Sodankylä Tähtelä","2006","6","28","00:00","483.7"
"Sodankylä Tähtelä","2006","6","29","00:00","279.2"
"Sodankylä Tähtelä","2006","6","30","00:00","359.3"
"Sodankylä Tähtelä","2006","7","1","00:00","280.7"
