"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2010","5","1","00:00","1"
"Sodankylä Tähtelä","2010","5","2","00:00","1.3"
"Sodankylä Tähtelä","2010","5","3","00:00","114.4"
"Sodankylä Tähtelä","2010","5","4","00:00","411.1"
"Sodankylä Tähtelä","2010","5","5","00:00","122.3"
"Sodankylä Tähtelä","2010","5","6","00:00","14.4"
"Sodankylä Tähtelä","2010","5","7","00:00","330.1"
"Sodankylä Tähtelä","2010","5","8","00:00","465"
"Sodankylä Tähtelä","2010","5","9","00:00","8.4"
"Sodankylä Tähtelä","2010","5","10","00:00","122.8"
"Sodankylä Tähtelä","2010","5","11","00:00","63.4"
"Sodankylä Tähtelä","2010","5","12","00:00","1.9"
"Sodankylä Tähtelä","2010","5","13","00:00","328.8"
"Sodankylä Tähtelä","2010","5","14","00:00","172.2"
"Sodankylä Tähtelä","2010","5","15","00:00","393.3"
"Sodankylä Tähtelä","2010","5","16","00:00","331.7"
"Sodankylä Tähtelä","2010","5","17","00:00","442.2"
"Sodankylä Tähtelä","2010","5","18","00:00","476.4"
"Sodankylä Tähtelä","2010","5","19","00:00","397.1"
"Sodankylä Tähtelä","2010","5","20","00:00","297.6"
"Sodankylä Tähtelä","2010","5","21","00:00","107.9"
"Sodankylä Tähtelä","2010","5","22","00:00","87.7"
"Sodankylä Tähtelä","2010","5","23","00:00","2.6"
"Sodankylä Tähtelä","2010","5","24","00:00","1.7"
"Sodankylä Tähtelä","2010","5","25","00:00","0.7"
"Sodankylä Tähtelä","2010","5","26","00:00","293.5"
"Sodankylä Tähtelä","2010","5","27","00:00","552.6"
"Sodankylä Tähtelä","2010","5","28","00:00","428.9"
"Sodankylä Tähtelä","2010","5","29","00:00","-"
"-","2010","5","30","00:00","-"
"Sodankylä Tähtelä","2010","5","31","00:00","93.3"
"Sodankylä Tähtelä","2010","6","1","00:00","357"
"Sodankylä Tähtelä","2010","6","2","00:00","450.6"
"Sodankylä Tähtelä","2010","6","3","00:00","34.4"
"Sodankylä Tähtelä","2010","6","4","00:00","2.2"
"Sodankylä Tähtelä","2010","6","5","00:00","103.8"
"Sodankylä Tähtelä","2010","6","6","00:00","4.8"
"Sodankylä Tähtelä","2010","6","7","00:00","102.8"
"Sodankylä Tähtelä","2010","6","8","00:00","159"
"Sodankylä Tähtelä","2010","6","9","00:00","135.9"
"Sodankylä Tähtelä","2010","6","10","00:00","155.4"
"Sodankylä Tähtelä","2010","6","11","00:00","117.4"
"Sodankylä Tähtelä","2010","6","12","00:00","490.6"
"Sodankylä Tähtelä","2010","6","13","00:00","617.7"
"Sodankylä Tähtelä","2010","6","14","00:00","158"
"Sodankylä Tähtelä","2010","6","15","00:00","133.2"
"Sodankylä Tähtelä","2010","6","16","00:00","226.1"
"Sodankylä Tähtelä","2010","6","17","00:00","163.8"
"Sodankylä Tähtelä","2010","6","18","00:00","103.8"
"Sodankylä Tähtelä","2010","6","19","00:00","39.6"
"Sodankylä Tähtelä","2010","6","20","00:00","44.9"
"Sodankylä Tähtelä","2010","6","21","00:00","51.5"
"Sodankylä Tähtelä","2010","6","22","00:00","388"
"Sodankylä Tähtelä","2010","6","23","00:00","100"
"Sodankylä Tähtelä","2010","6","24","00:00","117"
"Sodankylä Tähtelä","2010","6","25","00:00","466.5"
"Sodankylä Tähtelä","2010","6","26","00:00","27.3"
"Sodankylä Tähtelä","2010","6","27","00:00","75.5"
"Sodankylä Tähtelä","2010","6","28","00:00","55"
"Sodankylä Tähtelä","2010","6","29","00:00","398.5"
"Sodankylä Tähtelä","2010","6","30","00:00","35.7"
"Sodankylä Tähtelä","2010","7","1","00:00","64.7"
