"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2011","5","1","00:00","137.5"
"Sodankylä Tähtelä","2011","5","2","00:00","35.3"
"Sodankylä Tähtelä","2011","5","3","00:00","1.9"
"Sodankylä Tähtelä","2011","5","4","00:00","34.9"
"Sodankylä Tähtelä","2011","5","5","00:00","283.7"
"Sodankylä Tähtelä","2011","5","6","00:00","37.3"
"Sodankylä Tähtelä","2011","5","7","00:00","67.7"
"Sodankylä Tähtelä","2011","5","8","00:00","443.2"
"Sodankylä Tähtelä","2011","5","9","00:00","111.6"
"Sodankylä Tähtelä","2011","5","10","00:00","421.6"
"Sodankylä Tähtelä","2011","5","11","00:00","72.8"
"Sodankylä Tähtelä","2011","5","12","00:00","485.8"
"Sodankylä Tähtelä","2011","5","13","00:00","554.9"
"Sodankylä Tähtelä","2011","5","14","00:00","560.5"
"Sodankylä Tähtelä","2011","5","15","00:00","453.3"
"Sodankylä Tähtelä","2011","5","16","00:00","27.5"
"Sodankylä Tähtelä","2011","5","17","00:00","1.3"
"Sodankylä Tähtelä","2011","5","18","00:00","1.1"
"Sodankylä Tähtelä","2011","5","19","00:00","25.5"
"Sodankylä Tähtelä","2011","5","20","00:00","81"
"Sodankylä Tähtelä","2011","5","21","00:00","187.2"
"Sodankylä Tähtelä","2011","5","22","00:00","291.3"
"Sodankylä Tähtelä","2011","5","23","00:00","339.5"
"Sodankylä Tähtelä","2011","5","24","00:00","145.6"
"Sodankylä Tähtelä","2011","5","25","00:00","65.5"
"Sodankylä Tähtelä","2011","5","26","00:00","136.1"
"Sodankylä Tähtelä","2011","5","27","00:00","260.9"
"Sodankylä Tähtelä","2011","5","28","00:00","0.5"
"Sodankylä Tähtelä","2011","5","29","00:00","18.3"
"Sodankylä Tähtelä","2011","5","30","00:00","126.7"
"Sodankylä Tähtelä","2011","5","31","00:00","334.1"
"Sodankylä Tähtelä","2011","6","1","00:00","92.5"
"Sodankylä Tähtelä","2011","6","2","00:00","66"
"Sodankylä Tähtelä","2011","6","3","00:00","59.8"
"Sodankylä Tähtelä","2011","6","4","00:00","226.7"
"Sodankylä Tähtelä","2011","6","5","00:00","352.4"
"Sodankylä Tähtelä","2011","6","6","00:00","466.7"
"Sodankylä Tähtelä","2011","6","7","00:00","357.8"
"Sodankylä Tähtelä","2011","6","8","00:00","387.9"
"Sodankylä Tähtelä","2011","6","9","00:00","314.5"
"Sodankylä Tähtelä","2011","6","10","00:00","407.5"
"Sodankylä Tähtelä","2011","6","11","00:00","71.9"
"Sodankylä Tähtelä","2011","6","12","00:00","254.9"
"Sodankylä Tähtelä","2011","6","13","00:00","220.1"
"Sodankylä Tähtelä","2011","6","14","00:00","561.2"
"Sodankylä Tähtelä","2011","6","15","00:00","307.4"
"Sodankylä Tähtelä","2011","6","16","00:00","130.1"
"Sodankylä Tähtelä","2011","6","17","00:00","5.4"
"Sodankylä Tähtelä","2011","6","18","00:00","168.7"
"Sodankylä Tähtelä","2011","6","19","00:00","38.6"
"Sodankylä Tähtelä","2011","6","20","00:00","6.9"
"Sodankylä Tähtelä","2011","6","21","00:00","0.3"
"Sodankylä Tähtelä","2011","6","22","00:00","21.9"
"Sodankylä Tähtelä","2011","6","23","00:00","369.3"
"Sodankylä Tähtelä","2011","6","24","00:00","18"
"Sodankylä Tähtelä","2011","6","25","00:00","148.4"
"Sodankylä Tähtelä","2011","6","26","00:00","233.8"
"Sodankylä Tähtelä","2011","6","27","00:00","337.8"
"Sodankylä Tähtelä","2011","6","28","00:00","346.4"
"Sodankylä Tähtelä","2011","6","29","00:00","338.7"
"Sodankylä Tähtelä","2011","6","30","00:00","559"
"Sodankylä Tähtelä","2011","7","1","00:00","152.8"
