"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2021","6","1","00:00","248.9"
"Sodankylä Tähtelä","2021","6","2","00:00","552.8"
"Sodankylä Tähtelä","2021","6","3","00:00","605.2"
"Sodankylä Tähtelä","2021","6","4","00:00","518.7"
"Sodankylä Tähtelä","2021","6","5","00:00","227.3"
"Sodankylä Tähtelä","2021","6","6","00:00","632.7"
"Sodankylä Tähtelä","2021","6","7","00:00","572.1"
"Sodankylä Tähtelä","2021","6","8","00:00","192.1"
"Sodankylä Tähtelä","2021","6","9","00:00","288.2"
"Sodankylä Tähtelä","2021","6","10","00:00","465.1"
"Sodankylä Tähtelä","2021","6","11","00:00","546.3"
"Sodankylä Tähtelä","2021","6","12","00:00","271.4"
"Sodankylä Tähtelä","2021","6","13","00:00","120.2"
"Sodankylä Tähtelä","2021","6","14","00:00","246.1"
"Sodankylä Tähtelä","2021","6","15","00:00","7.2"
"Sodankylä Tähtelä","2021","6","16","00:00","253.3"
"Sodankylä Tähtelä","2021","6","17","00:00","189.3"
"Sodankylä Tähtelä","2021","6","18","00:00","0.7"
"Sodankylä Tähtelä","2021","6","19","00:00","488.1"
"Sodankylä Tähtelä","2021","6","20","00:00","3.1"
"Sodankylä Tähtelä","2021","6","21","00:00","21.9"
"Sodankylä Tähtelä","2021","6","22","00:00","100"
"Sodankylä Tähtelä","2021","6","23","00:00","-"
"-","2021","6","24","00:00","-"
"Sodankylä Tähtelä","2021","6","25","00:00","190.9"
"Sodankylä Tähtelä","2021","6","26","00:00","360.9"
"Sodankylä Tähtelä","2021","6","27","00:00","84.2"
"Sodankylä Tähtelä","2021","6","28","00:00","526.2"
"Sodankylä Tähtelä","2021","6","29","00:00","328.5"
"Sodankylä Tähtelä","2021","6","30","00:00","413.8"
"Sodankylä Tähtelä","2021","7","1","00:00","642.7"
"Sodankylä Tähtelä","2021","7","2","00:00","613.7"
"Sodankylä Tähtelä","2021","7","3","00:00","516.3"
"Sodankylä Tähtelä","2021","7","4","00:00","492.2"
"Sodankylä Tähtelä","2021","7","5","00:00","569.9"
"Sodankylä Tähtelä","2021","7","6","00:00","213.9"
"Sodankylä Tähtelä","2021","7","7","00:00","270.7"
"Sodankylä Tähtelä","2021","7","8","00:00","136.4"
"Sodankylä Tähtelä","2021","7","9","00:00","303.9"
"Sodankylä Tähtelä","2021","7","10","00:00","533.4"
"Sodankylä Tähtelä","2021","7","11","00:00","66.5"
"Sodankylä Tähtelä","2021","7","12","00:00","170.9"
"Sodankylä Tähtelä","2021","7","13","00:00","350.3"
"Sodankylä Tähtelä","2021","7","14","00:00","351.8"
"Sodankylä Tähtelä","2021","7","15","00:00","143"
"Sodankylä Tähtelä","2021","7","16","00:00","394.2"
"Sodankylä Tähtelä","2021","7","17","00:00","145.7"
"Sodankylä Tähtelä","2021","7","18","00:00","14.2"
"Sodankylä Tähtelä","2021","7","19","00:00","112.1"
"Sodankylä Tähtelä","2021","7","20","00:00","221.4"
"Sodankylä Tähtelä","2021","7","21","00:00","18.6"
"Sodankylä Tähtelä","2021","7","22","00:00","72.3"
"Sodankylä Tähtelä","2021","7","23","00:00","154"
"Sodankylä Tähtelä","2021","7","24","00:00","106.8"
"Sodankylä Tähtelä","2021","7","25","00:00","9"
"Sodankylä Tähtelä","2021","7","26","00:00","75.4"
"Sodankylä Tähtelä","2021","7","27","00:00","336.7"
"Sodankylä Tähtelä","2021","7","28","00:00","432.9"
"Sodankylä Tähtelä","2021","7","29","00:00","68.5"
"Sodankylä Tähtelä","2021","7","30","00:00","0.2"
"Sodankylä Tähtelä","2021","7","31","00:00","154.9"
"Sodankylä Tähtelä","2021","8","1","00:00","52.2"
