"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2022","6","1","00:00","106.7"
"Sodankylä Tähtelä","2022","6","2","00:00","231.5"
"Sodankylä Tähtelä","2022","6","3","00:00","75.8"
"Sodankylä Tähtelä","2022","6","4","00:00","62.1"
"Sodankylä Tähtelä","2022","6","5","00:00","153.6"
"Sodankylä Tähtelä","2022","6","6","00:00","346.9"
"Sodankylä Tähtelä","2022","6","7","00:00","371"
"Sodankylä Tähtelä","2022","6","8","00:00","346.6"
"Sodankylä Tähtelä","2022","6","9","00:00","97.1"
"Sodankylä Tähtelä","2022","6","10","00:00","654.9"
"Sodankylä Tähtelä","2022","6","11","00:00","460.2"
"Sodankylä Tähtelä","2022","6","12","00:00","198.9"
"Sodankylä Tähtelä","2022","6","13","00:00","348.2"
"Sodankylä Tähtelä","2022","6","14","00:00","216.2"
"Sodankylä Tähtelä","2022","6","15","00:00","6.1"
"Sodankylä Tähtelä","2022","6","16","00:00","0.5"
"Sodankylä Tähtelä","2022","6","17","00:00","17.2"
"Sodankylä Tähtelä","2022","6","18","00:00","445.7"
"Sodankylä Tähtelä","2022","6","19","00:00","416.1"
"Sodankylä Tähtelä","2022","6","20","00:00","120.1"
"Sodankylä Tähtelä","2022","6","21","00:00","205.3"
"Sodankylä Tähtelä","2022","6","22","00:00","96.4"
"Sodankylä Tähtelä","2022","6","23","00:00","129.3"
"Sodankylä Tähtelä","2022","6","24","00:00","492.3"
"Sodankylä Tähtelä","2022","6","25","00:00","248.3"
"Sodankylä Tähtelä","2022","6","26","00:00","501.4"
"Sodankylä Tähtelä","2022","6","27","00:00","165.1"
"Sodankylä Tähtelä","2022","6","28","00:00","393"
"Sodankylä Tähtelä","2022","6","29","00:00","520.3"
"Sodankylä Tähtelä","2022","6","30","00:00","364.3"
"Sodankylä Tähtelä","2022","7","1","00:00","403.8"
"Sodankylä Tähtelä","2022","7","2","00:00","352.5"
"Sodankylä Tähtelä","2022","7","3","00:00","267.7"
"Sodankylä Tähtelä","2022","7","4","00:00","414.2"
"Sodankylä Tähtelä","2022","7","5","00:00","253.3"
"Sodankylä Tähtelä","2022","7","6","00:00","262.9"
"Sodankylä Tähtelä","2022","7","7","00:00","285.6"
"Sodankylä Tähtelä","2022","7","8","00:00","193.6"
"Sodankylä Tähtelä","2022","7","9","00:00","207.3"
"Sodankylä Tähtelä","2022","7","10","00:00","16.4"
"Sodankylä Tähtelä","2022","7","11","00:00","30.7"
"Sodankylä Tähtelä","2022","7","12","00:00","213.2"
"Sodankylä Tähtelä","2022","7","13","00:00","10.6"
"Sodankylä Tähtelä","2022","7","14","00:00","5.7"
"Sodankylä Tähtelä","2022","7","15","00:00","100.3"
"Sodankylä Tähtelä","2022","7","16","00:00","57.1"
"Sodankylä Tähtelä","2022","7","17","00:00","208.8"
"Sodankylä Tähtelä","2022","7","18","00:00","47"
"Sodankylä Tähtelä","2022","7","19","00:00","222.5"
"Sodankylä Tähtelä","2022","7","20","00:00","104.5"
"Sodankylä Tähtelä","2022","7","21","00:00","225.5"
"Sodankylä Tähtelä","2022","7","22","00:00","152.1"
"Sodankylä Tähtelä","2022","7","23","00:00","319.7"
"Sodankylä Tähtelä","2022","7","24","00:00","249.6"
"Sodankylä Tähtelä","2022","7","25","00:00","99.7"
"Sodankylä Tähtelä","2022","7","26","00:00","1"
"Sodankylä Tähtelä","2022","7","27","00:00","154.9"
"Sodankylä Tähtelä","2022","7","28","00:00","27"
"Sodankylä Tähtelä","2022","7","29","00:00","14.1"
"Sodankylä Tähtelä","2022","7","30","00:00","35"
"Sodankylä Tähtelä","2022","7","31","00:00","1.8"
"Sodankylä Tähtelä","2022","8","1","00:00","97.3"
