"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2004","7","1","00:00","243.6"
"Sodankylä Tähtelä","2004","7","2","00:00","264.9"
"Sodankylä Tähtelä","2004","7","3","00:00","30.2"
"Sodankylä Tähtelä","2004","7","4","00:00","245.4"
"Sodankylä Tähtelä","2004","7","5","00:00","204.2"
"Sodankylä Tähtelä","2004","7","6","00:00","209"
"Sodankylä Tähtelä","2004","7","7","00:00","190.8"
"Sodankylä Tähtelä","2004","7","8","00:00","107.6"
"Sodankylä Tähtelä","2004","7","9","00:00","43.5"
"Sodankylä Tähtelä","2004","7","10","00:00","199.8"
"Sodankylä Tähtelä","2004","7","11","00:00","53"
"Sodankylä Tähtelä","2004","7","12","00:00","82.8"
"Sodankylä Tähtelä","2004","7","13","00:00","112.1"
"Sodankylä Tähtelä","2004","7","14","00:00","74.3"
"Sodankylä Tähtelä","2004","7","15","00:00","76.2"
"Sodankylä Tähtelä","2004","7","16","00:00","29.9"
"Sodankylä Tähtelä","2004","7","17","00:00","124.5"
"Sodankylä Tähtelä","2004","7","18","00:00","336.8"
"Sodankylä Tähtelä","2004","7","19","00:00","316.6"
"Sodankylä Tähtelä","2004","7","20","00:00","110.1"
"Sodankylä Tähtelä","2004","7","21","00:00","9"
"Sodankylä Tähtelä","2004","7","22","00:00","263.3"
"Sodankylä Tähtelä","2004","7","23","00:00","462.7"
"Sodankylä Tähtelä","2004","7","24","00:00","311.9"
"Sodankylä Tähtelä","2004","7","25","00:00","165.1"
"Sodankylä Tähtelä","2004","7","26","00:00","229.7"
"Sodankylä Tähtelä","2004","7","27","00:00","96.7"
"Sodankylä Tähtelä","2004","7","28","00:00","13.3"
"Sodankylä Tähtelä","2004","7","29","00:00","15.4"
"Sodankylä Tähtelä","2004","7","30","00:00","418.4"
"Sodankylä Tähtelä","2004","7","31","00:00","449"
"Sodankylä Tähtelä","2004","8","1","00:00","516.2"
"Sodankylä Tähtelä","2004","8","2","00:00","460.2"
"Sodankylä Tähtelä","2004","8","3","00:00","19.3"
"Sodankylä Tähtelä","2004","8","4","00:00","23.7"
"Sodankylä Tähtelä","2004","8","5","00:00","110"
"Sodankylä Tähtelä","2004","8","6","00:00","254.3"
"Sodankylä Tähtelä","2004","8","7","00:00","98.8"
"Sodankylä Tähtelä","2004","8","8","00:00","74.4"
"Sodankylä Tähtelä","2004","8","9","00:00","127.9"
"Sodankylä Tähtelä","2004","8","10","00:00","72.2"
"Sodankylä Tähtelä","2004","8","11","00:00","43"
"Sodankylä Tähtelä","2004","8","12","00:00","98.2"
"Sodankylä Tähtelä","2004","8","13","00:00","80.7"
"Sodankylä Tähtelä","2004","8","14","00:00","254.5"
"Sodankylä Tähtelä","2004","8","15","00:00","273.4"
"Sodankylä Tähtelä","2004","8","16","00:00","32.1"
"Sodankylä Tähtelä","2004","8","17","00:00","8.8"
"Sodankylä Tähtelä","2004","8","18","00:00","0.7"
"Sodankylä Tähtelä","2004","8","19","00:00","124.7"
"Sodankylä Tähtelä","2004","8","20","00:00","0.1"
"Sodankylä Tähtelä","2004","8","21","00:00","43.1"
"Sodankylä Tähtelä","2004","8","22","00:00","3.2"
"Sodankylä Tähtelä","2004","8","23","00:00","42.6"
"Sodankylä Tähtelä","2004","8","24","00:00","2.5"
"Sodankylä Tähtelä","2004","8","25","00:00","1.7"
"Sodankylä Tähtelä","2004","8","26","00:00","4.4"
"Sodankylä Tähtelä","2004","8","27","00:00","137.3"
"Sodankylä Tähtelä","2004","8","28","00:00","0.6"
"Sodankylä Tähtelä","2004","8","29","00:00","68"
"Sodankylä Tähtelä","2004","8","30","00:00","216.5"
"Sodankylä Tähtelä","2004","8","31","00:00","348.7"
"Sodankylä Tähtelä","2004","9","1","00:00","1.3"
