"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2005","7","1","00:00","446.6"
"Sodankylä Tähtelä","2005","7","2","00:00","506.2"
"Sodankylä Tähtelä","2005","7","3","00:00","606.6"
"Sodankylä Tähtelä","2005","7","4","00:00","448.8"
"Sodankylä Tähtelä","2005","7","5","00:00","614"
"Sodankylä Tähtelä","2005","7","6","00:00","522.9"
"Sodankylä Tähtelä","2005","7","7","00:00","597.8"
"Sodankylä Tähtelä","2005","7","8","00:00","409.8"
"Sodankylä Tähtelä","2005","7","9","00:00","417"
"Sodankylä Tähtelä","2005","7","10","00:00","332.3"
"Sodankylä Tähtelä","2005","7","11","00:00","61.1"
"Sodankylä Tähtelä","2005","7","12","00:00","365.7"
"Sodankylä Tähtelä","2005","7","13","00:00","132.6"
"Sodankylä Tähtelä","2005","7","14","00:00","399.6"
"Sodankylä Tähtelä","2005","7","15","00:00","225.5"
"Sodankylä Tähtelä","2005","7","16","00:00","216.8"
"Sodankylä Tähtelä","2005","7","17","00:00","146.2"
"Sodankylä Tähtelä","2005","7","18","00:00","304.7"
"Sodankylä Tähtelä","2005","7","19","00:00","329.8"
"Sodankylä Tähtelä","2005","7","20","00:00","39.5"
"Sodankylä Tähtelä","2005","7","21","00:00","1"
"Sodankylä Tähtelä","2005","7","22","00:00","2.7"
"Sodankylä Tähtelä","2005","7","23","00:00","0.4"
"Sodankylä Tähtelä","2005","7","24","00:00","36.6"
"Sodankylä Tähtelä","2005","7","25","00:00","59.2"
"Sodankylä Tähtelä","2005","7","26","00:00","210.2"
"Sodankylä Tähtelä","2005","7","27","00:00","175.7"
"Sodankylä Tähtelä","2005","7","28","00:00","1.2"
"Sodankylä Tähtelä","2005","7","29","00:00","79.9"
"Sodankylä Tähtelä","2005","7","30","00:00","232.6"
"Sodankylä Tähtelä","2005","7","31","00:00","353.5"
"Sodankylä Tähtelä","2005","8","1","00:00","369.5"
"Sodankylä Tähtelä","2005","8","2","00:00","243.5"
"Sodankylä Tähtelä","2005","8","3","00:00","199.8"
"Sodankylä Tähtelä","2005","8","4","00:00","150.6"
"Sodankylä Tähtelä","2005","8","5","00:00","16.6"
"Sodankylä Tähtelä","2005","8","6","00:00","305.9"
"Sodankylä Tähtelä","2005","8","7","00:00","184.1"
"Sodankylä Tähtelä","2005","8","8","00:00","0.8"
"Sodankylä Tähtelä","2005","8","9","00:00","193.2"
"Sodankylä Tähtelä","2005","8","10","00:00","160"
"Sodankylä Tähtelä","2005","8","11","00:00","163.8"
"Sodankylä Tähtelä","2005","8","12","00:00","101.5"
"Sodankylä Tähtelä","2005","8","13","00:00","1.1"
"Sodankylä Tähtelä","2005","8","14","00:00","31.2"
"Sodankylä Tähtelä","2005","8","15","00:00","2"
"Sodankylä Tähtelä","2005","8","16","00:00","105"
"Sodankylä Tähtelä","2005","8","17","00:00","27"
"Sodankylä Tähtelä","2005","8","18","00:00","314.7"
"Sodankylä Tähtelä","2005","8","19","00:00","169.3"
"Sodankylä Tähtelä","2005","8","20","00:00","5.5"
"Sodankylä Tähtelä","2005","8","21","00:00","197.7"
"Sodankylä Tähtelä","2005","8","22","00:00","291.1"
"Sodankylä Tähtelä","2005","8","23","00:00","5.7"
"Sodankylä Tähtelä","2005","8","24","00:00","19.7"
"Sodankylä Tähtelä","2005","8","25","00:00","83.6"
"Sodankylä Tähtelä","2005","8","26","00:00","120.5"
"Sodankylä Tähtelä","2005","8","27","00:00","353.3"
"Sodankylä Tähtelä","2005","8","28","00:00","74.6"
"Sodankylä Tähtelä","2005","8","29","00:00","49.4"
"Sodankylä Tähtelä","2005","8","30","00:00","67.4"
"Sodankylä Tähtelä","2005","8","31","00:00","304"
"Sodankylä Tähtelä","2005","9","1","00:00","164.5"
