"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2006","7","1","00:00","280.7"
"Sodankylä Tähtelä","2006","7","2","00:00","362.1"
"Sodankylä Tähtelä","2006","7","3","00:00","282.3"
"Sodankylä Tähtelä","2006","7","4","00:00","161.4"
"Sodankylä Tähtelä","2006","7","5","00:00","289.3"
"Sodankylä Tähtelä","2006","7","6","00:00","211.7"
"Sodankylä Tähtelä","2006","7","7","00:00","209.6"
"Sodankylä Tähtelä","2006","7","8","00:00","152.4"
"Sodankylä Tähtelä","2006","7","9","00:00","255.2"
"Sodankylä Tähtelä","2006","7","10","00:00","215.6"
"Sodankylä Tähtelä","2006","7","11","00:00","152.2"
"Sodankylä Tähtelä","2006","7","12","00:00","65.7"
"Sodankylä Tähtelä","2006","7","13","00:00","51.6"
"Sodankylä Tähtelä","2006","7","14","00:00","435.5"
"Sodankylä Tähtelä","2006","7","15","00:00","350.8"
"Sodankylä Tähtelä","2006","7","16","00:00","227.5"
"Sodankylä Tähtelä","2006","7","17","00:00","145.7"
"Sodankylä Tähtelä","2006","7","18","00:00","192"
"Sodankylä Tähtelä","2006","7","19","00:00","87.6"
"Sodankylä Tähtelä","2006","7","20","00:00","35.3"
"Sodankylä Tähtelä","2006","7","21","00:00","48"
"Sodankylä Tähtelä","2006","7","22","00:00","202.9"
"Sodankylä Tähtelä","2006","7","23","00:00","260.4"
"Sodankylä Tähtelä","2006","7","24","00:00","329.8"
"Sodankylä Tähtelä","2006","7","25","00:00","191.4"
"Sodankylä Tähtelä","2006","7","26","00:00","41.5"
"Sodankylä Tähtelä","2006","7","27","00:00","49.3"
"Sodankylä Tähtelä","2006","7","28","00:00","447.1"
"Sodankylä Tähtelä","2006","7","29","00:00","350.6"
"Sodankylä Tähtelä","2006","7","30","00:00","409.7"
"Sodankylä Tähtelä","2006","7","31","00:00","329.3"
"Sodankylä Tähtelä","2006","8","1","00:00","476.8"
"Sodankylä Tähtelä","2006","8","2","00:00","121.3"
"Sodankylä Tähtelä","2006","8","3","00:00","238.3"
"Sodankylä Tähtelä","2006","8","4","00:00","187.7"
"Sodankylä Tähtelä","2006","8","5","00:00","448.9"
"Sodankylä Tähtelä","2006","8","6","00:00","278.2"
"Sodankylä Tähtelä","2006","8","7","00:00","30.4"
"Sodankylä Tähtelä","2006","8","8","00:00","200.1"
"Sodankylä Tähtelä","2006","8","9","00:00","502.9"
"Sodankylä Tähtelä","2006","8","10","00:00","486.7"
"Sodankylä Tähtelä","2006","8","11","00:00","488.3"
"Sodankylä Tähtelä","2006","8","12","00:00","154.4"
"Sodankylä Tähtelä","2006","8","13","00:00","120.4"
"Sodankylä Tähtelä","2006","8","14","00:00","315.6"
"Sodankylä Tähtelä","2006","8","15","00:00","326.8"
"Sodankylä Tähtelä","2006","8","16","00:00","102.8"
"Sodankylä Tähtelä","2006","8","17","00:00","12.9"
"Sodankylä Tähtelä","2006","8","18","00:00","3.6"
"Sodankylä Tähtelä","2006","8","19","00:00","172.7"
"Sodankylä Tähtelä","2006","8","20","00:00","359.8"
"Sodankylä Tähtelä","2006","8","21","00:00","166.8"
"Sodankylä Tähtelä","2006","8","22","00:00","251.4"
"Sodankylä Tähtelä","2006","8","23","00:00","430.6"
"Sodankylä Tähtelä","2006","8","24","00:00","296.8"
"Sodankylä Tähtelä","2006","8","25","00:00","280.8"
"Sodankylä Tähtelä","2006","8","26","00:00","257.5"
"Sodankylä Tähtelä","2006","8","27","00:00","291.1"
"Sodankylä Tähtelä","2006","8","28","00:00","257.7"
"Sodankylä Tähtelä","2006","8","29","00:00","34.1"
"Sodankylä Tähtelä","2006","8","30","00:00","20.6"
"Sodankylä Tähtelä","2006","8","31","00:00","1.1"
"Sodankylä Tähtelä","2006","9","1","00:00","0.9"
