"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2010","7","1","00:00","64.7"
"Sodankylä Tähtelä","2010","7","2","00:00","39.7"
"Sodankylä Tähtelä","2010","7","3","00:00","34.8"
"Sodankylä Tähtelä","2010","7","4","00:00","29.3"
"Sodankylä Tähtelä","2010","7","5","00:00","21.1"
"Sodankylä Tähtelä","2010","7","6","00:00","372.7"
"Sodankylä Tähtelä","2010","7","7","00:00","90.1"
"Sodankylä Tähtelä","2010","7","8","00:00","430.3"
"Sodankylä Tähtelä","2010","7","9","00:00","9.9"
"Sodankylä Tähtelä","2010","7","10","00:00","133.3"
"Sodankylä Tähtelä","2010","7","11","00:00","288.7"
"Sodankylä Tähtelä","2010","7","12","00:00","168.7"
"Sodankylä Tähtelä","2010","7","13","00:00","327.4"
"Sodankylä Tähtelä","2010","7","14","00:00","135.5"
"Sodankylä Tähtelä","2010","7","15","00:00","30.3"
"Sodankylä Tähtelä","2010","7","16","00:00","159.9"
"Sodankylä Tähtelä","2010","7","17","00:00","80.5"
"Sodankylä Tähtelä","2010","7","18","00:00","64.3"
"Sodankylä Tähtelä","2010","7","19","00:00","314.8"
"Sodankylä Tähtelä","2010","7","20","00:00","290.1"
"Sodankylä Tähtelä","2010","7","21","00:00","101.8"
"Sodankylä Tähtelä","2010","7","22","00:00","11.2"
"Sodankylä Tähtelä","2010","7","23","00:00","196.1"
"Sodankylä Tähtelä","2010","7","24","00:00","566.5"
"Sodankylä Tähtelä","2010","7","25","00:00","10.6"
"Sodankylä Tähtelä","2010","7","26","00:00","71.6"
"Sodankylä Tähtelä","2010","7","27","00:00","69.8"
"Sodankylä Tähtelä","2010","7","28","00:00","55.9"
"Sodankylä Tähtelä","2010","7","29","00:00","20.8"
"Sodankylä Tähtelä","2010","7","30","00:00","151.1"
"Sodankylä Tähtelä","2010","7","31","00:00","59.9"
"Sodankylä Tähtelä","2010","8","1","00:00","432.1"
"Sodankylä Tähtelä","2010","8","2","00:00","51.8"
"Sodankylä Tähtelä","2010","8","3","00:00","133.8"
"Sodankylä Tähtelä","2010","8","4","00:00","2.7"
"Sodankylä Tähtelä","2010","8","5","00:00","2.8"
"Sodankylä Tähtelä","2010","8","6","00:00","373.7"
"Sodankylä Tähtelä","2010","8","7","00:00","192.1"
"Sodankylä Tähtelä","2010","8","8","00:00","121.6"
"Sodankylä Tähtelä","2010","8","9","00:00","0.5"
"Sodankylä Tähtelä","2010","8","10","00:00","1.1"
"Sodankylä Tähtelä","2010","8","11","00:00","84.3"
"Sodankylä Tähtelä","2010","8","12","00:00","54.8"
"Sodankylä Tähtelä","2010","8","13","00:00","134"
"Sodankylä Tähtelä","2010","8","14","00:00","120"
"Sodankylä Tähtelä","2010","8","15","00:00","290.4"
"Sodankylä Tähtelä","2010","8","16","00:00","474"
"Sodankylä Tähtelä","2010","8","17","00:00","197.6"
"Sodankylä Tähtelä","2010","8","18","00:00","196.8"
"Sodankylä Tähtelä","2010","8","19","00:00","1.5"
"Sodankylä Tähtelä","2010","8","20","00:00","202.1"
"Sodankylä Tähtelä","2010","8","21","00:00","4"
"Sodankylä Tähtelä","2010","8","22","00:00","10.5"
"Sodankylä Tähtelä","2010","8","23","00:00","146.4"
"Sodankylä Tähtelä","2010","8","24","00:00","11.5"
"Sodankylä Tähtelä","2010","8","25","00:00","2.8"
"Sodankylä Tähtelä","2010","8","26","00:00","22.3"
"Sodankylä Tähtelä","2010","8","27","00:00","29.6"
"Sodankylä Tähtelä","2010","8","28","00:00","11.8"
"Sodankylä Tähtelä","2010","8","29","00:00","12.1"
"Sodankylä Tähtelä","2010","8","30","00:00","141.6"
"Sodankylä Tähtelä","2010","8","31","00:00","52.9"
"Sodankylä Tähtelä","2010","9","1","00:00","84"
