"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2011","7","1","00:00","152.8"
"Sodankylä Tähtelä","2011","7","2","00:00","67"
"Sodankylä Tähtelä","2011","7","3","00:00","181.1"
"Sodankylä Tähtelä","2011","7","4","00:00","464.8"
"Sodankylä Tähtelä","2011","7","5","00:00","229.7"
"Sodankylä Tähtelä","2011","7","6","00:00","143.4"
"Sodankylä Tähtelä","2011","7","7","00:00","253.1"
"Sodankylä Tähtelä","2011","7","8","00:00","300.1"
"Sodankylä Tähtelä","2011","7","9","00:00","349.9"
"Sodankylä Tähtelä","2011","7","10","00:00","280.3"
"Sodankylä Tähtelä","2011","7","11","00:00","303.9"
"Sodankylä Tähtelä","2011","7","12","00:00","71.8"
"Sodankylä Tähtelä","2011","7","13","00:00","88.1"
"Sodankylä Tähtelä","2011","7","14","00:00","355.1"
"Sodankylä Tähtelä","2011","7","15","00:00","392.6"
"Sodankylä Tähtelä","2011","7","16","00:00","198.9"
"Sodankylä Tähtelä","2011","7","17","00:00","51.3"
"Sodankylä Tähtelä","2011","7","18","00:00","33.3"
"Sodankylä Tähtelä","2011","7","19","00:00","229.5"
"Sodankylä Tähtelä","2011","7","20","00:00","472.4"
"Sodankylä Tähtelä","2011","7","21","00:00","253.8"
"Sodankylä Tähtelä","2011","7","22","00:00","142.1"
"Sodankylä Tähtelä","2011","7","23","00:00","109.6"
"Sodankylä Tähtelä","2011","7","24","00:00","0.6"
"Sodankylä Tähtelä","2011","7","25","00:00","243.1"
"Sodankylä Tähtelä","2011","7","26","00:00","73.8"
"Sodankylä Tähtelä","2011","7","27","00:00","193.9"
"Sodankylä Tähtelä","2011","7","28","00:00","1.3"
"Sodankylä Tähtelä","2011","7","29","00:00","183.5"
"Sodankylä Tähtelä","2011","7","30","00:00","48.6"
"Sodankylä Tähtelä","2011","7","31","00:00","479.2"
"Sodankylä Tähtelä","2011","8","1","00:00","424.2"
"Sodankylä Tähtelä","2011","8","2","00:00","308.1"
"Sodankylä Tähtelä","2011","8","3","00:00","244.2"
"Sodankylä Tähtelä","2011","8","4","00:00","186.5"
"Sodankylä Tähtelä","2011","8","5","00:00","107.6"
"Sodankylä Tähtelä","2011","8","6","00:00","165.9"
"Sodankylä Tähtelä","2011","8","7","00:00","104"
"Sodankylä Tähtelä","2011","8","8","00:00","19.9"
"Sodankylä Tähtelä","2011","8","9","00:00","0.5"
"Sodankylä Tähtelä","2011","8","10","00:00","0.4"
"Sodankylä Tähtelä","2011","8","11","00:00","10.7"
"Sodankylä Tähtelä","2011","8","12","00:00","177.9"
"Sodankylä Tähtelä","2011","8","13","00:00","271.6"
"Sodankylä Tähtelä","2011","8","14","00:00","477.8"
"Sodankylä Tähtelä","2011","8","15","00:00","397.3"
"Sodankylä Tähtelä","2011","8","16","00:00","104.9"
"Sodankylä Tähtelä","2011","8","17","00:00","230.5"
"Sodankylä Tähtelä","2011","8","18","00:00","229.7"
"Sodankylä Tähtelä","2011","8","19","00:00","73.2"
"Sodankylä Tähtelä","2011","8","20","00:00","367.6"
"Sodankylä Tähtelä","2011","8","21","00:00","212.5"
"Sodankylä Tähtelä","2011","8","22","00:00","168.7"
"Sodankylä Tähtelä","2011","8","23","00:00","31.7"
"Sodankylä Tähtelä","2011","8","24","00:00","-"
"-","2011","8","25","00:00","-"
"Sodankylä Tähtelä","2011","8","26","00:00","1.3"
"Sodankylä Tähtelä","2011","8","27","00:00","148.5"
"Sodankylä Tähtelä","2011","8","28","00:00","6"
"Sodankylä Tähtelä","2011","8","29","00:00","76.9"
"Sodankylä Tähtelä","2011","8","30","00:00","6.7"
"Sodankylä Tähtelä","2011","8","31","00:00","1.2"
"Sodankylä Tähtelä","2011","9","1","00:00","0.7"
