"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2012","7","1","00:00","0.6"
"Sodankylä Tähtelä","2012","7","2","00:00","115.6"
"Sodankylä Tähtelä","2012","7","3","00:00","13.4"
"Sodankylä Tähtelä","2012","7","4","00:00","281.6"
"Sodankylä Tähtelä","2012","7","5","00:00","593.2"
"Sodankylä Tähtelä","2012","7","6","00:00","221.3"
"Sodankylä Tähtelä","2012","7","7","00:00","78.5"
"Sodankylä Tähtelä","2012","7","8","00:00","489.9"
"Sodankylä Tähtelä","2012","7","9","00:00","362.2"
"Sodankylä Tähtelä","2012","7","10","00:00","632.1"
"Sodankylä Tähtelä","2012","7","11","00:00","48.6"
"Sodankylä Tähtelä","2012","7","12","00:00","17.3"
"Sodankylä Tähtelä","2012","7","13","00:00","98.6"
"Sodankylä Tähtelä","2012","7","14","00:00","71.9"
"Sodankylä Tähtelä","2012","7","15","00:00","161.9"
"Sodankylä Tähtelä","2012","7","16","00:00","340.8"
"Sodankylä Tähtelä","2012","7","17","00:00","523.2"
"Sodankylä Tähtelä","2012","7","18","00:00","41.6"
"Sodankylä Tähtelä","2012","7","19","00:00","1.4"
"Sodankylä Tähtelä","2012","7","20","00:00","15.7"
"Sodankylä Tähtelä","2012","7","21","00:00","213.6"
"Sodankylä Tähtelä","2012","7","22","00:00","209"
"Sodankylä Tähtelä","2012","7","23","00:00","137.8"
"Sodankylä Tähtelä","2012","7","24","00:00","398.1"
"Sodankylä Tähtelä","2012","7","25","00:00","327"
"Sodankylä Tähtelä","2012","7","26","00:00","331"
"Sodankylä Tähtelä","2012","7","27","00:00","109.4"
"Sodankylä Tähtelä","2012","7","28","00:00","88.5"
"Sodankylä Tähtelä","2012","7","29","00:00","24.3"
"Sodankylä Tähtelä","2012","7","30","00:00","42.5"
"Sodankylä Tähtelä","2012","7","31","00:00","55.6"
"Sodankylä Tähtelä","2012","8","1","00:00","144.5"
"Sodankylä Tähtelä","2012","8","2","00:00","256.9"
"Sodankylä Tähtelä","2012","8","3","00:00","218.8"
"Sodankylä Tähtelä","2012","8","4","00:00","190"
"Sodankylä Tähtelä","2012","8","5","00:00","314.6"
"Sodankylä Tähtelä","2012","8","6","00:00","14"
"Sodankylä Tähtelä","2012","8","7","00:00","280.4"
"Sodankylä Tähtelä","2012","8","8","00:00","19.8"
"Sodankylä Tähtelä","2012","8","9","00:00","208.5"
"Sodankylä Tähtelä","2012","8","10","00:00","221.2"
"Sodankylä Tähtelä","2012","8","11","00:00","110.4"
"Sodankylä Tähtelä","2012","8","12","00:00","272.6"
"Sodankylä Tähtelä","2012","8","13","00:00","210.5"
"Sodankylä Tähtelä","2012","8","14","00:00","429.8"
"Sodankylä Tähtelä","2012","8","15","00:00","239.4"
"Sodankylä Tähtelä","2012","8","16","00:00","304.2"
"Sodankylä Tähtelä","2012","8","17","00:00","339.4"
"Sodankylä Tähtelä","2012","8","18","00:00","68.1"
"Sodankylä Tähtelä","2012","8","19","00:00","112.4"
"Sodankylä Tähtelä","2012","8","20","00:00","426.7"
"Sodankylä Tähtelä","2012","8","21","00:00","44.6"
"Sodankylä Tähtelä","2012","8","22","00:00","2.1"
"Sodankylä Tähtelä","2012","8","23","00:00","99.6"
"Sodankylä Tähtelä","2012","8","24","00:00","232.5"
"Sodankylä Tähtelä","2012","8","25","00:00","228.5"
"Sodankylä Tähtelä","2012","8","26","00:00","288.1"
"Sodankylä Tähtelä","2012","8","27","00:00","182.9"
"Sodankylä Tähtelä","2012","8","28","00:00","401.7"
"Sodankylä Tähtelä","2012","8","29","00:00","296"
"Sodankylä Tähtelä","2012","8","30","00:00","0.8"
"Sodankylä Tähtelä","2012","8","31","00:00","167.6"
"Sodankylä Tähtelä","2012","9","1","00:00","0.4"
