"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2022","8","1","00:00","97.3"
"Sodankylä Tähtelä","2022","8","2","00:00","69.2"
"Sodankylä Tähtelä","2022","8","3","00:00","176.5"
"Sodankylä Tähtelä","2022","8","4","00:00","24.4"
"Sodankylä Tähtelä","2022","8","5","00:00","11.4"
"Sodankylä Tähtelä","2022","8","6","00:00","1"
"Sodankylä Tähtelä","2022","8","7","00:00","97.1"
"Sodankylä Tähtelä","2022","8","8","00:00","136.2"
"Sodankylä Tähtelä","2022","8","9","00:00","165.5"
"Sodankylä Tähtelä","2022","8","10","00:00","10.7"
"Sodankylä Tähtelä","2022","8","11","00:00","203.9"
"Sodankylä Tähtelä","2022","8","12","00:00","215.7"
"Sodankylä Tähtelä","2022","8","13","00:00","377.6"
"Sodankylä Tähtelä","2022","8","14","00:00","407.9"
"Sodankylä Tähtelä","2022","8","15","00:00","170.3"
"Sodankylä Tähtelä","2022","8","16","00:00","320.8"
"Sodankylä Tähtelä","2022","8","17","00:00","187.1"
"Sodankylä Tähtelä","2022","8","18","00:00","50.5"
"Sodankylä Tähtelä","2022","8","19","00:00","61"
"Sodankylä Tähtelä","2022","8","20","00:00","68.2"
"Sodankylä Tähtelä","2022","8","21","00:00","131.8"
"Sodankylä Tähtelä","2022","8","22","00:00","100.3"
"Sodankylä Tähtelä","2022","8","23","00:00","383.5"
"Sodankylä Tähtelä","2022","8","24","00:00","252.8"
"Sodankylä Tähtelä","2022","8","25","00:00","422.1"
"Sodankylä Tähtelä","2022","8","26","00:00","371.7"
"Sodankylä Tähtelä","2022","8","27","00:00","156.1"
"Sodankylä Tähtelä","2022","8","28","00:00","385.6"
"Sodankylä Tähtelä","2022","8","29","00:00","215.2"
"Sodankylä Tähtelä","2022","8","30","00:00","99.7"
"Sodankylä Tähtelä","2022","8","31","00:00","125.6"
"Sodankylä Tähtelä","2022","9","1","00:00","127.2"
"Sodankylä Tähtelä","2022","9","2","00:00","3.1"
"Sodankylä Tähtelä","2022","9","3","00:00","6.1"
"Sodankylä Tähtelä","2022","9","4","00:00","25"
"Sodankylä Tähtelä","2022","9","5","00:00","95.9"
"Sodankylä Tähtelä","2022","9","6","00:00","67.4"
"Sodankylä Tähtelä","2022","9","7","00:00","68.7"
"Sodankylä Tähtelä","2022","9","8","00:00","155.2"
"Sodankylä Tähtelä","2022","9","9","00:00","137.9"
"Sodankylä Tähtelä","2022","9","10","00:00","125.2"
"Sodankylä Tähtelä","2022","9","11","00:00","5.3"
"Sodankylä Tähtelä","2022","9","12","00:00","114.6"
"Sodankylä Tähtelä","2022","9","13","00:00","1.1"
"Sodankylä Tähtelä","2022","9","14","00:00","0.1"
"Sodankylä Tähtelä","2022","9","15","00:00","0"
"Sodankylä Tähtelä","2022","9","16","00:00","0.1"
"Sodankylä Tähtelä","2022","9","17","00:00","0"
"Sodankylä Tähtelä","2022","9","18","00:00","0"
"Sodankylä Tähtelä","2022","9","19","00:00","-0.1"
"Sodankylä Tähtelä","2022","9","20","00:00","28.4"
"Sodankylä Tähtelä","2022","9","21","00:00","66.5"
"Sodankylä Tähtelä","2022","9","22","00:00","234.6"
"Sodankylä Tähtelä","2022","9","23","00:00","85.3"
"Sodankylä Tähtelä","2022","9","24","00:00","50.1"
"Sodankylä Tähtelä","2022","9","25","00:00","177.2"
"Sodankylä Tähtelä","2022","9","26","00:00","0.2"
"Sodankylä Tähtelä","2022","9","27","00:00","0.2"
"Sodankylä Tähtelä","2022","9","28","00:00","0.1"
"Sodankylä Tähtelä","2022","9","29","00:00","139.4"
"Sodankylä Tähtelä","2022","9","30","00:00","1.2"
"Sodankylä Tähtelä","2022","10","1","00:00","26.1"
