"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2004","9","1","00:00","1.3"
"Sodankylä Tähtelä","2004","9","2","00:00","0.6"
"Sodankylä Tähtelä","2004","9","3","00:00","0.6"
"Sodankylä Tähtelä","2004","9","4","00:00","0.8"
"Sodankylä Tähtelä","2004","9","5","00:00","55.9"
"Sodankylä Tähtelä","2004","9","6","00:00","182.4"
"Sodankylä Tähtelä","2004","9","7","00:00","173.4"
"Sodankylä Tähtelä","2004","9","8","00:00","39.5"
"Sodankylä Tähtelä","2004","9","9","00:00","25.1"
"Sodankylä Tähtelä","2004","9","10","00:00","80.1"
"Sodankylä Tähtelä","2004","9","11","00:00","230.1"
"Sodankylä Tähtelä","2004","9","12","00:00","2"
"Sodankylä Tähtelä","2004","9","13","00:00","161.1"
"Sodankylä Tähtelä","2004","9","14","00:00","1.7"
"Sodankylä Tähtelä","2004","9","15","00:00","148.1"
"Sodankylä Tähtelä","2004","9","16","00:00","222.5"
"Sodankylä Tähtelä","2004","9","17","00:00","210.9"
"Sodankylä Tähtelä","2004","9","18","00:00","2.1"
"Sodankylä Tähtelä","2004","9","19","00:00","1.2"
"Sodankylä Tähtelä","2004","9","20","00:00","121.7"
"Sodankylä Tähtelä","2004","9","21","00:00","1.7"
"Sodankylä Tähtelä","2004","9","22","00:00","0.1"
"Sodankylä Tähtelä","2004","9","23","00:00","1.4"
"Sodankylä Tähtelä","2004","9","24","00:00","20.9"
"Sodankylä Tähtelä","2004","9","25","00:00","8.5"
"Sodankylä Tähtelä","2004","9","26","00:00","0.8"
"Sodankylä Tähtelä","2004","9","27","00:00","7.5"
"Sodankylä Tähtelä","2004","9","28","00:00","0.5"
"Sodankylä Tähtelä","2004","9","29","00:00","1.6"
"Sodankylä Tähtelä","2004","9","30","00:00","100.4"
"Sodankylä Tähtelä","2004","10","1","00:00","241.8"
"Sodankylä Tähtelä","2004","10","2","00:00","8.9"
"Sodankylä Tähtelä","2004","10","3","00:00","26.8"
"Sodankylä Tähtelä","2004","10","4","00:00","6.4"
"Sodankylä Tähtelä","2004","10","5","00:00","0.6"
"Sodankylä Tähtelä","2004","10","6","00:00","25.2"
"Sodankylä Tähtelä","2004","10","7","00:00","4"
"Sodankylä Tähtelä","2004","10","8","00:00","254.5"
"Sodankylä Tähtelä","2004","10","9","00:00","104.4"
"Sodankylä Tähtelä","2004","10","10","00:00","208.3"
"Sodankylä Tähtelä","2004","10","11","00:00","46.6"
"Sodankylä Tähtelä","2004","10","12","00:00","138.1"
"Sodankylä Tähtelä","2004","10","13","00:00","179.3"
"Sodankylä Tähtelä","2004","10","14","00:00","4.2"
"Sodankylä Tähtelä","2004","10","15","00:00","1.5"
"Sodankylä Tähtelä","2004","10","16","00:00","0.9"
"Sodankylä Tähtelä","2004","10","17","00:00","199.4"
"Sodankylä Tähtelä","2004","10","18","00:00","16"
"Sodankylä Tähtelä","2004","10","19","00:00","0.8"
"Sodankylä Tähtelä","2004","10","20","00:00","1.5"
"Sodankylä Tähtelä","2004","10","21","00:00","1"
"Sodankylä Tähtelä","2004","10","22","00:00","1.4"
"Sodankylä Tähtelä","2004","10","23","00:00","1.8"
"Sodankylä Tähtelä","2004","10","24","00:00","2.1"
"Sodankylä Tähtelä","2004","10","25","00:00","3.1"
"Sodankylä Tähtelä","2004","10","26","00:00","1"
"Sodankylä Tähtelä","2004","10","27","00:00","1.4"
"Sodankylä Tähtelä","2004","10","28","00:00","2.1"
"Sodankylä Tähtelä","2004","10","29","00:00","135.3"
"Sodankylä Tähtelä","2004","10","30","00:00","127.4"
"Sodankylä Tähtelä","2004","10","31","00:00","0.8"
"Sodankylä Tähtelä","2004","11","1","00:00","61.9"
