"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2005","9","1","00:00","164.5"
"Sodankylä Tähtelä","2005","9","2","00:00","394.1"
"Sodankylä Tähtelä","2005","9","3","00:00","9"
"Sodankylä Tähtelä","2005","9","4","00:00","71.7"
"Sodankylä Tähtelä","2005","9","5","00:00","131"
"Sodankylä Tähtelä","2005","9","6","00:00","113.9"
"Sodankylä Tähtelä","2005","9","7","00:00","0.6"
"Sodankylä Tähtelä","2005","9","8","00:00","2.3"
"Sodankylä Tähtelä","2005","9","9","00:00","0.7"
"Sodankylä Tähtelä","2005","9","10","00:00","170.5"
"Sodankylä Tähtelä","2005","9","11","00:00","39.1"
"Sodankylä Tähtelä","2005","9","12","00:00","36.4"
"Sodankylä Tähtelä","2005","9","13","00:00","233.3"
"Sodankylä Tähtelä","2005","9","14","00:00","0.7"
"Sodankylä Tähtelä","2005","9","15","00:00","257.7"
"Sodankylä Tähtelä","2005","9","16","00:00","79.4"
"Sodankylä Tähtelä","2005","9","17","00:00","240.3"
"Sodankylä Tähtelä","2005","9","18","00:00","35.1"
"Sodankylä Tähtelä","2005","9","19","00:00","329.8"
"Sodankylä Tähtelä","2005","9","20","00:00","57.2"
"Sodankylä Tähtelä","2005","9","21","00:00","69.6"
"Sodankylä Tähtelä","2005","9","22","00:00","306.4"
"Sodankylä Tähtelä","2005","9","23","00:00","131.4"
"Sodankylä Tähtelä","2005","9","24","00:00","5.7"
"Sodankylä Tähtelä","2005","9","25","00:00","169.8"
"Sodankylä Tähtelä","2005","9","26","00:00","0.6"
"Sodankylä Tähtelä","2005","9","27","00:00","0.4"
"Sodankylä Tähtelä","2005","9","28","00:00","0.5"
"Sodankylä Tähtelä","2005","9","29","00:00","0.8"
"Sodankylä Tähtelä","2005","9","30","00:00","10.1"
"Sodankylä Tähtelä","2005","10","1","00:00","0.7"
"Sodankylä Tähtelä","2005","10","2","00:00","0.1"
"Sodankylä Tähtelä","2005","10","3","00:00","8.6"
"Sodankylä Tähtelä","2005","10","4","00:00","272.7"
"Sodankylä Tähtelä","2005","10","5","00:00","92.1"
"Sodankylä Tähtelä","2005","10","6","00:00","128"
"Sodankylä Tähtelä","2005","10","7","00:00","187.4"
"Sodankylä Tähtelä","2005","10","8","00:00","0.4"
"Sodankylä Tähtelä","2005","10","9","00:00","0.4"
"Sodankylä Tähtelä","2005","10","10","00:00","96.1"
"Sodankylä Tähtelä","2005","10","11","00:00","175.9"
"Sodankylä Tähtelä","2005","10","12","00:00","1.8"
"Sodankylä Tähtelä","2005","10","13","00:00","0.5"
"Sodankylä Tähtelä","2005","10","14","00:00","6.9"
"Sodankylä Tähtelä","2005","10","15","00:00","1.1"
"Sodankylä Tähtelä","2005","10","16","00:00","0.9"
"Sodankylä Tähtelä","2005","10","17","00:00","1.3"
"Sodankylä Tähtelä","2005","10","18","00:00","206.3"
"Sodankylä Tähtelä","2005","10","19","00:00","2.1"
"Sodankylä Tähtelä","2005","10","20","00:00","1.2"
"Sodankylä Tähtelä","2005","10","21","00:00","2.3"
"Sodankylä Tähtelä","2005","10","22","00:00","2.3"
"Sodankylä Tähtelä","2005","10","23","00:00","11.6"
"Sodankylä Tähtelä","2005","10","24","00:00","139.5"
"Sodankylä Tähtelä","2005","10","25","00:00","177.3"
"Sodankylä Tähtelä","2005","10","26","00:00","136.2"
"Sodankylä Tähtelä","2005","10","27","00:00","162.4"
"Sodankylä Tähtelä","2005","10","28","00:00","1.7"
"Sodankylä Tähtelä","2005","10","29","00:00","1"
"Sodankylä Tähtelä","2005","10","30","00:00","20.9"
"Sodankylä Tähtelä","2005","10","31","00:00","0.7"
"Sodankylä Tähtelä","2005","11","1","00:00","0.7"
