"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2006","9","1","00:00","0.9"
"Sodankylä Tähtelä","2006","9","2","00:00","1"
"Sodankylä Tähtelä","2006","9","3","00:00","0.7"
"Sodankylä Tähtelä","2006","9","4","00:00","77.2"
"Sodankylä Tähtelä","2006","9","5","00:00","11.7"
"Sodankylä Tähtelä","2006","9","6","00:00","1.9"
"Sodankylä Tähtelä","2006","9","7","00:00","0.5"
"Sodankylä Tähtelä","2006","9","8","00:00","0.2"
"Sodankylä Tähtelä","2006","9","9","00:00","1.1"
"Sodankylä Tähtelä","2006","9","10","00:00","75.5"
"Sodankylä Tähtelä","2006","9","11","00:00","179.1"
"Sodankylä Tähtelä","2006","9","12","00:00","31.3"
"Sodankylä Tähtelä","2006","9","13","00:00","19.8"
"Sodankylä Tähtelä","2006","9","14","00:00","221.1"
"Sodankylä Tähtelä","2006","9","15","00:00","293.5"
"Sodankylä Tähtelä","2006","9","16","00:00","141.6"
"Sodankylä Tähtelä","2006","9","17","00:00","1"
"Sodankylä Tähtelä","2006","9","18","00:00","90.8"
"Sodankylä Tähtelä","2006","9","19","00:00","58.2"
"Sodankylä Tähtelä","2006","9","20","00:00","0.6"
"Sodankylä Tähtelä","2006","9","21","00:00","136.1"
"Sodankylä Tähtelä","2006","9","22","00:00","4.1"
"Sodankylä Tähtelä","2006","9","23","00:00","2.3"
"Sodankylä Tähtelä","2006","9","24","00:00","16"
"Sodankylä Tähtelä","2006","9","25","00:00","295.9"
"Sodankylä Tähtelä","2006","9","26","00:00","1.4"
"Sodankylä Tähtelä","2006","9","27","00:00","178.4"
"Sodankylä Tähtelä","2006","9","28","00:00","21.4"
"Sodankylä Tähtelä","2006","9","29","00:00","41.4"
"Sodankylä Tähtelä","2006","9","30","00:00","2.4"
"Sodankylä Tähtelä","2006","10","1","00:00","13.2"
"Sodankylä Tähtelä","2006","10","2","00:00","1.5"
"Sodankylä Tähtelä","2006","10","3","00:00","1.9"
"Sodankylä Tähtelä","2006","10","4","00:00","5.6"
"Sodankylä Tähtelä","2006","10","5","00:00","2.2"
"Sodankylä Tähtelä","2006","10","6","00:00","1.3"
"Sodankylä Tähtelä","2006","10","7","00:00","0.9"
"Sodankylä Tähtelä","2006","10","8","00:00","0.6"
"Sodankylä Tähtelä","2006","10","9","00:00","0.7"
"Sodankylä Tähtelä","2006","10","10","00:00","0.9"
"Sodankylä Tähtelä","2006","10","11","00:00","95"
"Sodankylä Tähtelä","2006","10","12","00:00","32.2"
"Sodankylä Tähtelä","2006","10","13","00:00","1.5"
"Sodankylä Tähtelä","2006","10","14","00:00","14.6"
"Sodankylä Tähtelä","2006","10","15","00:00","120.2"
"Sodankylä Tähtelä","2006","10","16","00:00","92.4"
"Sodankylä Tähtelä","2006","10","17","00:00","4.1"
"Sodankylä Tähtelä","2006","10","18","00:00","52.8"
"Sodankylä Tähtelä","2006","10","19","00:00","142.5"
"Sodankylä Tähtelä","2006","10","20","00:00","3.5"
"Sodankylä Tähtelä","2006","10","21","00:00","3.9"
"Sodankylä Tähtelä","2006","10","22","00:00","2.9"
"Sodankylä Tähtelä","2006","10","23","00:00","2.2"
"Sodankylä Tähtelä","2006","10","24","00:00","1.6"
"Sodankylä Tähtelä","2006","10","25","00:00","2"
"Sodankylä Tähtelä","2006","10","26","00:00","12.6"
"Sodankylä Tähtelä","2006","10","27","00:00","1.2"
"Sodankylä Tähtelä","2006","10","28","00:00","3.4"
"Sodankylä Tähtelä","2006","10","29","00:00","98.1"
"Sodankylä Tähtelä","2006","10","30","00:00","2.9"
"Sodankylä Tähtelä","2006","10","31","00:00","4.7"
"Sodankylä Tähtelä","2006","11","1","00:00","90.2"
