"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2010","9","1","00:00","84"
"Sodankylä Tähtelä","2010","9","2","00:00","4.2"
"Sodankylä Tähtelä","2010","9","3","00:00","7.8"
"Sodankylä Tähtelä","2010","9","4","00:00","104.4"
"Sodankylä Tähtelä","2010","9","5","00:00","26.1"
"Sodankylä Tähtelä","2010","9","6","00:00","1.8"
"Sodankylä Tähtelä","2010","9","7","00:00","198.2"
"Sodankylä Tähtelä","2010","9","8","00:00","339.6"
"Sodankylä Tähtelä","2010","9","9","00:00","8.9"
"Sodankylä Tähtelä","2010","9","10","00:00","179.8"
"Sodankylä Tähtelä","2010","9","11","00:00","195"
"Sodankylä Tähtelä","2010","9","12","00:00","1.3"
"Sodankylä Tähtelä","2010","9","13","00:00","25.7"
"Sodankylä Tähtelä","2010","9","14","00:00","53.5"
"Sodankylä Tähtelä","2010","9","15","00:00","0.6"
"Sodankylä Tähtelä","2010","9","16","00:00","38.4"
"Sodankylä Tähtelä","2010","9","17","00:00","12.6"
"Sodankylä Tähtelä","2010","9","18","00:00","5.5"
"Sodankylä Tähtelä","2010","9","19","00:00","1"
"Sodankylä Tähtelä","2010","9","20","00:00","33.9"
"Sodankylä Tähtelä","2010","9","21","00:00","1.9"
"Sodankylä Tähtelä","2010","9","22","00:00","1.4"
"Sodankylä Tähtelä","2010","9","23","00:00","1.1"
"Sodankylä Tähtelä","2010","9","24","00:00","0.9"
"Sodankylä Tähtelä","2010","9","25","00:00","1.3"
"Sodankylä Tähtelä","2010","9","26","00:00","0.8"
"Sodankylä Tähtelä","2010","9","27","00:00","1.6"
"Sodankylä Tähtelä","2010","9","28","00:00","28.5"
"Sodankylä Tähtelä","2010","9","29","00:00","59.8"
"Sodankylä Tähtelä","2010","9","30","00:00","139.1"
"Sodankylä Tähtelä","2010","10","1","00:00","75.8"
"Sodankylä Tähtelä","2010","10","2","00:00","0.7"
"Sodankylä Tähtelä","2010","10","3","00:00","40.8"
"Sodankylä Tähtelä","2010","10","4","00:00","0.5"
"Sodankylä Tähtelä","2010","10","5","00:00","0"
"Sodankylä Tähtelä","2010","10","6","00:00","1.5"
"Sodankylä Tähtelä","2010","10","7","00:00","0.2"
"Sodankylä Tähtelä","2010","10","8","00:00","15.1"
"Sodankylä Tähtelä","2010","10","9","00:00","23.2"
"Sodankylä Tähtelä","2010","10","10","00:00","71.9"
"Sodankylä Tähtelä","2010","10","11","00:00","50.5"
"Sodankylä Tähtelä","2010","10","12","00:00","98.8"
"Sodankylä Tähtelä","2010","10","13","00:00","3.4"
"Sodankylä Tähtelä","2010","10","14","00:00","20.9"
"Sodankylä Tähtelä","2010","10","15","00:00","0.9"
"Sodankylä Tähtelä","2010","10","16","00:00","22.7"
"Sodankylä Tähtelä","2010","10","17","00:00","67.7"
"Sodankylä Tähtelä","2010","10","18","00:00","1.5"
"Sodankylä Tähtelä","2010","10","19","00:00","0.6"
"Sodankylä Tähtelä","2010","10","20","00:00","1.3"
"Sodankylä Tähtelä","2010","10","21","00:00","2.3"
"Sodankylä Tähtelä","2010","10","22","00:00","3.1"
"Sodankylä Tähtelä","2010","10","23","00:00","1.8"
"Sodankylä Tähtelä","2010","10","24","00:00","2.4"
"Sodankylä Tähtelä","2010","10","25","00:00","2"
"Sodankylä Tähtelä","2010","10","26","00:00","90.6"
"Sodankylä Tähtelä","2010","10","27","00:00","1.7"
"Sodankylä Tähtelä","2010","10","28","00:00","1.2"
"Sodankylä Tähtelä","2010","10","29","00:00","1.3"
"Sodankylä Tähtelä","2010","10","30","00:00","9"
"Sodankylä Tähtelä","2010","10","31","00:00","43"
"Sodankylä Tähtelä","2010","11","1","00:00","0.6"
