"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2011","9","1","00:00","0.7"
"Sodankylä Tähtelä","2011","9","2","00:00","88"
"Sodankylä Tähtelä","2011","9","3","00:00","125.8"
"Sodankylä Tähtelä","2011","9","4","00:00","263.2"
"Sodankylä Tähtelä","2011","9","5","00:00","0.5"
"Sodankylä Tähtelä","2011","9","6","00:00","12.7"
"Sodankylä Tähtelä","2011","9","7","00:00","60.9"
"Sodankylä Tähtelä","2011","9","8","00:00","66.7"
"Sodankylä Tähtelä","2011","9","9","00:00","173.5"
"Sodankylä Tähtelä","2011","9","10","00:00","139.9"
"Sodankylä Tähtelä","2011","9","11","00:00","17.5"
"Sodankylä Tähtelä","2011","9","12","00:00","0.3"
"Sodankylä Tähtelä","2011","9","13","00:00","0.3"
"Sodankylä Tähtelä","2011","9","14","00:00","0.6"
"Sodankylä Tähtelä","2011","9","15","00:00","1"
"Sodankylä Tähtelä","2011","9","16","00:00","58.5"
"Sodankylä Tähtelä","2011","9","17","00:00","49.2"
"Sodankylä Tähtelä","2011","9","18","00:00","182.4"
"Sodankylä Tähtelä","2011","9","19","00:00","121.4"
"Sodankylä Tähtelä","2011","9","20","00:00","145.8"
"Sodankylä Tähtelä","2011","9","21","00:00","0.5"
"Sodankylä Tähtelä","2011","9","22","00:00","5.8"
"Sodankylä Tähtelä","2011","9","23","00:00","0.7"
"Sodankylä Tähtelä","2011","9","24","00:00","45.4"
"Sodankylä Tähtelä","2011","9","25","00:00","126.9"
"Sodankylä Tähtelä","2011","9","26","00:00","81.3"
"Sodankylä Tähtelä","2011","9","27","00:00","0.4"
"Sodankylä Tähtelä","2011","9","28","00:00","15.8"
"Sodankylä Tähtelä","2011","9","29","00:00","29.6"
"Sodankylä Tähtelä","2011","9","30","00:00","68.5"
"Sodankylä Tähtelä","2011","10","1","00:00","222.5"
"Sodankylä Tähtelä","2011","10","2","00:00","0.5"
"Sodankylä Tähtelä","2011","10","3","00:00","174.6"
"Sodankylä Tähtelä","2011","10","4","00:00","0.9"
"Sodankylä Tähtelä","2011","10","5","00:00","86.4"
"Sodankylä Tähtelä","2011","10","6","00:00","8.8"
"Sodankylä Tähtelä","2011","10","7","00:00","2.5"
"Sodankylä Tähtelä","2011","10","8","00:00","22.4"
"Sodankylä Tähtelä","2011","10","9","00:00","188"
"Sodankylä Tähtelä","2011","10","10","00:00","1.2"
"Sodankylä Tähtelä","2011","10","11","00:00","1.3"
"Sodankylä Tähtelä","2011","10","12","00:00","1.5"
"Sodankylä Tähtelä","2011","10","13","00:00","31.1"
"Sodankylä Tähtelä","2011","10","14","00:00","173.8"
"Sodankylä Tähtelä","2011","10","15","00:00","29.4"
"Sodankylä Tähtelä","2011","10","16","00:00","116.3"
"Sodankylä Tähtelä","2011","10","17","00:00","1.4"
"Sodankylä Tähtelä","2011","10","18","00:00","1.1"
"Sodankylä Tähtelä","2011","10","19","00:00","0.7"
"Sodankylä Tähtelä","2011","10","20","00:00","33.7"
"Sodankylä Tähtelä","2011","10","21","00:00","69.5"
"Sodankylä Tähtelä","2011","10","22","00:00","103.5"
"Sodankylä Tähtelä","2011","10","23","00:00","2.2"
"Sodankylä Tähtelä","2011","10","24","00:00","2.1"
"Sodankylä Tähtelä","2011","10","25","00:00","1.6"
"Sodankylä Tähtelä","2011","10","26","00:00","1.9"
"Sodankylä Tähtelä","2011","10","27","00:00","1.8"
"Sodankylä Tähtelä","2011","10","28","00:00","1.7"
"Sodankylä Tähtelä","2011","10","29","00:00","92.4"
"Sodankylä Tähtelä","2011","10","30","00:00","1.6"
"Sodankylä Tähtelä","2011","10","31","00:00","23.3"
"Sodankylä Tähtelä","2011","11","1","00:00","1.6"
