"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2012","9","1","00:00","0.4"
"Sodankylä Tähtelä","2012","9","2","00:00","77.6"
"Sodankylä Tähtelä","2012","9","3","00:00","109.3"
"Sodankylä Tähtelä","2012","9","4","00:00","158.8"
"Sodankylä Tähtelä","2012","9","5","00:00","176.1"
"Sodankylä Tähtelä","2012","9","6","00:00","141.6"
"Sodankylä Tähtelä","2012","9","7","00:00","62.9"
"Sodankylä Tähtelä","2012","9","8","00:00","83.2"
"Sodankylä Tähtelä","2012","9","9","00:00","67.7"
"Sodankylä Tähtelä","2012","9","10","00:00","184.7"
"Sodankylä Tähtelä","2012","9","11","00:00","0.8"
"Sodankylä Tähtelä","2012","9","12","00:00","1.1"
"Sodankylä Tähtelä","2012","9","13","00:00","53.7"
"Sodankylä Tähtelä","2012","9","14","00:00","30.3"
"Sodankylä Tähtelä","2012","9","15","00:00","7.2"
"Sodankylä Tähtelä","2012","9","16","00:00","205.2"
"Sodankylä Tähtelä","2012","9","17","00:00","0.6"
"Sodankylä Tähtelä","2012","9","18","00:00","75.7"
"Sodankylä Tähtelä","2012","9","19","00:00","31.6"
"Sodankylä Tähtelä","2012","9","20","00:00","-"
"-","2012","9","21","00:00","-"
"-","2012","9","22","00:00","-"
"-","2012","9","23","00:00","-"
"-","2012","9","24","00:00","-"
"-","2012","9","25","00:00","-"
"Sodankylä Tähtelä","2012","9","26","00:00","1.3"
"Sodankylä Tähtelä","2012","9","27","00:00","3.7"
"Sodankylä Tähtelä","2012","9","28","00:00","1.1"
"Sodankylä Tähtelä","2012","9","29","00:00","7.4"
"Sodankylä Tähtelä","2012","9","30","00:00","0.5"
"Sodankylä Tähtelä","2012","10","1","00:00","0.4"
"Sodankylä Tähtelä","2012","10","2","00:00","0.4"
"Sodankylä Tähtelä","2012","10","3","00:00","1.5"
"Sodankylä Tähtelä","2012","10","4","00:00","0.2"
"Sodankylä Tähtelä","2012","10","5","00:00","1.5"
"Sodankylä Tähtelä","2012","10","6","00:00","-0.2"
"Sodankylä Tähtelä","2012","10","7","00:00","27.2"
"Sodankylä Tähtelä","2012","10","8","00:00","1.1"
"Sodankylä Tähtelä","2012","10","9","00:00","0.4"
"Sodankylä Tähtelä","2012","10","10","00:00","1"
"Sodankylä Tähtelä","2012","10","11","00:00","14.8"
"Sodankylä Tähtelä","2012","10","12","00:00","0.3"
"Sodankylä Tähtelä","2012","10","13","00:00","0.2"
"Sodankylä Tähtelä","2012","10","14","00:00","0.8"
"Sodankylä Tähtelä","2012","10","15","00:00","2.5"
"Sodankylä Tähtelä","2012","10","16","00:00","1.4"
"Sodankylä Tähtelä","2012","10","17","00:00","31.9"
"Sodankylä Tähtelä","2012","10","18","00:00","2.1"
"Sodankylä Tähtelä","2012","10","19","00:00","13"
"Sodankylä Tähtelä","2012","10","20","00:00","204.5"
"Sodankylä Tähtelä","2012","10","21","00:00","185.5"
"Sodankylä Tähtelä","2012","10","22","00:00","167.4"
"Sodankylä Tähtelä","2012","10","23","00:00","46.4"
"Sodankylä Tähtelä","2012","10","24","00:00","5.2"
"Sodankylä Tähtelä","2012","10","25","00:00","171.5"
"Sodankylä Tähtelä","2012","10","26","00:00","57.8"
"Sodankylä Tähtelä","2012","10","27","00:00","3.8"
"Sodankylä Tähtelä","2012","10","28","00:00","2.9"
"Sodankylä Tähtelä","2012","10","29","00:00","3.1"
"Sodankylä Tähtelä","2012","10","30","00:00","1.2"
"Sodankylä Tähtelä","2012","10","31","00:00","1.7"
"Sodankylä Tähtelä","2012","11","1","00:00","2.5"
