"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Jämsä Halli airport","2004","1","1","02:00","15"
"Jämsä Halli airport","2004","1","2","02:00","15"
"Jämsä Halli airport","2004","1","3","02:00","15"
"Jämsä Halli airport","2004","1","4","02:00","15"
"Jämsä Halli airport","2004","1","5","02:00","17"
"Jämsä Halli airport","2004","1","6","02:00","20"
"Jämsä Halli airport","2004","1","7","02:00","21"
"Jämsä Halli airport","2004","1","8","02:00","20"
"Jämsä Halli airport","2004","1","9","02:00","25"
"Jämsä Halli airport","2004","1","10","02:00","25"
"Jämsä Halli airport","2004","1","11","02:00","26"
"Jämsä Halli airport","2004","1","12","02:00","21"
"Jämsä Halli airport","2004","1","13","02:00","21"
"Jämsä Halli airport","2004","1","14","02:00","22"
"Jämsä Halli airport","2004","1","15","02:00","21"
"Jämsä Halli airport","2004","1","16","02:00","22"
"Jämsä Halli airport","2004","1","17","02:00","24"
"Jämsä Halli airport","2004","1","18","02:00","22"
"Jämsä Halli airport","2004","1","19","02:00","23"
"Jämsä Halli airport","2004","1","20","02:00","25"
"Jämsä Halli airport","2004","1","21","02:00","25"
"Jämsä Halli airport","2004","1","22","02:00","25"
"Jämsä Halli airport","2004","1","23","02:00","26"
"Jämsä Halli airport","2004","1","24","02:00","25"
"Jämsä Halli airport","2004","1","25","02:00","25"
"Jämsä Halli airport","2004","1","26","02:00","23"
"Jämsä Halli airport","2004","1","27","02:00","24"
"Jämsä Halli airport","2004","1","28","02:00","26"
"Jämsä Halli airport","2004","1","29","02:00","27"
"Jämsä Halli airport","2004","1","30","02:00","27"
"Jämsä Halli airport","2004","1","31","02:00","27"
"Jämsä Halli airport","2004","2","1","02:00","37"
"Jämsä Halli airport","2004","2","2","02:00","44"
"Jämsä Halli airport","2004","2","3","02:00","43"
"Jämsä Halli airport","2004","2","4","02:00","40"
"Jämsä Halli airport","2004","2","5","02:00","31"
"Jämsä Halli airport","2004","2","6","02:00","30"
"Jämsä Halli airport","2004","2","7","02:00","34"
"Jämsä Halli airport","2004","2","8","02:00","34"
"Jämsä Halli airport","2004","2","9","02:00","33"
"Jämsä Halli airport","2004","2","10","02:00","33"
"Jämsä Halli airport","2004","2","11","02:00","34"
"Jämsä Halli airport","2004","2","12","02:00","34"
"Jämsä Halli airport","2004","2","13","02:00","35"
"Jämsä Halli airport","2004","2","14","02:00","34"
"Jämsä Halli airport","2004","2","15","02:00","34"
"Jämsä Halli airport","2004","2","16","02:00","34"
"Jämsä Halli airport","2004","2","17","02:00","35"
"Jämsä Halli airport","2004","2","18","02:00","38"
"Jämsä Halli airport","2004","2","19","02:00","38"
"Jämsä Halli airport","2004","2","20","02:00","38"
"Jämsä Halli airport","2004","2","21","02:00","36"
"Jämsä Halli airport","2004","2","22","02:00","36"
"Jämsä Halli airport","2004","2","23","02:00","42"
"Jämsä Halli airport","2004","2","24","02:00","45"
"Jämsä Halli airport","2004","2","25","02:00","48"
"Jämsä Halli airport","2004","2","26","02:00","49"
"Jämsä Halli airport","2004","2","27","02:00","51"
"Jämsä Halli airport","2004","2","28","02:00","55"
"Jämsä Halli airport","2004","2","29","02:00","55"
"Jämsä Halli airport","2004","3","1","02:00","50"
"Jämsä Halli airport","2004","3","2","02:00","53"
"Jämsä Halli airport","2004","3","3","02:00","54"
"Jämsä Halli airport","2004","3","4","02:00","51"
"Jämsä Halli airport","2004","3","5","02:00","50"
"Jämsä Halli airport","2004","3","6","02:00","49"
"Jämsä Halli airport","2004","3","7","02:00","48"
"Jämsä Halli airport","2004","3","8","02:00","48"
"Jämsä Halli airport","2004","3","9","02:00","48"
"Jämsä Halli airport","2004","3","10","02:00","46"
