"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Helsinki Kumpula","2011","1","1","02:00","56"
"Helsinki Kumpula","2011","1","2","02:00","57"
"Helsinki Kumpula","2011","1","3","02:00","55"
"Helsinki Kumpula","2011","1","4","02:00","54"
"Helsinki Kumpula","2011","1","5","02:00","53"
"Helsinki Kumpula","2011","1","6","02:00","53"
"Helsinki Kumpula","2011","1","7","02:00","57"
"Helsinki Kumpula","2011","1","8","02:00","56"
"Helsinki Kumpula","2011","1","9","02:00","57"
"Helsinki Kumpula","2011","1","10","02:00","51"
"Helsinki Kumpula","2011","1","11","02:00","50"
"Helsinki Kumpula","2011","1","12","02:00","48"
"Helsinki Kumpula","2011","1","13","02:00","52"
"Helsinki Kumpula","2011","1","14","02:00","53"
"Helsinki Kumpula","2011","1","15","02:00","52"
"Helsinki Kumpula","2011","1","16","02:00","51"
"Helsinki Kumpula","2011","1","17","02:00","57"
"Helsinki Kumpula","2011","1","18","02:00","55"
"Helsinki Kumpula","2011","1","19","02:00","55"
"Helsinki Kumpula","2011","1","20","02:00","59"
"Helsinki Kumpula","2011","1","21","02:00","59"
"Helsinki Kumpula","2011","1","22","02:00","59"
"Helsinki Kumpula","2011","1","23","02:00","60"
"Helsinki Kumpula","2011","1","24","02:00","59"
"Helsinki Kumpula","2011","1","25","02:00","59"
"Helsinki Kumpula","2011","1","26","02:00","63"
"Helsinki Kumpula","2011","1","27","02:00","62"
"Helsinki Kumpula","2011","1","28","02:00","61"
"Helsinki Kumpula","2011","1","29","02:00","60"
"Helsinki Kumpula","2011","1","30","02:00","60"
"Helsinki Kumpula","2011","1","31","02:00","59"
"Helsinki Kumpula","2011","2","1","02:00","58"
"Helsinki Kumpula","2011","2","2","02:00","58"
"Helsinki Kumpula","2011","2","3","02:00","56"
"Helsinki Kumpula","2011","2","4","02:00","54"
"Helsinki Kumpula","2011","2","5","02:00","57"
"Helsinki Kumpula","2011","2","6","02:00","55"
"Helsinki Kumpula","2011","2","7","02:00","55"
"Helsinki Kumpula","2011","2","8","02:00","63"
"Helsinki Kumpula","2011","2","9","02:00","72"
"Helsinki Kumpula","2011","2","10","02:00","70"
"Helsinki Kumpula","2011","2","11","02:00","69"
"Helsinki Kumpula","2011","2","12","02:00","70"
"Helsinki Kumpula","2011","2","13","02:00","69"
"Helsinki Kumpula","2011","2","14","02:00","68"
"Helsinki Kumpula","2011","2","15","02:00","68"
"Helsinki Kumpula","2011","2","16","02:00","67"
"Helsinki Kumpula","2011","2","17","02:00","66"
"Helsinki Kumpula","2011","2","18","02:00","66"
"Helsinki Kumpula","2011","2","19","02:00","66"
"Helsinki Kumpula","2011","2","20","02:00","66"
"Helsinki Kumpula","2011","2","21","02:00","66"
"Helsinki Kumpula","2011","2","22","02:00","66"
"Helsinki Kumpula","2011","2","23","02:00","66"
"Helsinki Kumpula","2011","2","24","02:00","66"
"Helsinki Kumpula","2011","2","25","02:00","67"
"Helsinki Kumpula","2011","2","26","02:00","66"
"Helsinki Kumpula","2011","2","27","02:00","67"
"Helsinki Kumpula","2011","2","28","02:00","65"
"Helsinki Kumpula","2011","3","1","02:00","64"
"Helsinki Kumpula","2011","3","2","02:00","66"
"Helsinki Kumpula","2011","3","3","02:00","65"
"Helsinki Kumpula","2011","3","4","02:00","64"
"Helsinki Kumpula","2011","3","5","02:00","63"
"Helsinki Kumpula","2011","3","6","02:00","63"
"Helsinki Kumpula","2011","3","7","02:00","61"
"Helsinki Kumpula","2011","3","8","02:00","61"
"Helsinki Kumpula","2011","3","9","02:00","62"
"Helsinki Kumpula","2011","3","10","02:00","64"
"Helsinki Kumpula","2011","3","11","02:00","62"
"Helsinki Kumpula","2011","3","12","02:00","60"
"Helsinki Kumpula","2011","3","13","02:00","60"
"Helsinki Kumpula","2011","3","14","02:00","60"
"Helsinki Kumpula","2011","3","15","02:00","58"
"Helsinki Kumpula","2011","3","16","02:00","58"
"Helsinki Kumpula","2011","3","17","02:00","58"
"Helsinki Kumpula","2011","3","18","02:00","57"
"Helsinki Kumpula","2011","3","19","02:00","57"
"Helsinki Kumpula","2011","3","20","02:00","62"
"Helsinki Kumpula","2011","3","21","02:00","59"
"Helsinki Kumpula","2011","3","22","02:00","58"
"Helsinki Kumpula","2011","3","23","02:00","55"
"Helsinki Kumpula","2011","3","24","02:00","53"
"Helsinki Kumpula","2011","3","25","02:00","52"
"Helsinki Kumpula","2011","3","26","02:00","51"
"Helsinki Kumpula","2011","3","27","02:00","51"
"Helsinki Kumpula","2011","3","28","03:00","54"
"Helsinki Kumpula","2011","3","29","03:00","54"
"Helsinki Kumpula","2011","3","30","03:00","55"
"Helsinki Kumpula","2011","3","31","03:00","54"
"Helsinki Kumpula","2011","4","1","03:00","54"
"Helsinki Kumpula","2011","4","2","03:00","54"
"Helsinki Kumpula","2011","4","3","03:00","49"
"Helsinki Kumpula","2011","4","4","03:00","41"
"Helsinki Kumpula","2011","4","5","03:00","38"
"Helsinki Kumpula","2011","4","6","03:00","32"
"Helsinki Kumpula","2011","4","7","03:00","29"
"Helsinki Kumpula","2011","4","8","03:00","27"
"Helsinki Kumpula","2011","4","9","03:00","24"
"Helsinki Kumpula","2011","4","10","03:00","19"
"Helsinki Kumpula","2011","4","11","03:00","15"
"Helsinki Kumpula","2011","4","12","03:00","11"
"Helsinki Kumpula","2011","4","13","03:00","8"
"Helsinki Kumpula","2011","4","14","03:00","4"
"Helsinki Kumpula","2011","4","15","03:00","-1"
"Helsinki Kumpula","2011","4","16","03:00","-1"
"Helsinki Kumpula","2011","4","17","03:00","-1"
"Helsinki Kumpula","2011","4","18","03:00","-1"
"Helsinki Kumpula","2011","4","19","03:00","-1"
"Helsinki Kumpula","2011","4","20","03:00","-1"
"Helsinki Kumpula","2011","4","21","03:00","-1"
"Helsinki Kumpula","2011","4","22","03:00","-1"
"Helsinki Kumpula","2011","4","23","03:00","-1"
"Helsinki Kumpula","2011","4","24","03:00","-1"
"Helsinki Kumpula","2011","4","25","03:00","-1"
"Helsinki Kumpula","2011","4","26","03:00","-1"
"Helsinki Kumpula","2011","4","27","03:00","-1"
"Helsinki Kumpula","2011","4","28","03:00","-1"
"Helsinki Kumpula","2011","4","29","03:00","-1"
"Helsinki Kumpula","2011","4","30","03:00","-1"
"Helsinki Kumpula","2011","5","1","03:00","-1"
"Helsinki Kumpula","2011","5","2","03:00","-1"
"Helsinki Kumpula","2011","5","3","03:00","-1"
"Helsinki Kumpula","2011","5","4","03:00","-1"
"Helsinki Kumpula","2011","5","5","03:00","-1"
"Helsinki Kumpula","2011","5","6","03:00","-1"
