NewIndex,Direct solar radiation mean [W/m2],Date
1,88.3,2004-01-01
2,91.9,2004-01-02
3,93.4,2004-01-03
4,8.6,2004-01-04
5,4.0,2004-01-05
6,3.9,2004-01-06
7,3.8,2004-01-07
8,3.7,2004-01-08
9,4.3,2004-01-09
10,4.8,2004-01-10
11,3.9,2004-01-11
12,4.2,2004-01-12
13,3.6,2004-01-13
14,3.8,2004-01-14
15,4.2,2004-01-15
16,78.5,2004-01-16
17,4.8,2004-01-17
18,84.7,2004-01-18
19,5.0,2004-01-19
20,63.5,2004-01-20
21,107.7,2004-01-21
22,96.3,2004-01-22
23,18.3,2004-01-23
24,4.1,2004-01-24
25,6.9,2004-01-25
26,9.5,2004-01-26
27,4.1,2004-01-27
28,4.6,2004-01-28
29,4.6,2004-01-29
30,5.3,2004-01-30
31,4.4,2004-01-31
32,4.0,2004-02-01
33,5.7,2004-02-02
34,36.4,2004-02-03
35,4.2,2004-02-04
36,6.7,2004-02-05
37,9.2,2004-02-06
38,5.0,2004-02-07
39,26.3,2004-02-08
40,38.2,2004-02-09
41,167.3,2004-02-10
42,216.6,2004-02-11
43,79.8,2004-02-12
44,5.0,2004-02-13
45,11.2,2004-02-14
46,35.3,2004-02-15
47,201.3,2004-02-16
48,5.4,2004-02-17
49,202.5,2004-02-18
50,101.5,2004-02-19
51,57.6,2004-02-20
52,80.6,2004-02-21
53,7.8,2004-02-22
54,10.1,2004-02-23
55,166.5,2004-02-24
56,5.9,2004-02-25
57,7.6,2004-02-26
58,12.5,2004-02-27
59,156.8,2004-02-28
60,7.8,2004-02-29
61,7.8,2004-03-01
62,173.9,2004-11-01
63,163.1,2004-11-02
64,38.3,2004-11-03
65,4.2,2004-11-04
66,19.5,2004-11-05
67,34.1,2004-11-06
68,4.5,2004-11-07
69,11.6,2004-11-08
70,5.9,2004-11-09
71,4.0,2004-11-10
72,4.2,2004-11-11
73,3.9,2004-11-12
74,71.7,2004-11-13
75,113.7,2004-11-14
76,4.1,2004-11-15
77,24.4,2004-11-16
78,9.5,2004-11-17
79,4.4,2004-11-18
80,66.6,2004-11-19
81,7.6,2004-11-20
82,66.7,2004-11-21
83,7.1,2004-11-22
84,4.3,2004-11-23
85,107.3,2004-11-24
86,32.1,2004-11-25
87,33.3,2004-11-26
88,107.0,2004-11-27
89,27.9,2004-11-28
90,3.9,2004-11-29
91,4.0,2004-11-30
92,3.9,2004-12-01
93,3.7,2004-12-02
94,39.6,2004-12-03
95,4.6,2004-12-04
96,3.9,2004-12-05
97,4.2,2004-12-06
98,3.9,2004-12-07
99,3.9,2004-12-08
100,61.3,2004-12-09
101,42.0,2004-12-10
102,3.9,2004-12-11
103,64.4,2004-12-12
104,10.6,2004-12-13
105,3.8,2004-12-14
106,3.7,2004-12-15
107,5.1,2004-12-16
108,3.8,2004-12-17
109,4.2,2004-12-18
110,3.7,2004-12-19
111,11.9,2004-12-20
112,47.8,2004-12-21
113,3.6,2004-12-22
114,30.9,2004-12-23
115,55.7,2004-12-24
116,4.0,2004-12-25
117,3.8,2004-12-26
118,85.3,2004-12-27
119,4.7,2004-12-28
120,3.8,2004-12-29
121,3.7,2004-12-30
122,77.2,2004-12-31
123,3.5,2005-01-01
124,7.8,2004-03-01
125,17.2,2004-03-02
126,125.6,2004-03-03
127,290.5,2004-03-04
128,127.7,2004-03-05
129,206.7,2004-03-06
130,92.4,2004-03-07
131,8.5,2004-03-08
132,285.8,2004-03-09
133,296.6,2004-03-10
134,231.2,2004-03-11
135,290.9,2004-03-12
136,266.5,2004-03-13
137,12.5,2004-03-14
138,5.7,2004-03-15
139,6.1,2004-03-16
140,221.3,2004-03-17
141,41.8,2004-03-18
142,274.6,2004-03-19
143,5.2,2004-03-20
144,6.8,2004-03-21
145,8.7,2004-03-22
146,16.4,2004-03-23
147,15.1,2004-03-24
148,7.0,2004-03-25
149,21.1,2004-03-26
150,70.4,2004-03-27
151,290.6,2004-03-28
152,217.7,2004-03-29
153,278.1,2004-03-30
154,356.1,2004-03-31
155,391.3,2004-04-01
156,371.5,2004-04-02
157,380.0,2004-04-03
158,368.5,2004-04-04
159,249.4,2004-04-05
160,95.9,2004-04-06
161,254.9,2004-04-07
162,383.8,2004-04-08
