NewIndex,Direct solar radiation mean [W/m2],Date
1,97.1,2004-01-01
2,100.0,2004-01-02
3,65.7,2004-01-03
4,1.4,2004-01-04
5,1.6,2004-01-05
6,1.2,2004-01-06
7,9.9,2004-01-07
8,0.8,2004-01-08
9,0.5,2004-01-09
10,0.6,2004-01-10
11,1.3,2004-01-11
12,0.7,2004-01-12
13,0.8,2004-01-13
14,0.3,2004-01-14
15,1.0,2004-01-15
16,2.2,2004-01-16
17,2.4,2004-01-17
18,1.7,2004-01-18
19,0.3,2004-01-19
20,85.0,2004-01-20
21,61.2,2004-01-21
22,113.9,2004-01-22
23,35.6,2004-01-23
24,0.5,2004-01-24
25,1.8,2004-01-25
26,11.5,2004-01-26
27,0.8,2004-01-27
28,2.2,2004-01-28
29,0.4,2004-01-29
30,6.8,2004-01-30
31,0.6,2004-01-31
32,0.7,2004-02-01
33,1.3,2004-02-02
34,0.8,2004-02-03
35,0.8,2004-02-04
36,1.0,2004-02-05
37,1.3,2004-02-06
38,0.7,2004-02-07
39,32.8,2004-02-08
40,10.1,2004-02-09
41,185.9,2004-02-10
42,217.9,2004-02-11
43,18.7,2004-02-12
44,1.1,2004-02-13
45,1.0,2004-02-14
46,9.7,2004-02-15
47,78.0,2004-02-16
48,0.9,2004-02-17
49,220.7,2004-02-18
50,17.3,2004-02-19
51,36.9,2004-02-20
52,76.1,2004-02-21
53,0.7,2004-02-22
54,3.4,2004-02-23
55,177.8,2004-02-24
56,0.7,2004-02-25
57,0.5,2004-02-26
58,0.9,2004-02-27
59,3.3,2004-02-28
60,1.0,2004-02-29
61,54.1,2004-03-01
62,44.8,2005-01-01
63,0.1,2005-01-02
64,45.4,2005-01-03
65,1.6,2005-01-04
66,0.2,2005-01-05
67,0.2,2005-01-06
68,0,2005-01-07
69,0.2,2005-01-08
70,0.2,2005-01-09
71,0.2,2005-01-10
72,58.1,2005-01-11
73,0,2005-01-12
74,0.1,2005-01-13
75,0.7,2005-01-14
76,-,2005-01-15
77,-,2005-01-16
78,-,2005-01-17
79,-,2005-01-18
80,-,2005-01-19
81,-,2005-01-20
82,0.4,2005-01-21
83,0.5,2005-01-22
84,0.7,2005-01-23
85,0.4,2005-01-24
86,19.8,2005-01-25
87,0.7,2005-01-26
88,9,2005-01-27
89,1.9,2005-01-28
90,30.3,2005-01-29
91,0.5,2005-01-30
92,102.7,2005-01-31
93,1,2005-02-01
94,1.4,2005-02-02
95,0.6,2005-02-03
96,0.8,2005-02-04
97,0.2,2005-02-05
98,0.5,2005-02-06
99,1.3,2005-02-07
100,36.5,2005-02-08
101,1,2005-02-09
102,0.7,2005-02-10
103,14.2,2005-02-11
104,19.4,2005-02-12
105,0.9,2005-02-13
106,3.1,2005-02-14
107,94,2005-02-15
108,124.1,2005-02-16
109,1.6,2005-02-17
110,0.5,2005-02-18
111,0.9,2005-02-19
112,2,2005-02-20
113,31.5,2005-02-21
114,121.8,2005-02-22
115,153.8,2005-02-23
116,143.6,2005-02-24
117,57.2,2005-02-25
118,118.9,2005-02-26
119,181.4,2005-02-27
120,79.9,2005-02-28
121,222.8,2005-03-01
122,0.4,2006-01-01
123,0.4,2006-01-02
124,1.6,2006-01-03
125,0.5,2006-01-04
126,0.5,2006-01-05
127,0.4,2006-01-06
128,0.5,2006-01-07
129,47.9,2006-01-08
130,0.3,2006-01-09
131,0.8,2006-01-10
132,0.1,2006-01-11
133,76.0,2006-01-12
134,0.8,2006-01-13
135,27.2,2006-01-14
136,0.4,2006-01-15
137,0.2,2006-01-16
138,0.4,2006-01-17
139,93.4,2006-01-18
140,97.7,2006-01-19
141,57.1,2006-01-20
142,89.1,2006-01-21
143,100.6,2006-01-22
144,0.3,2006-01-23
145,0.2,2006-01-24
146,0.9,2006-01-25
147,1.3,2006-01-26
148,102.0,2006-01-27
149,28.4,2006-01-28
150,96.2,2006-01-29
151,35.6,2006-01-30
152,1.6,2006-01-31
153,0.6,2006-02-01
154,0.6,2006-02-02
155,8.2,2006-02-03
156,79.2,2006-02-04
157,129.5,2006-02-05
158,61.4,2006-02-06
159,39.0,2006-02-07
160,42.4,2006-02-08
161,0.9,2006-02-09
162,1.3,2006-02-10
163,83.2,2006-02-11
164,1.5,2006-02-12
165,1.3,2006-02-13
166,1.9,2006-02-14
167,2.3,2006-02-15
168,28.8,2006-02-16
169,85.1,2006-02-17
170,2.6,2006-02-18
171,1.7,2006-02-19
172,16.2,2006-02-20
173,37.8,2006-02-21
174,2.3,2006-02-22
175,49.1,2006-02-23
176,4.5,2006-02-24
177,106.5,2006-02-25
178,126.9,2006-02-26
179,192.7,2006-02-27
180,54.5,2006-02-28
181,81.2,2006-03-01
182,0.2,2014-01-01
183,0.2,2014-01-02
184,0.1,2014-01-03
185,0.2,2014-01-04
186,-,2014-01-05
187,-,2014-01-06
188,0.3,2014-01-07
189,0.5,2014-01-08
190,0.5,2014-01-09
191,0.3,2014-01-10
192,0.7,2014-01-11
193,0.9,2014-01-12
194,85.8,2014-01-13
195,71.4,2014-01-14
196,95,2014-01-15
197,122.5,2014-01-16
198,-,2014-01-17
199,-,2014-01-18
200,99.7,2014-01-19
201,141.6,2014-01-20
202,117.7,2014-01-21
203,130.7,2014-01-22
204,123.6,2014-01-23
205,128.3,2014-01-24
206,2,2014-01-25
207,0.7,2014-01-26
208,-,2014-01-27
209,-,2014-01-28
210,-,2014-01-29
211,140.2,2014-01-30
212,-,2014-01-31
213,-,2014-02-01
214,-,2014-02-02
215,0.6,2014-02-03
216,-,2014-02-04
217,-,2014-02-05
218,-,2014-02-06
219,-,2014-02-07
220,-,2014-02-08
221,-,2014-02-09
222,-,2014-02-10
223,0.6,2014-02-11
224,0.5,2014-02-12
225,1.1,2014-02-13
226,0.2,2014-02-14
227,-,2014-02-15
228,-,2014-02-16
229,0.5,2014-02-17
230,0.9,2014-02-18
231,1,2014-02-19
232,-,2014-02-20
233,-,2014-02-21
234,-,2014-02-22
235,0.9,2014-02-23
236,0.7,2014-02-24
237,3.6,2014-02-25
238,-,2014-02-26
239,-,2014-02-27
240,-,2014-02-28
241,-,2014-03-01
242,-,2015-10-01
243,-,2015-10-02
244,-,2015-10-03
245,-,2015-10-04
246,-,2015-10-05
247,310.5,2015-10-06
248,281,2015-10-07
249,264.3,2015-10-08
250,211.2,2015-10-09
251,185.4,2015-10-10
252,150.7,2015-10-11
253,204.2,2015-10-12
254,57.7,2015-10-13
255,132.9,2015-10-14
256,132.2,2015-10-15
257,219.3,2015-10-16
258,135.1,2015-10-17
259,89.7,2015-10-18
260,190.1,2015-10-19
261,97.7,2015-10-20
262,0.4,2015-10-21
263,-0.2,2015-10-22
264,0.5,2015-10-23
265,236.9,2015-10-24
266,0,2015-10-25
267,169.2,2015-10-26
268,95.5,2015-10-27
269,235.1,2015-10-28
270,3.7,2015-10-29
271,164.2,2015-10-30
272,2.5,2015-10-31
273,0.1,2015-11-01
274,72.5,2015-11-02
275,158.5,2015-11-03
276,91.7,2015-11-04
277,108.4,2015-11-05
278,0.6,2015-11-06
279,0.1,2015-11-07
280,0.6,2015-11-08
281,0.2,2015-11-09
282,1.8,2015-11-10
283,1.1,2015-11-11
284,0.7,2015-11-12
285,0.6,2015-11-13
286,5,2015-11-14
287,3.8,2015-11-15
288,1,2015-11-16
289,39.5,2015-11-17
290,2.6,2015-11-18
291,0.3,2015-11-19
292,0.4,2015-11-20
293,1.4,2015-11-21
294,2,2015-11-22
295,1.7,2015-11-23
296,67,2015-11-24
297,0.2,2015-11-25
298,0.3,2015-11-26
299,0.1,2015-11-27
300,0.1,2015-11-28
301,28.8,2015-11-29
302,0.3,2015-11-30
303,1,2015-12-01
304,127.0,2016-10-01
305,303.0,2016-10-02
306,269.7,2016-10-03
307,157.4,2016-10-04
308,306.5,2016-10-05
309,131.2,2016-10-06
310,117.6,2016-10-07
311,146.8,2016-10-08
312,0.1,2016-10-09
313,90.9,2016-10-10
314,0.8,2016-10-11
315,1.2,2016-10-12
316,1.4,2016-10-13
317,1.4,2016-10-14
318,0.4,2016-10-15
319,0.5,2016-10-16
320,0.1,2016-10-17
321,39.8,2016-10-18
322,173.9,2016-10-19
323,96.6,2016-10-20
324,0.1,2016-10-21
325,0.1,2016-10-22
326,0.4,2016-10-23
327,-0.1,2016-10-24
328,0.4,2016-10-25
329,45.2,2016-10-26
330,0.5,2016-10-27
331,0.3,2016-10-28
332,129.1,2016-10-29
333,0.7,2016-10-30
334,173.3,2016-10-31
335,26.8,2016-11-01
336,0.2,2016-11-02
337,1.0,2016-11-03
338,28.6,2016-11-04
339,2.4,2016-11-05
340,40.1,2016-11-06
341,0.4,2016-11-07
342,1.2,2016-11-08
343,1.1,2016-11-09
344,0.8,2016-11-10
345,157.8,2016-11-11
346,2.1,2016-11-12
347,1.8,2016-11-13
348,25.8,2016-11-14
349,0.0,2016-11-15
350,0.6,2016-11-16
351,0.7,2016-11-17
352,0.1,2016-11-18
353,1.0,2016-11-19
354,0.5,2016-11-20
355,0.1,2016-11-21
356,-0.1,2016-11-22
357,0.4,2016-11-23
358,0.4,2016-11-24
359,0.7,2016-11-25
360,16.8,2016-11-26
361,0.4,2016-11-27
362,22.1,2016-11-28
363,74.8,2016-11-29
364,31.6,2016-11-30
365,80.4,2016-12-01
366,0.0,2017-10-01
367,-0.1,2017-10-02
368,-0.3,2017-10-03
369,8.9,2017-10-04
370,1.8,2017-10-05
371,10.5,2017-10-06
372,1.9,2017-10-07
373,0.2,2017-10-08
374,0.1,2017-10-09
375,0.5,2017-10-10
376,10.5,2017-10-11
377,0.9,2017-10-12
378,13.3,2017-10-13
379,0.3,2017-10-14
380,99.8,2017-10-15
381,49.0,2017-10-16
382,1.5,2017-10-17
383,19.4,2017-10-18
384,76.9,2017-10-19
385,159.0,2017-10-20
386,156.7,2017-10-21
387,2.7,2017-10-22
388,154.9,2017-10-23
389,40.0,2017-10-24
390,28.7,2017-10-25
391,0.2,2017-10-26
392,2.3,2017-10-27
393,0.7,2017-10-28
394,0.9,2017-10-29
395,0.9,2017-10-30
396,203.0,2017-10-31
397,0.8,2017-11-01
398,146.6,2017-11-02
399,82.9,2017-11-03
400,10.2,2017-11-04
401,1.1,2017-11-05
402,0.4,2017-11-06
403,92.6,2017-11-07
404,43.5,2017-11-08
405,0.3,2017-11-09
406,8.1,2017-11-10
407,0.2,2017-11-11
408,1.4,2017-11-12
409,1.8,2017-11-13
410,22.5,2017-11-14
411,3.4,2017-11-15
412,21.4,2017-11-16
413,9.8,2017-11-17
414,2.3,2017-11-18
415,1.3,2017-11-19
416,1.1,2017-11-20
417,1.0,2017-11-21
418,0.2,2017-11-22
419,0.0,2017-11-23
420,5.9,2017-11-24
421,29.7,2017-11-25
422,1.2,2017-11-26
423,0.4,2017-11-27
424,0.2,2017-11-28
425,0.5,2017-11-29
426,0.2,2017-11-30
427,0.6,2017-12-01
428,38.4,2018-10-01
429,133.5,2018-10-02
430,4.6,2018-10-03
431,41.7,2018-10-04
432,52.8,2018-10-05
