NewIndex,Direct solar radiation mean [W/m2],Date
1,4.8,2004-01-01
2,5.1,2004-01-02
3,4.6,2004-01-03
4,3.5,2004-01-04
5,4.8,2004-01-05
6,3.3,2004-01-06
7,2.4,2004-01-07
8,1.8,2004-01-08
9,1.8,2004-01-09
10,2.3,2004-01-10
11,1.7,2004-01-11
12,1.7,2004-01-12
13,2.0,2004-01-13
14,1.4,2004-01-14
15,2.3,2004-01-15
16,2.7,2004-01-16
17,4.5,2004-01-17
18,4.5,2004-01-18
19,3.4,2004-01-19
20,3.6,2004-01-20
21,2.6,2004-01-21
22,4.5,2004-01-22
23,2.1,2004-01-23
24,1.8,2004-01-24
25,1.1,2004-01-25
26,1.6,2004-01-26
27,1.9,2004-01-27
28,2.3,2004-01-28
29,2.4,2004-01-29
30,4.1,2004-01-30
31,2.7,2004-01-31
32,1.7,2004-02-01
33,3.4,2004-02-02
34,1.9,2004-02-03
35,2.5,2004-02-04
36,2.3,2004-02-05
37,3.1,2004-02-06
38,5.6,2004-02-07
39,4.0,2004-02-08
40,5.8,2004-02-09
41,4.4,2004-02-10
42,4.9,2004-02-11
43,2.3,2004-02-12
44,2.3,2004-02-13
45,2.4,2004-02-14
46,2.5,2004-02-15
47,2.4,2004-02-16
48,2.9,2004-02-17
49,2.9,2004-02-18
50,2.2,2004-02-19
51,0.9,2004-02-20
52,1.1,2004-02-21
53,3.3,2004-02-22
54,5.5,2004-02-23
55,4.1,2004-02-24
56,1.7,2004-02-25
57,2.0,2004-02-26
58,124.8,2004-02-27
59,195.7,2004-02-28
60,168.5,2004-02-29
61,6.0,2004-03-01
62,1.4,2005-01-01
63,1.1,2005-01-02
64,0.7,2005-01-03
65,1.8,2005-01-04
66,1.8,2005-01-05
67,1.7,2005-01-06
68,0.9,2005-01-07
69,1.3,2005-01-08
70,1.3,2005-01-09
71,2.1,2005-01-10
72,1.3,2005-01-11
73,1.3,2005-01-12
74,1.3,2005-01-13
75,16.3,2005-01-14
76,30.7,2005-01-15
77,5.9,2005-01-16
78,2.1,2005-01-17
79,1.0,2005-01-18
80,1.0,2005-01-19
81,0.9,2005-01-20
82,1.1,2005-01-21
83,2.9,2005-01-22
84,3.4,2005-01-23
85,27.8,2005-01-24
86,11.7,2005-01-25
87,1.2,2005-01-26
88,1.4,2005-01-27
89,8.9,2005-01-28
90,14.5,2005-01-29
91,1.2,2005-01-30
92,1.0,2005-01-31
93,1.2,2005-02-01
94,1.3,2005-02-02
95,1.1,2005-02-03
96,0.8,2005-02-04
97,35.1,2005-02-05
98,102.4,2005-02-06
99,51.5,2005-02-07
100,2.8,2005-02-08
101,1.9,2005-02-09
102,0.6,2005-02-10
103,41.3,2005-02-11
104,118.3,2005-02-12
105,2.2,2005-02-13
106,51.9,2005-02-14
107,37.7,2005-02-15
108,56.8,2005-02-16
109,17.1,2005-02-17
110,1.6,2005-02-18
111,1.1,2005-02-19
112,1.0,2005-02-20
113,202.8,2005-02-21
114,220.5,2005-02-22
115,21.2,2005-02-23
116,4.9,2005-02-24
117,169.4,2005-02-25
118,166.7,2005-02-26
119,222.4,2005-02-27
120,105.3,2005-02-28
121,198.9,2005-03-01
122,2.1,2006-01-01
123,2.1,2006-01-02
124,2.0,2006-01-03
125,1.6,2006-01-04
126,1.6,2006-01-05
127,3.8,2006-01-06
128,4.1,2006-01-07
129,3.5,2006-01-08
130,7.8,2006-01-09
131,1.1,2006-01-10
132,1.2,2006-01-11
133,0.9,2006-01-12
134,1.5,2006-01-13
135,1.7,2006-01-14
136,12.6,2006-01-15
137,2.6,2006-01-16
138,14.5,2006-01-17
139,42.4,2006-01-18
140,37.4,2006-01-19
141,5.2,2006-01-20
142,7.1,2006-01-21
143,3.3,2006-01-22
144,1.4,2006-01-23
145,1.2,2006-01-24
146,8.0,2006-01-25
147,1.8,2006-01-26
148,28.3,2006-01-27
149,2.1,2006-01-28
150,28.0,2006-01-29
151,68.3,2006-01-30
152,48.1,2006-01-31
153,1.4,2006-02-01
154,1.6,2006-02-02
155,43.8,2006-02-03
156,67.8,2006-02-04
157,101.9,2006-02-05
158,80.5,2006-02-06
159,4.2,2006-02-07
160,1.9,2006-02-08
161,1.9,2006-02-09
162,140.5,2006-02-10
163,125.2,2006-02-11
164,2.3,2006-02-12
165,62.5,2006-02-13
166,143.6,2006-02-14
167,1.2,2006-02-15
168,0.9,2006-02-16
169,108.0,2006-02-17
170,82.6,2006-02-18
171,3.6,2006-02-19
172,27.2,2006-02-20
173,42.5,2006-02-21
174,2.1,2006-02-22
175,125.5,2006-02-23
176,98.3,2006-02-24
177,127.9,2006-02-25
178,194.8,2006-02-26
179,144.2,2006-02-27
180,151.0,2006-02-28
181,55.3,2006-03-01
182,2.1,2006-01-01
183,2.1,2006-01-02
184,2.0,2006-01-03
185,1.6,2006-01-04
186,1.6,2006-01-05
187,3.8,2006-01-06
188,4.1,2006-01-07
189,3.5,2006-01-08
190,7.8,2006-01-09
191,1.1,2006-01-10
192,1.2,2006-01-11
193,0.9,2006-01-12
194,1.5,2006-01-13
195,1.7,2006-01-14
196,12.6,2006-01-15
197,2.6,2006-01-16
198,14.5,2006-01-17
199,42.4,2006-01-18
200,37.4,2006-01-19
201,5.2,2006-01-20
202,7.1,2006-01-21
203,3.3,2006-01-22
204,1.4,2006-01-23
205,1.2,2006-01-24
206,8.0,2006-01-25
207,1.8,2006-01-26
208,28.3,2006-01-27
209,2.1,2006-01-28
210,28.0,2006-01-29
211,68.3,2006-01-30
212,48.1,2006-01-31
213,1.4,2006-02-01
214,1.6,2006-02-02
215,43.8,2006-02-03
216,67.8,2006-02-04
217,101.9,2006-02-05
218,80.5,2006-02-06
219,4.2,2006-02-07
220,1.9,2006-02-08
221,1.9,2006-02-09
222,140.5,2006-02-10
223,125.2,2006-02-11
224,2.3,2006-02-12
225,62.5,2006-02-13
226,143.6,2006-02-14
227,1.2,2006-02-15
228,0.9,2006-02-16
229,108.0,2006-02-17
230,82.6,2006-02-18
231,3.6,2006-02-19
232,27.2,2006-02-20
233,42.5,2006-02-21
234,2.1,2006-02-22
235,125.5,2006-02-23
236,98.3,2006-02-24
237,127.9,2006-02-25
238,194.8,2006-02-26
239,144.2,2006-02-27
240,151.0,2006-02-28
241,55.3,2006-03-01
242,2.1,2007-01-01
243,1.9,2007-01-02
244,2.8,2007-01-03
245,1.8,2007-01-04
246,1.3,2007-01-05
247,2.7,2007-01-06
248,3.4,2007-01-07
249,1.3,2007-01-08
250,1.1,2007-01-09
251,1.2,2007-01-10
252,23.5,2007-01-11
253,20.1,2007-01-12
254,2.5,2007-01-13
255,4.2,2007-01-14
256,4.0,2007-01-15
257,1.0,2007-01-16
258,2.4,2007-01-17
259,2.3,2007-01-18
260,23.8,2007-01-19
261,11.4,2007-01-20
262,4.7,2007-01-21
263,35.0,2007-01-22
